ano_eleicao,sg_uf,sg_partido_norm,regra,desfecho,n,k,total,hits,expected
2018,AC,AVANTE,top_necr,competitividade,9,6.0,0.0,0.0,0.0
2018,AC,AVANTE,top_necr,eleicao,9,6.0,0.0,0.0,0.0
2018,AC,AVANTE,nucleo_80,competitividade,9,5.0,0.0,0.0,0.0
2018,AC,AVANTE,nucleo_80,eleicao,9,5.0,0.0,0.0,0.0
2018,AC,AVANTE,acima_divisao_igual,competitividade,9,5.0,0.0,0.0,0.0
2018,AC,AVANTE,acima_divisao_igual,eleicao,9,5.0,0.0,0.0,0.0
2018,AC,DC,top_necr,competitividade,3,3.0,0.0,0.0,0.0
2018,AC,DC,top_necr,eleicao,3,3.0,0.0,0.0,0.0
2018,AC,DC,nucleo_80,competitividade,3,3.0,0.0,0.0,0.0
2018,AC,DC,nucleo_80,eleicao,3,3.0,0.0,0.0,0.0
2018,AC,DC,acima_divisao_igual,competitividade,3,1.0,0.0,0.0,0.0
2018,AC,DC,acima_divisao_igual,eleicao,3,1.0,0.0,0.0,0.0
2018,AC,DEM,top_necr,competitividade,1,1.0,1.0,1.0,1.0
2018,AC,DEM,top_necr,eleicao,1,1.0,1.0,1.0,1.0
2018,AC,DEM,nucleo_80,competitividade,1,1.0,1.0,1.0,1.0
2018,AC,DEM,nucleo_80,eleicao,1,1.0,1.0,1.0,1.0
2018,AC,DEM,acima_divisao_igual,competitividade,1,0.0,1.0,0.0,0.0
2018,AC,DEM,acima_divisao_igual,eleicao,1,0.0,1.0,0.0,0.0
2018,AC,MDB,top_necr,competitividade,3,2.0,2.0,2.0,1.3333333333333333
2018,AC,MDB,top_necr,eleicao,3,2.0,2.0,2.0,1.3333333333333333
2018,AC,MDB,nucleo_80,competitividade,3,2.0,2.0,2.0,1.3333333333333333
2018,AC,MDB,nucleo_80,eleicao,3,2.0,2.0,2.0,1.3333333333333333
2018,AC,MDB,acima_divisao_igual,competitividade,3,2.0,2.0,2.0,1.3333333333333333
2018,AC,MDB,acima_divisao_igual,eleicao,3,2.0,2.0,2.0,1.3333333333333333
2018,AC,PATRI,top_necr,competitividade,1,0.0,0.0,0.0,0.0
2018,AC,PATRI,top_necr,eleicao,1,0.0,0.0,0.0,0.0
2018,AC,PATRI,nucleo_80,competitividade,1,0.0,0.0,0.0,0.0
2018,AC,PATRI,nucleo_80,eleicao,1,0.0,0.0,0.0,0.0
2018,AC,PATRI,acima_divisao_igual,competitividade,1,0.0,0.0,0.0,0.0
2018,AC,PATRI,acima_divisao_igual,eleicao,1,0.0,0.0,0.0,0.0
2018,AC,PC DO B,top_necr,competitividade,1,1.0,1.0,1.0,1.0
2018,AC,PC DO B,top_necr,eleicao,1,1.0,1.0,1.0,1.0
2018,AC,PC DO B,nucleo_80,competitividade,1,1.0,1.0,1.0,1.0
2018,AC,PC DO B,nucleo_80,eleicao,1,1.0,1.0,1.0,1.0
2018,AC,PC DO B,acima_divisao_igual,competitividade,1,0.0,1.0,0.0,0.0
2018,AC,PC DO B,acima_divisao_igual,eleicao,1,0.0,1.0,0.0,0.0
2018,AC,PDT,top_necr,competitividade,16,7.0,4.0,2.0,1.75
2018,AC,PDT,top_necr,eleicao,16,7.0,1.0,1.0,0.4375
2018,AC,PDT,nucleo_80,competitividade,16,6.0,4.0,2.0,1.5
2018,AC,PDT,nucleo_80,eleicao,16,6.0,1.0,1.0,0.375
2018,AC,PDT,acima_divisao_igual,competitividade,16,6.0,4.0,2.0,1.5
2018,AC,PDT,acima_divisao_igual,eleicao,16,6.0,1.0,1.0,0.375
2018,AC,PHS,top_necr,competitividade,2,2.0,0.0,0.0,0.0
2018,AC,PHS,top_necr,eleicao,2,2.0,0.0,0.0,0.0
2018,AC,PHS,nucleo_80,competitividade,2,2.0,0.0,0.0,0.0
2018,AC,PHS,nucleo_80,eleicao,2,2.0,0.0,0.0,0.0
2018,AC,PHS,acima_divisao_igual,competitividade,2,1.0,0.0,0.0,0.0
2018,AC,PHS,acima_divisao_igual,eleicao,2,1.0,0.0,0.0,0.0
2018,AC,PMB,top_necr,competitividade,1,1.0,0.0,0.0,0.0
2018,AC,PMB,top_necr,eleicao,1,1.0,0.0,0.0,0.0
2018,AC,PMB,nucleo_80,competitividade,1,1.0,0.0,0.0,0.0
2018,AC,PMB,nucleo_80,eleicao,1,1.0,0.0,0.0,0.0
2018,AC,PMB,acima_divisao_igual,competitividade,1,0.0,0.0,0.0,0.0
2018,AC,PMB,acima_divisao_igual,eleicao,1,0.0,0.0,0.0,0.0
2018,AC,PMN,top_necr,competitividade,1,1.0,0.0,0.0,0.0
2018,AC,PMN,top_necr,eleicao,1,1.0,0.0,0.0,0.0
2018,AC,PMN,nucleo_80,competitividade,1,1.0,0.0,0.0,0.0
2018,AC,PMN,nucleo_80,eleicao,1,1.0,0.0,0.0,0.0
2018,AC,PMN,acima_divisao_igual,competitividade,1,0.0,0.0,0.0,0.0
2018,AC,PMN,acima_divisao_igual,eleicao,1,0.0,0.0,0.0,0.0
2018,AC,PODE,top_necr,competitividade,2,1.0,0.0,0.0,0.0
2018,AC,PODE,top_necr,eleicao,2,1.0,0.0,0.0,0.0
2018,AC,PODE,nucleo_80,competitividade,2,1.0,0.0,0.0,0.0
2018,AC,PODE,nucleo_80,eleicao,2,1.0,0.0,0.0,0.0
2018,AC,PODE,acima_divisao_igual,competitividade,2,1.0,0.0,0.0,0.0
2018,AC,PODE,acima_divisao_igual,eleicao,2,1.0,0.0,0.0,0.0
2018,AC,PP,top_necr,competitividade,3,2.0,1.0,1.0,0.6666666666666666
2018,AC,PP,top_necr,eleicao,3,2.0,0.0,0.0,0.0
2018,AC,PP,nucleo_80,competitividade,3,2.0,1.0,1.0,0.6666666666666666
2018,AC,PP,nucleo_80,eleicao,3,2.0,0.0,0.0,0.0
2018,AC,PP,acima_divisao_igual,competitividade,3,1.0,1.0,1.0,0.3333333333333333
2018,AC,PP,acima_divisao_igual,eleicao,3,1.0,0.0,0.0,0.0
2018,AC,PPL,top_necr,competitividade,1,1.0,1.0,1.0,1.0
2018,AC,PPL,top_necr,eleicao,1,1.0,0.0,0.0,0.0
2018,AC,PPL,nucleo_80,competitividade,1,1.0,1.0,1.0,1.0
2018,AC,PPL,nucleo_80,eleicao,1,1.0,0.0,0.0,0.0
2018,AC,PPL,acima_divisao_igual,competitividade,1,0.0,1.0,0.0,0.0
2018,AC,PPL,acima_divisao_igual,eleicao,1,0.0,0.0,0.0,0.0
2018,AC,PPS,top_necr,competitividade,1,1.0,0.0,0.0,0.0
2018,AC,PPS,top_necr,eleicao,1,1.0,0.0,0.0,0.0
2018,AC,PPS,nucleo_80,competitividade,1,1.0,0.0,0.0,0.0
2018,AC,PPS,nucleo_80,eleicao,1,1.0,0.0,0.0,0.0
2018,AC,PPS,acima_divisao_igual,competitividade,1,0.0,0.0,0.0,0.0
2018,AC,PPS,acima_divisao_igual,eleicao,1,0.0,0.0,0.0,0.0
2018,AC,PR,top_necr,competitividade,1,1.0,1.0,1.0,1.0
2018,AC,PR,top_necr,eleicao,1,1.0,0.0,0.0,0.0
2018,AC,PR,nucleo_80,competitividade,1,1.0,1.0,1.0,1.0
2018,AC,PR,nucleo_80,eleicao,1,1.0,0.0,0.0,0.0
2018,AC,PR,acima_divisao_igual,competitividade,1,0.0,1.0,0.0,0.0
2018,AC,PR,acima_divisao_igual,eleicao,1,0.0,0.0,0.0,0.0
2018,AC,PROS,top_necr,competitividade,2,1.0,1.0,1.0,0.5
2018,AC,PROS,top_necr,eleicao,2,1.0,0.0,0.0,0.0
2018,AC,PROS,nucleo_80,competitividade,2,1.0,1.0,1.0,0.5
2018,AC,PROS,nucleo_80,eleicao,2,1.0,0.0,0.0,0.0
2018,AC,PROS,acima_divisao_igual,competitividade,2,1.0,1.0,1.0,0.5
2018,AC,PROS,acima_divisao_igual,eleicao,2,1.0,0.0,0.0,0.0
2018,AC,PRP,top_necr,competitividade,3,2.0,1.0,1.0,0.6666666666666666
2018,AC,PRP,top_necr,eleicao,3,2.0,0.0,0.0,0.0
2018,AC,PRP,nucleo_80,competitividade,3,2.0,1.0,1.0,0.6666666666666666
2018,AC,PRP,nucleo_80,eleicao,3,2.0,0.0,0.0,0.0
2018,AC,PRP,acima_divisao_igual,competitividade,3,2.0,1.0,1.0,0.6666666666666666
2018,AC,PRP,acima_divisao_igual,eleicao,3,2.0,0.0,0.0,0.0
2018,AC,PRTB,top_necr,competitividade,2,1.0,0.0,0.0,0.0
2018,AC,PRTB,top_necr,eleicao,2,1.0,0.0,0.0,0.0
2018,AC,PRTB,nucleo_80,competitividade,2,1.0,0.0,0.0,0.0
2018,AC,PRTB,nucleo_80,eleicao,2,1.0,0.0,0.0,0.0
2018,AC,PRTB,acima_divisao_igual,competitividade,2,1.0,0.0,0.0,0.0
2018,AC,PRTB,acima_divisao_igual,eleicao,2,1.0,0.0,0.0,0.0
2018,AC,PSB,top_necr,competitividade,1,1.0,1.0,1.0,1.0
2018,AC,PSB,top_necr,eleicao,1,1.0,0.0,0.0,0.0
2018,AC,PSB,nucleo_80,competitividade,1,1.0,1.0,1.0,1.0
2018,AC,PSB,nucleo_80,eleicao,1,1.0,0.0,0.0,0.0
2018,AC,PSB,acima_divisao_igual,competitividade,1,0.0,1.0,0.0,0.0
2018,AC,PSB,acima_divisao_igual,eleicao,1,0.0,0.0,0.0,0.0
2018,AC,PSC,top_necr,competitividade,1,1.0,1.0,1.0,1.0
2018,AC,PSC,top_necr,eleicao,1,1.0,0.0,0.0,0.0
2018,AC,PSC,nucleo_80,competitividade,1,1.0,1.0,1.0,1.0
2018,AC,PSC,nucleo_80,eleicao,1,1.0,0.0,0.0,0.0
2018,AC,PSC,acima_divisao_igual,competitividade,1,0.0,1.0,0.0,0.0
2018,AC,PSC,acima_divisao_igual,eleicao,1,0.0,0.0,0.0,0.0
2018,AC,PSD,top_necr,competitividade,1,1.0,0.0,0.0,0.0
2018,AC,PSD,top_necr,eleicao,1,1.0,0.0,0.0,0.0
2018,AC,PSD,nucleo_80,competitividade,1,1.0,0.0,0.0,0.0
2018,AC,PSD,nucleo_80,eleicao,1,1.0,0.0,0.0,0.0
2018,AC,PSD,acima_divisao_igual,competitividade,1,0.0,0.0,0.0,0.0
2018,AC,PSD,acima_divisao_igual,eleicao,1,0.0,0.0,0.0,0.0
