ano_eleicao,regra_k,k,listas
2018,k_80,0,73
2018,k_80,1,329
2018,k_80,2,181
2018,k_80,3,80
2018,k_80,4,67
2018,k_80,5,30
2018,k_80,6,23
2018,k_80,7,18
2018,k_80,8,14
2018,k_80,9,9
2018,k_80,10,11
2018,k_80,11,7
2018,k_80,12,2
2018,k_80,13,1
2018,k_80,14,2
2018,k_80,15,1
2018,k_80,16,2
2018,k_80,17,3
2018,k_80,18,2
2018,k_80,22,1
2018,k_80,24,2
2018,k_80,43,1
2018,k_acima_igual,0,220
2018,k_acima_igual,1,282
2018,k_acima_igual,2,162
2018,k_acima_igual,3,51
2018,k_acima_igual,4,46
2018,k_acima_igual,5,17
2018,k_acima_igual,6,19
2018,k_acima_igual,7,15
2018,k_acima_igual,8,11
2018,k_acima_igual,9,8
2018,k_acima_igual,10,7
2018,k_acima_igual,11,4
2018,k_acima_igual,12,5
2018,k_acima_igual,13,4
2018,k_acima_igual,14,3
2018,k_acima_igual,18,1
2018,k_acima_igual,19,2
2018,k_acima_igual,20,1
2018,k_acima_igual,21,1
2018,k_top_necr,0,73
2018,k_top_necr,1,328
2018,k_top_necr,2,180
2018,k_top_necr,3,81
2018,k_top_necr,4,62
2018,k_top_necr,5,32
2018,k_top_necr,6,24
2018,k_top_necr,7,15
2018,k_top_necr,8,15
2018,k_top_necr,9,14
2018,k_top_necr,10,11
2018,k_top_necr,11,5
2018,k_top_necr,12,3
2018,k_top_necr,13,3
2018,k_top_necr,14,2
2018,k_top_necr,15,3
2018,k_top_necr,16,1
2018,k_top_necr,17,1
2018,k_top_necr,19,2
2018,k_top_necr,20,1
2018,k_top_necr,24,1
2018,k_top_necr,27,1
2018,k_top_necr,29,1
2022,k_80,0,63
2022,k_80,1,74
2022,k_80,2,82
2022,k_80,3,85
2022,k_80,4,57
2022,k_80,5,75
2022,k_80,6,83
2022,k_80,7,48
2022,k_80,8,28
2022,k_80,9,24
2022,k_80,10,17
2022,k_80,11,16
2022,k_80,12,9
2022,k_80,13,7
2022,k_80,14,1
2022,k_80,15,9
2022,k_80,16,6
2022,k_80,17,2
2022,k_80,18,5
2022,k_80,19,3
2022,k_80,20,4
2022,k_80,21,2
2022,k_80,22,1
2022,k_80,23,1
2022,k_80,24,2
2022,k_80,25,2
2022,k_80,27,1
2022,k_80,28,1
2022,k_80,29,1
2022,k_80,30,1
2022,k_80,39,1
2022,k_acima_igual,0,100
2022,k_acima_igual,1,125
2022,k_acima_igual,2,112
2022,k_acima_igual,3,88
2022,k_acima_igual,4,76
2022,k_acima_igual,5,52
2022,k_acima_igual,6,38
2022,k_acima_igual,7,29
2022,k_acima_igual,8,17
2022,k_acima_igual,9,17
2022,k_acima_igual,10,15
2022,k_acima_igual,11,6
2022,k_acima_igual,12,8
2022,k_acima_igual,13,4
2022,k_acima_igual,14,6
2022,k_acima_igual,15,4
2022,k_acima_igual,16,2
2022,k_acima_igual,17,2
2022,k_acima_igual,18,1
2022,k_acima_igual,19,2
2022,k_acima_igual,21,1
2022,k_acima_igual,22,1
2022,k_acima_igual,23,4
2022,k_acima_igual,26,1
2022,k_top_necr,0,63
2022,k_top_necr,1,74
2022,k_top_necr,2,90
2022,k_top_necr,3,76
2022,k_top_necr,4,61
2022,k_top_necr,5,57
2022,k_top_necr,6,66
2022,k_top_necr,7,58
2022,k_top_necr,8,47
2022,k_top_necr,9,26
2022,k_top_necr,10,21
2022,k_top_necr,11,8
2022,k_top_necr,12,11
2022,k_top_necr,13,9
2022,k_top_necr,14,10
2022,k_top_necr,15,3
2022,k_top_necr,16,5
2022,k_top_necr,17,3
2022,k_top_necr,18,5
2022,k_top_necr,19,2
2022,k_top_necr,20,1
2022,k_top_necr,21,4
2022,k_top_necr,22,1
2022,k_top_necr,23,2
2022,k_top_necr,24,1
2022,k_top_necr,25,1
2022,k_top_necr,28,1
2022,k_top_necr,30,2
2022,k_top_necr,31,1
2022,k_top_necr,32,1
2022,k_top_necr,38,1
