unidade_reamostragem,n_unidades,alvo,ano_eleicao,magnitude,metrica,estimativa,ic95_inf,ic95_sup
lista,859,competitivos,2018,Total,cobertura,0.8085817060637205,0.7791305211124628,0.8386707238045045
lista,859,competitivos,2018,Total,precisao,0.33940897325280417,0.30468119913966013,0.37447879386756694
lista,859,competitivos,2018,Total,lift,1.8909191282236126,1.7839366127717449,2.0121870323286792
lista,859,competitivos,2018,Pequeno (8–12),cobertura,0.8381294964028777,0.7927261640798227,0.8816906365193161
lista,859,competitivos,2018,Pequeno (8–12),precisao,0.2672018348623853,0.23085970437244835,0.3076923076923077
lista,859,competitivos,2018,Pequeno (8–12),lift,1.3981735844377685,1.3180182607484026,1.4854367611752404
lista,859,competitivos,2018,Médio (16–31),cobertura,0.8109375,0.7592432950191571,0.858935174021381
lista,859,competitivos,2018,Médio (16–31),precisao,0.34785522788203754,0.2863059886331556,0.41875588246670353
lista,859,competitivos,2018,Médio (16–31),lift,1.9587331027184176,1.8088099461880742,2.1272519214413435
lista,859,competitivos,2018,Grande (39–70),cobertura,0.7846666666666666,0.7231852880880448,0.8374629829048325
lista,859,competitivos,2018,Grande (39–70),precisao,0.4203571428571429,0.3461676085104582,0.5
lista,859,competitivos,2018,Grande (39–70),lift,2.51629208926355,2.20140849358349,2.9299539174055025
lista,711,competitivos,2022,Total,cobertura,0.8089231170254716,0.7836573598668358,0.8327304098936931
lista,711,competitivos,2022,Total,precisao,0.2864230911225127,0.2599666828887697,0.3137232982815202
lista,711,competitivos,2022,Total,lift,1.8552167975286504,1.7604404832779268,1.95599479254963
lista,711,competitivos,2022,Pequeno (8–12),cobertura,0.821882951653944,0.7864142571211169,0.8612568049682875
lista,711,competitivos,2022,Pequeno (8–12),precisao,0.23837638376383763,0.20816412544566934,0.2706137127911321
lista,711,competitivos,2022,Pequeno (8–12),lift,1.3667045982367119,1.301785336016487,1.4434601824866555
lista,711,competitivos,2022,Médio (16–31),cobertura,0.8057906458797328,0.7640261588197796,0.8459889955884862
lista,711,competitivos,2022,Médio (16–31),precisao,0.27809377401998464,0.2352576934180139,0.32276555143014507
lista,711,competitivos,2022,Médio (16–31),lift,1.998911226975891,1.8469200508628896,2.172059307928695
lista,711,competitivos,2022,Grande (39–70),cobertura,0.801722461821267,0.7575385553620847,0.8476990922736345
lista,711,competitivos,2022,Grande (39–70),precisao,0.3514399832641171,0.2880733415554662,0.4183649056652064
lista,711,competitivos,2022,Grande (39–70),lift,2.3720966349425963,2.14040109085806,2.673426462524927
lista,859,eleitos,2018,Total,cobertura,0.8674463937621832,0.8158284448020314,0.9125030339805825
lista,859,eleitos,2018,Total,precisao,0.1919758412424504,0.16965784044016508,0.21410968988071788
lista,859,eleitos,2018,Total,lift,1.9815439888506905,1.843549812918188,2.12547261391016
lista,859,eleitos,2018,Pequeno (8–12),cobertura,0.9302325581395349,0.8771862348178138,0.9729775077090513
lista,859,eleitos,2018,Pequeno (8–12),precisao,0.13761467889908258,0.1141552511415525,0.1658443668242627
lista,859,eleitos,2018,Pequeno (8–12),lift,1.4985950671245707,1.3863138278253908,1.6240794225918773
lista,859,eleitos,2018,Médio (16–31),cobertura,0.8835227272727273,0.8138297872340425,0.948051948051948
lista,859,eleitos,2018,Médio (16–31),precisao,0.2084450402144772,0.16666139240506328,0.2537684514654362
lista,859,eleitos,2018,Médio (16–31),lift,2.0668856183460815,1.845943090822788,2.3087286781566774
lista,859,eleitos,2018,Grande (39–70),cobertura,0.8149038461538461,0.7190705674363125,0.9000352112676054
lista,859,eleitos,2018,Grande (39–70),precisao,0.24214285714285713,0.19210888406224957,0.29270223140495866
lista,859,eleitos,2018,Grande (39–70),lift,2.4471802465835633,2.0934346487768107,2.929199771979146
lista,711,eleitos,2022,Total,cobertura,0.9263007947218473,0.8965768836984283,0.9547374395076372
lista,711,eleitos,2022,Total,precisao,0.12426577084003862,0.10630868634020922,0.1415445679783885
lista,711,eleitos,2022,Total,lift,2.1174347754230403,1.977423639723474,2.2741847870205714
lista,711,eleitos,2022,Pequeno (8–12),cobertura,0.9418604651162791,0.900625,0.9781061567756268
lista,711,eleitos,2022,Pequeno (8–12),precisao,0.0896678966789668,0.06864089266697927,0.11161314025043625
lista,711,eleitos,2022,Pequeno (8–12),lift,1.4438613614449598,1.3475834016250232,1.5580861557071302
lista,711,eleitos,2022,Médio (16–31),cobertura,0.9005681818181818,0.8378207909744607,0.9556962025316456
