ano_eleicao,ds_origem_despesa,vr_despesa_contratada
2018,Alimentação,8215572.46
2018,Aquisição/Doação de bens móveis ou imóveis,150395.67
2018,Atividades de militância e mobilização de rua,147970119.69
2018,Cessão ou locação de veículos,53183319.54
2018,Combustíveis e lubrificantes,48382510.24
2018,Comícios,2594228.15
2018,Correspondências e despesas postais,16387168.96
2018,Criação e inclusão de páginas na internet,7473181.51
2018,Despesa com Impulsionamento de Conteúdos,25097265.8
2018,Despesas com Hospedagem,815397.48
2018,Despesas com pessoal,219911732.65
2018,Despesas com transporte ou deslocamento,11573382.05
2018,Diversas a especificar,17369965.14
2018,Doações financeiras a outros candidatos/partidos,101235556.12
2018,"Encargos financeiros, taxas bancárias e/ou op. cartão de crédito",2015298.5
2018,Encargos sociais,344383.76
2018,Energia elétrica,178728.56
2018,Eventos de promoção da candidatura,5974242.23
2018,"Impostos, contribuições e taxas",366253.49
2018,Locação/cessão de bens imóveis,10787190.45
2018,Locação/cessão de bens móveis (exceto veículos),4778109.38
2018,Materiais de expediente,2403632.94
2018,Multas eleitorais,10096.36
2018,Passagem Aérea,297525.52
2018,Pesquisas ou testes eleitorais,6354448.74
2018,"Produção de jingles, vinhetas e slogans",8830832.72
2018,"Produção de programas de rádio, televisão ou vídeo",32131128.12
2018,Pré-instalação física de comitê de campanha,1144896.48
2018,Publicidade por adesivos,79943990.56
2018,Publicidade por carros de som,4445789.93
2018,Publicidade por jornais e revistas,14830144.66
2018,Publicidade por materiais impressos,277390940.14
2018,Reembolsos de gastos realizados por eleitores,32355.8
2018,Serviços prestados por terceiros,160590496.81
2018,Serviços próprios prestados por terceiros,12403850.87
2018,Taxa de Administração de Financiamento Coletivo,425014.95
2018,Telefone,173496.21
2018,Água,615016.54
2022,Alimentação,16153388.2
2022,Aquisição/Doação de bens móveis ou imóveis,539297.43
2022,Atividades de militância e mobilização de rua,446320896.25
2022,Cessão ou locação de veículos,120905342.36
2022,Combustíveis e lubrificantes,72671978.47
2022,Comícios,8552910.33
2022,Correspondências e despesas postais,19899426.94
2022,Criação e inclusão de páginas na internet,18770322.11
2022,Despesa com Impulsionamento de Conteúdos,153085581.99
2022,Despesa com geradores de energia,248952.13
2022,Despesas com Hospedagem,1290404.36
2022,Despesas com pessoal,450586074.1
2022,Despesas com transporte ou deslocamento,23483991.77
2022,Diversas a especificar,62882125.0
2022,Doações financeiras a outros candidatos/partidos,128978134.43
2022,"Encargos financeiros, taxas bancárias e/ou op. cartão de crédito",3230795.82
2022,Encargos sociais,71747.95
2022,Energia elétrica,184788.31
2022,Eventos de promoção da candidatura,21314669.83
2022,"Impostos, contribuições e taxas",166853.38
2022,Locação/cessão de bens imóveis,28926965.79
2022,Locação/cessão de bens móveis (exceto veículos),14467536.72
2022,Materiais de expediente,3651523.03
2022,Multas eleitorais,15382.74
2022,Passagem Aérea,529209.53
2022,Pesquisas ou testes eleitorais,10784074.63
2022,"Produção de jingles, vinhetas e slogans",21719159.52
2022,"Produção de programas de rádio, televisão ou vídeo",97522295.54
2022,Pré-instalação física de comitê de campanha,3841496.49
2022,Publicidade por adesivos,210161597.26
2022,Publicidade por carros de som,15813984.63
2022,Publicidade por jornais e revistas,16463217.74
2022,Publicidade por materiais impressos,672614963.39
2022,Reembolsos de gastos realizados por eleitores,52516.72
2022,Serviços advocatícios,107134482.69
2022,Serviços contábeis,60639352.8
2022,Serviços prestados por terceiros,326005092.43
2022,Serviços próprios prestados por terceiros,16340407.96
2022,Taxa de Administração de Financiamento Coletivo,244912.92
2022,Telefone,75794.5
2022,Água,1918541.13
