ano_eleicao,sg_uf,nr_candidato,gasto_bruto,exclusao_2022,registros
2018,AC,1010,850000.0,0.0,43
2018,AL,2121,2913.2,0.0,5
2018,AL,2888,59883.13,0.0,6
2018,AL,3189,763.9,0.0,4
2018,AL,5400,500.0,0.0,1
2018,AM,1200,10000.0,0.0,16
2018,AM,1224,10000.0,0.0,8
2018,AM,1255,10000.0,0.0,8
2018,AM,1555,100009.7,0.0,2
2018,AM,4300,5000.0,0.0,5
2018,AM,7023,1013.2,0.0,3
2018,AM,7700,30000.0,0.0,19
2018,AP,1125,29937.2,0.0,18
2018,AP,1212,520816.75,0.0,18
2018,AP,1300,364000.0,0.0,21
2018,AP,1310,24312.0,0.0,6
2018,AP,1312,364000.0,0.0,75
2018,AP,1313,475516.85,0.0,81
2018,AP,1333,19000.0,0.0,2
2018,AP,1365,9540.75,0.0,11
2018,AP,1380,13145.12,0.0,4
2018,AP,1399,9990.0,0.0,7
2018,AP,2200,100000.0,0.0,11
2018,AP,2323,69000.0,0.0,9
2018,AP,2580,150000.0,0.0,11
2018,AP,5151,200000.0,0.0,9
2018,BA,1300,919300.41,0.0,488
2018,BA,1332,9973.8,0.0,8
2018,BA,1446,15160.0,0.0,8
2018,BA,1515,99980.27,0.0,11
2018,BA,1530,20000.0,0.0,8
2018,BA,1589,23.1,0.0,1
2018,BA,1707,4470.0,0.0,3
2018,BA,1712,1453.0,0.0,5
2018,BA,1720,6.6,0.0,1
2018,BA,1744,29287.88,0.0,19
2018,BA,1774,800.0,0.0,1
2018,BA,1778,3600.0,0.0,2
2018,BA,1789,27538.0,0.0,3
2018,BA,2233,6649.9,0.0,5
2018,BA,2829,100.0,0.0,4
2018,BA,3626,1295.0,0.0,3
2018,BA,6555,500474.92,0.0,205
2018,BA,7077,6000.0,0.0,2
2018,CE,2121,21070.78,0.0,5
2018,CE,2377,10000.0,0.0,4
2018,CE,3617,2485.0,0.0,3
2018,CE,3690,4986.8,0.0,5
2018,CE,5004,2600.07,0.0,3
2018,CE,5080,10.0,0.0,1
2018,CE,5440,3713.2,0.0,3
2018,DF,1400,200000.0,0.0,106
2018,DF,1414,904364.77,0.0,535
2018,DF,1421,23091.64,0.0,43
2018,DF,1456,79675.05,0.0,73
2018,DF,2717,3500.0,0.0,7
2018,DF,2810,8000.0,0.0,3
2018,DF,3500,507.5,0.0,1
2018,DF,4499,63058.15,0.0,26
2018,DF,9099,750.0,0.0,1
2018,ES,1202,27139.78,0.0,62
2018,ES,1334,10000.0,0.0,7
2018,ES,1823,800.0,0.0,1
2018,ES,2322,22310.0,0.0,27
2018,ES,5505,40028.17,0.0,30
2018,GO,1308,15404.0,0.0,11
2018,GO,1555,2600.0,0.0,5
2018,GO,3170,10000.0,0.0,9
2018,GO,3555,22848.22,0.0,28
2018,GO,4438,4395.85,0.0,3
2018,GO,4567,13.2,0.0,1
2018,GO,5190,7200.0,0.0,4
2018,MA,1165,596000.0,0.0,277
2018,MA,1310,11385.0,0.0,10
2018,MA,1320,14993.2,0.0,4
2018,MA,1345,82015.0,0.0,7
2018,MA,1355,15013.2,0.0,12
2018,MA,1366,32.27,0.0,1
2018,MA,2744,3650.0,0.0,1
2018,MA,3678,9970.0,0.0,3
2018,MA,4433,34989.8,0.0,16
2018,MA,4570,100000.0,0.0,2
2018,MA,5400,10000.06,0.0,4
2018,MG,1107,313.55,0.0,4
2018,MG,1389,17883.4,0.0,15
2018,MG,1714,1061.0,0.0,2
2018,MG,1901,15000.0,0.0,6
2018,MG,1939,20000.0,0.0,10
2018,MG,2829,900.0,0.0,1
2018,MG,3138,24715.5,0.0,35
2018,MG,3310,954.0,0.0,1
2018,MG,3322,37209.72,0.0,36
2018,MG,3330,5120.0,0.0,4
2018,MG,3369,308.3,0.0,3
2018,MG,4399,400.0,0.0,2
2018,MG,5166,9085.0,0.0,6
2018,MG,5401,400.0,0.0,2
2018,MG,7021,86520.68,0.0,183
2018,MS,1111,1417007.03,0.0,745
2018,MS,1522,17496.23,0.0,40
2018,MS,1533,29998.35,0.0,20
2018,MT,1122,2412651.25,0.0,573
2018,MT,2727,22131.46,0.0,9
2018,MT,2777,20897.170000000002,0.0,11
2018,MT,2789,18298.0,0.0,10
2018,MT,2800,13250.0,0.0,10
2018,MT,2810,7243.35,0.0,12
2018,MT,2828,5580.0,0.0,12
2018,MT,2888,2000.0,0.0,11
