Ano,Grupo,Faixa,N,Percentual
2018,Todos,Sem registro,1721,22.55570117955439
2018,Todos,0 a <10%,4835,63.36828309305373
2018,Todos,10 a <25%,380,4.980340760157274
2018,Todos,25 a <50%,334,4.3774574049803405
2018,Todos,50 a <80%,249,3.2634338138925294
2018,Todos,80 a <90%,56,0.7339449541284404
2018,Todos,90 a <95%,31,0.40629095674967236
2018,Todos,95 a <99%,20,0.2621231979030144
2018,Todos,99 a 100%,2,0.02621231979030144
2018,Todos,Acima de 100%,2,0.02621231979030144
2018,Eleitos,Sem registro,0,0.0
2018,Eleitos,0 a <10%,73,14.230019493177387
2018,Eleitos,10 a <25%,79,15.399610136452242
2018,Eleitos,25 a <50%,156,30.4093567251462
2018,Eleitos,50 a <80%,144,28.07017543859649
2018,Eleitos,80 a <90%,28,5.458089668615984
2018,Eleitos,90 a <95%,19,3.7037037037037037
2018,Eleitos,95 a <99%,12,2.3391812865497075
2018,Eleitos,99 a 100%,1,0.1949317738791423
2018,Eleitos,Acima de 100%,1,0.1949317738791423
2018,Não eleitos,Sem registro,1721,24.18153716453562
2018,Não eleitos,0 a <10%,4762,66.91021497822116
2018,Não eleitos,10 a <25%,301,4.229310102571308
2018,Não eleitos,25 a <50%,178,2.5010538148096106
2018,Não eleitos,50 a <80%,105,1.4753407334551074
2018,Não eleitos,80 a <90%,28,0.39342419558802866
2018,Não eleitos,90 a <95%,12,0.16861036953772657
2018,Não eleitos,95 a <99%,8,0.11240691302515105
2018,Não eleitos,99 a 100%,1,0.01405086412814388
2018,Não eleitos,Acima de 100%,1,0.01405086412814388
2022,Todos,Sem registro,1014,10.48062015503876
2022,Todos,0 a <10%,6510,67.28682170542636
2022,Todos,10 a <25%,1013,10.470284237726098
2022,Todos,25 a <50%,533,5.5090439276485785
2022,Todos,50 a <80%,393,4.062015503875969
2022,Todos,80 a <90%,113,1.1679586563307494
2022,Todos,90 a <95%,59,0.6098191214470284
2022,Todos,95 a <99%,34,0.35142118863049093
2022,Todos,99 a 100%,5,0.05167958656330749
2022,Todos,Acima de 100%,1,0.0103359173126615
2022,Eleitos,Sem registro,0,0.0
2022,Eleitos,0 a <10%,13,2.53411306042885
2022,Eleitos,10 a <25%,51,9.941520467836257
2022,Eleitos,25 a <50%,137,26.705653021442494
2022,Eleitos,50 a <80%,185,36.06237816764133
2022,Eleitos,80 a <90%,66,12.865497076023392
2022,Eleitos,90 a <95%,29,5.653021442495127
2022,Eleitos,95 a <99%,26,5.0682261208577
2022,Eleitos,99 a 100%,5,0.9746588693957114
2022,Eleitos,Acima de 100%,1,0.1949317738791423
2022,Não eleitos,Sem registro,1014,11.067452521283563
2022,Não eleitos,0 a <10%,6497,70.91246452739577
2022,Não eleitos,10 a <25%,962,10.49989085352543
2022,Não eleitos,25 a <50%,396,4.322200392927308
2022,Não eleitos,50 a <80%,208,2.2702466710325258
2022,Não eleitos,80 a <90%,47,0.5129884304736957
2022,Não eleitos,90 a <95%,30,0.3274394237066143
2022,Não eleitos,95 a <99%,8,0.08731717965509714
2022,Não eleitos,99 a 100%,0,0.0
2022,Não eleitos,Acima de 100%,0,0.0
