UF,Ano,Grupo,Medida,N_universo,N_com_registro,N_sem_registro,Media_pct,Mediana_pct,P90_pct,P95_pct,P99_pct,Max_pct,N_ge10,Pct_ge10,N_ge50,Pct_ge50,N_ge80,Pct_ge80,N_ge90,Pct_ge90,N_ge95,Pct_ge95,N_ge99,Pct_ge99,N_ge100,Pct_ge100,N_igual100,N_acima100,Pct_observada_ge95_no_universo
AC,2018,Todos,gasto_pct,81.0,58.0,23.0,14.897320227586206,2.7990492,51.826513600000006,63.1996312,90.052878,90.052878,21.0,36.206896551724135,7.0,12.068965517241379,1.0,1.7241379310344827,1.0,1.7241379310344827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC,2018,Eleitos,gasto_pct,8.0,8.0,0.0,51.670403949999994,51.199374000000006,90.052878,90.052878,90.052878,90.052878,7.0,87.5,5.0,62.5,1.0,12.5,1.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL,2018,Todos,gasto_pct,72.0,62.0,10.0,12.892402445161292,1.3315579999999998,41.98714,54.2222904,70.6378904,70.6378904,21.0,33.87096774193548,5.0,8.064516129032258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL,2018,Eleitos,gasto_pct,9.0,9.0,0.0,46.481284844444446,41.98714,70.6378904,70.6378904,70.6378904,70.6378904,9.0,100.0,4.0,44.44444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AM,2018,Todos,gasto_pct,126.0,76.0,50.0,11.057681826315791,0.519124,49.463458,68.529982,79.9769556,79.9769556,19.0,25.0,7.0,9.210526315789474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AM,2018,Eleitos,gasto_pct,8.0,8.0,0.0,38.53592605,31.99006,77.0110432,77.0110432,77.0110432,77.0110432,7.0,87.5,3.0,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AP,2018,Todos,gasto_pct,97.0,70.0,27.0,10.240988199999999,3.143288,25.9408948,60.598954,78.096984,78.096984,19.0,27.142857142857142,4.0,5.714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AP,2018,Eleitos,gasto_pct,8.0,8.0,0.0,41.465889000000004,33.9305236,78.096984,78.096984,78.096984,78.096984,7.0,87.5,3.0,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BA,2018,Todos,gasto_pct,447.0,320.0,127.0,9.02398791375,0.8,37.652038,57.2487628,87.2828472,98.1960108,60.0,18.75,20.0,6.25,5.0,1.5625,2.0,0.625,2.0,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.44742729306487694
BA,2018,Eleitos,gasto_pct,39.0,39.0,0.0,43.052624205128204,39.375592,78.03496,87.2828472,89.88556960000001,89.88556960000001,34.0,87.17948717948718,14.0,35.8974358974359,3.0,7.6923076923076925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CE,2018,Todos,gasto_pct,229.0,188.0,41.0,9.479852123404257,0.8086184,35.9319896,47.62613,92.0719016,100.0,44.0,23.404255319148938,9.0,4.787234042553192,3.0,1.5957446808510638,2.0,1.0638297872340425,1.0,0.5319148936170213,1.0,0.5319148936170213,1.0,0.5319148936170213,1.0,0.0,0.4366812227074236
CE,2018,Eleitos,gasto_pct,22.0,22.0,0.0,31.16065801818182,28.716794,42.0833608,67.9896692,81.7812832,81.7812832,19.0,86.36363636363636,2.0,9.090909090909092,1.0,4.545454545454546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DF,2018,Todos,gasto_pct,162.0,139.0,23.0,8.487599194244604,1.19152,32.8376,46.3679576,90.3599476,99.7275744,27.0,19.424460431654676,6.0,4.316546762589928,5.0,3.597122302158273,2.0,1.4388489208633093,1.0,0.7194244604316546,1.0,0.7194244604316546,0.0,0.0,0.0,0.0,0.6172839506172839
DF,2018,Eleitos,gasto_pct,8.0,8.0,0.0,53.94516519999999,43.06813639999999,99.7275744,99.7275744,99.7275744,99.7275744,8.0,100.0,4.0,50.0,3.0,37.5,2.0,25.0,1.0,12.5,1.0,12.5,0.0,0.0,0.0,0.0,12.5
ES,2018,Todos,gasto_pct,157.0,133.0,24.0,10.115031395488723,1.2628,42.5330712,57.600484,91.8120976,92.47229720000001,30.0,22.55639097744361,10.0,7.518796992481203,2.0,1.5037593984962405,2.0,1.5037593984962405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES,2018,Eleitos,gasto_pct,10.0,10.0,0.0,48.790917,45.2610412,65.1517524,91.8120976,91.8120976,91.8120976,10.0,100.0,5.0,50.0,1.0,10.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GO,2018,Todos,gasto_pct,197.0,152.0,45.0,12.148647489473683,0.8328,50.004585999999996,80.856,100.5482332,103.67432,32.0,21.05263157894737,16.0,10.526315789473685,8.0,5.2631578947368425,5.0,3.289473684210526,2.0,1.3157894736842106,2.0,1.3157894736842106,2.0,1.3157894736842106,0.0,2.0,1.015228426395939
GO,2018,Eleitos,gasto_pct,17.0,17.0,0.0,54.5482158117647,50.41795559999999,93.325494,103.67432,103.67432,103.67432,16.0,94.11764705882354,10.0,58.8235294117647,4.0,23.529411764705884,3.0,17.647058823529413,1.0,5.882352941176471,1.0,5.882352941176471,1.0,5.882352941176471,0.0,1.0,5.882352941176471
MA,2018,Todos,gasto_pct,187.0,153.0,34.0,9.3381801124183,1.27536,37.5178628,59.9908984,93.6357464,97.923056,28.0,18.30065359477124,9.0,5.882352941176471,2.0,1.3071895424836601,2.0,1.3071895424836601,1.0,0.6535947712418301,0.0,0.0,0.0,0.0,0.0,0.0,0.5347593582887701
