semana,vr_receita,ano_eleicao,grupo_cs,cum_receita,cum_prop
1,86711036.69,2018,Com credencial eleitoral prévia,86711036.69,0.11987534720036068
2,349602073.34,2018,Com credencial eleitoral prévia,436313110.03,0.6031894848622807
3,85574038.53,2018,Com credencial eleitoral prévia,521887148.55999994,0.7214929669991034
4,66920636.27,2018,Com credencial eleitoral prévia,588807784.8299999,0.814008692954672
5,58251810.75,2018,Com credencial eleitoral prévia,647059595.5799999,0.8945400336612843
6,40809674.22,2018,Com credencial eleitoral prévia,687869269.8,0.9509581558865523
7,26702590.9,2018,Com credencial eleitoral prévia,714571860.6999999,0.9878736683458312
8,8771501.51,2018,Com credencial eleitoral prévia,723343362.2099999,1.0
1,17835912.8,2018,Sem credencial eleitoral prévia,17835912.8,0.061697333492812936
2,72764564.85,2018,Sem credencial eleitoral prévia,90600477.64999999,0.3134018396961547
3,54643599.8,2018,Sem credencial eleitoral prévia,145244077.45,0.5024229701486654
4,39352544.38,2018,Sem credencial eleitoral prévia,184596621.82999998,0.6385498441488333
5,41097479.79,2018,Sem credencial eleitoral prévia,225694101.62,0.7807127345346717
6,26860575.49,2018,Sem credencial eleitoral prévia,252554677.10999998,0.8736278492472422
7,25233019.55,2018,Sem credencial eleitoral prévia,277787696.65999997,0.9609129823191542
8,11299558.66,2018,Sem credencial eleitoral prévia,289087255.32,1.0
1,333711154.52,2022,Com credencial eleitoral prévia,333711154.52,0.21800356822776706
2,525208091.61,2022,Com credencial eleitoral prévia,858919246.13,0.561106387783695
3,287635037.89,2022,Com credencial eleitoral prévia,1146554284.02,0.7490097999352685
4,146622082.52,2022,Com credencial eleitoral prévia,1293176366.54,0.84479364394948
5,156608456.27,2022,Com credencial eleitoral prévia,1449784822.81,0.9471012888066317
6,48611533.72,2022,Com credencial eleitoral prévia,1498396356.53,0.9788577574306054
7,32363700.44,2022,Com credencial eleitoral prévia,1530760056.97,1.0
1,151964587.58,2022,Sem credencial eleitoral prévia,151964587.58,0.11578105392875251
2,369923560.79,2022,Sem credencial eleitoral prévia,521888148.37,0.3976239518262361
3,262798025.74,2022,Sem credencial eleitoral prévia,784686174.1100001,0.5978484440919404
4,219741664.01,2022,Sem credencial eleitoral prévia,1004427838.1200001,0.7652685112029178
5,186851276.55,2022,Sem credencial eleitoral prévia,1191279114.67,0.9076295577559703
6,75676660.25,2022,Sem credencial eleitoral prévia,1266955774.92,0.9652872240655013
7,45561104.34,2022,Sem credencial eleitoral prévia,1312516879.26,1.0
