ano_eleicao,sg_uf,sg_partido,nr_candidato,dias_desde_inicio,dias_primeiro_repasse_base,vr_receita_recursos_partidos,primeira_data,total_janela,dias_recalculados,primeiro_repasse_confere,primeiro_repasse_corrigido,diferenca_recursos,total_diverge,recursos_fora_janela,residuo_apos_janela,total_reconciliado
2018,AC,PROS,9090,7.0,7.0,316985.0,2018-08-23,312495.0,7.0,True,False,-4490.0,True,4490.0,0.0,True
2018,AC,PSD,5555,27.0,27.0,824450.0,2018-09-12,800500.0,27.0,True,False,-23950.0,True,23950.0,0.0,True
2018,AC,PSL,1700,,,58.18,,,,True,False,-58.18,True,58.18,0.0,True
2018,AC,PSL,1755,,,26.4,,,,True,False,-26.4,True,26.4,0.0,True
2018,AC,PSL,1771,,,58.82,,,,True,False,-58.82,True,58.82,0.0,True
2018,AC,PSL,1777,,,58.82,,,,True,False,-58.82,True,58.82,0.0,True
2018,AC,PSL,1788,,,58.82,,,,True,False,-58.82,True,58.82,0.0,True
2018,AC,PTC,3611,8.0,8.0,570000.0,2018-08-24,550000.0,8.0,True,False,-20000.0,True,20000.0,0.0,True
2018,AL,PR,2222,15.0,15.0,1255557.26,2018-08-31,1200000.0,15.0,True,False,-55557.26000000001,True,55557.26,-7.275957614183426e-12,True
2018,AL,PSDB,4500,27.0,27.0,88385.42,2018-09-12,75000.0,27.0,True,False,-13385.419999999998,True,13385.42,1.8189894035458565e-12,True
2018,AL,PSOL,5000,,,936.16,,,,True,False,-936.16,True,936.16,0.0,True
2018,AL,PSOL,5050,18.0,18.0,15327.06,2018-09-03,14390.9,18.0,True,False,-936.1599999999999,True,936.16,1.1368683772161603e-13,True
2018,AM,MDB,1512,12.0,12.0,24480.0,2018-08-28,21980.0,12.0,True,False,-2500.0,True,2500.0,0.0,True
2018,AM,MDB,1515,8.0,8.0,1773090.0,2018-08-24,1767090.0,8.0,True,False,-6000.0,True,6000.0,0.0,True
2018,AM,PATRI,5100,49.0,,70.1,2018-10-04,70.1,49.0,True,True,0.0,False,0.0,0.0,True
2018,AM,PATRI,5111,20.0,,70.0,2018-09-05,70.0,20.0,True,True,0.0,False,0.0,0.0,True
2018,AM,PATRI,5123,46.0,,70.0,2018-10-01,70.0,46.0,True,True,0.0,False,0.0,0.0,True
2018,AM,PATRI,5151,49.0,,70.0,2018-10-04,70.0,49.0,True,True,0.0,False,0.0,0.0,True
2018,AM,PP,1111,12.0,12.0,1897386.0,2018-08-28,1867386.0,12.0,True,False,-30000.0,True,30000.0,0.0,True
2018,AP,AVANTE,7070,13.0,13.0,210000.0,2018-08-29,200000.0,13.0,True,False,-10000.0,True,10000.0,0.0,True
2018,AP,PDT,1236,11.0,11.0,151908.0,2018-08-27,150000.0,11.0,True,False,-1908.0,True,1908.0,0.0,True
2018,AP,PSDB,4545,18.0,18.0,824800.0,2018-09-03,800000.0,18.0,True,False,-24800.0,True,24800.0,0.0,True
2018,AP,PTB,1414,20.0,20.0,104369.0,2018-09-05,104000.0,20.0,True,False,-369.0,True,369.0,0.0,True
2018,BA,AVANTE,7070,13.0,13.0,271000.0,2018-08-29,171000.0,13.0,True,False,-100000.0,True,100000.0,0.0,True
2018,BA,MDB,1578,13.0,13.0,140019.0,2018-08-29,140000.0,13.0,True,False,-19.0,True,19.0,0.0,True
2018,BA,MDB,1580,13.0,13.0,114000.1,2018-08-29,100000.0,13.0,True,False,-14000.100000000006,True,14000.1,-5.4569682106375694e-12,True
2018,BA,PATRI,5100,25.0,,1650.61,2018-09-10,1650.61,25.0,True,True,0.0,False,0.0,0.0,True
2018,BA,PATRI,5101,27.0,,1726.88,2018-09-12,1121.88,27.0,True,True,-605.0,True,605.0,0.0,True
2018,BA,PATRI,5102,25.0,,1650.61,2018-09-10,1650.61,25.0,True,True,0.0,False,0.0,0.0,True
2018,BA,PATRI,5106,25.0,,1650.61,2018-09-10,1650.61,25.0,True,True,0.0,False,0.0,0.0,True
2018,BA,PATRI,5107,25.0,,1715.61,2018-09-10,1715.61,25.0,True,True,0.0,False,0.0,0.0,True
2018,BA,PATRI,5109,,,235.0,,,,True,False,-235.0,True,235.0,0.0,True
2018,BA,PATRI,5111,25.0,,4093.1099999999997,2018-09-10,4093.1099999999997,25.0,True,True,0.0,False,0.0,0.0,True
2018,BA,PATRI,5112,25.0,,2040.61,2018-09-10,2040.61,25.0,True,True,0.0,False,0.0,0.0,True
2018,BA,PATRI,5114,27.0,,1729.88,2018-09-12,1121.88,27.0,True,True,-608.0,True,608.0,0.0,True
2018,BA,PATRI,5116,27.0,,1121.88,2018-09-12,1121.88,27.0,True,True,0.0,False,0.0,0.0,True
2018,BA,PATRI,5118,27.0,,2731.88,2018-09-12,2121.88,27.0,True,True,-610.0,True,610.0,0.0,True
2018,BA,PATRI,5120,20.0,,6051.88,2018-09-05,4521.88,20.0,True,True,-1530.0,True,1530.0,0.0,True
2018,BA,PATRI,5121,25.0,,2918.1099999999997,2018-09-10,2918.1099999999997,25.0,True,True,0.0,False,0.0,0.0,True
2018,BA,PATRI,5122,25.0,,1650.61,2018-09-10,1650.61,25.0,True,True,0.0,False,0.0,0.0,True
2018,BA,PATRI,5123,25.0,,8443.11,2018-09-10,8443.11,25.0,True,True,0.0,False,0.0,0.0,True
2018,BA,PATRI,5125,27.0,,1121.88,2018-09-12,1121.88,27.0,True,True,0.0,False,0.0,0.0,True
2018,BA,PATRI,5130,25.0,,2040.61,2018-09-10,2040.61,25.0,True,True,0.0,False,0.0,0.0,True
2018,BA,PATRI,5133,27.0,,5871.88,2018-09-12,5871.88,27.0,True,True,0.0,False,0.0,0.0,True
2018,BA,PATRI,5134,27.0,,1521.88,2018-09-12,1121.88,27.0,True,True,-400.0,True,400.0,0.0,True
2018,BA,PATRI,5135,27.0,,2121.88,2018-09-12,2121.88,27.0,True,True,0.0,False,0.0,0.0,True
2018,BA,PATRI,5136,25.0,,1650.61,2018-09-10,1650.61,25.0,True,True,0.0,False,0.0,0.0,True
2018,BA,PATRI,5138,25.0,,2268.1099999999997,2018-09-10,2268.1099999999997,25.0,True,True,0.0,False,0.0,0.0,True
2018,BA,PATRI,5141,25.0,,2040.61,2018-09-10,2040.61,25.0,True,True,0.0,False,0.0,0.0,True
2018,BA,PATRI,5144,25.0,,2040.61,2018-09-10,2040.61,25.0,True,True,0.0,False,0.0,0.0,True
2018,BA,PATRI,5150,25.0,,5443.11,2018-09-10,5443.11,25.0,True,True,0.0,False,0.0,0.0,True
2018,BA,PATRI,5151,11.0,,150710.11,2018-08-27,150710.11,11.0,True,True,0.0,False,0.0,0.0,True
2018,BA,PATRI,5152,25.0,,1700.61,2018-09-10,1700.61,25.0,True,True,0.0,False,0.0,0.0,True
2018,BA,PATRI,5155,25.0,,1650.61,2018-09-10,1650.61,25.0,True,True,0.0,False,0.0,0.0,True
2018,BA,PATRI,5157,25.0,,1650.61,2018-09-10,1650.61,25.0,True,True,0.0,False,0.0,0.0,True
2018,BA,PATRI,5166,25.0,,1650.61,2018-09-10,1650.61,25.0,True,True,0.0,False,0.0,0.0,True
2018,BA,PATRI,5167,25.0,,2528.1099999999997,2018-09-10,2528.1099999999997,25.0,True,True,0.0,False,0.0,0.0,True
2018,BA,PATRI,5170,25.0,,1650.61,2018-09-10,1650.61,25.0,True,True,0.0,False,0.0,0.0,True
2018,BA,PATRI,5177,27.0,,1121.88,2018-09-12,1121.88,27.0,True,True,0.0,False,0.0,0.0,True
2018,BA,PATRI,5188,27.0,,3227.88,2018-09-12,2621.88,27.0,True,True,-606.0,True,606.0,0.0,True
2018,BA,PATRI,5199,25.0,,2528.1099999999997,2018-09-10,2528.1099999999997,25.0,True,True,0.0,False,0.0,0.0,True
2018,BA,PDT,1234,12.0,12.0,800000.0,2018-08-28,500000.0,12.0,True,False,-300000.0,True,300000.0,0.0,True
2018,BA,PSDB,4567,14.0,14.0,293432.21,2018-08-30,293402.21,14.0,True,False,-30.0,True,30.0,0.0,True
2018,BA,PTC,3611,,,100.0,,,,True,False,-100.0,True,100.0,0.0,True
2018,BA,PTC,3630,,,100.0,,,,True,False,-100.0,True,100.0,0.0,True
2018,BA,PTC,3690,,,100.0,,,,True,False,-100.0,True,100.0,0.0,True
2018,BA,REDE,1809,27.0,27.0,1795.0,2018-09-12,800.0,27.0,True,False,-995.0,True,995.0,0.0,True
2018,BA,REDE,1810,27.0,27.0,2921.88,2018-09-12,1921.88,27.0,True,False,-1000.0,True,1000.0,0.0,True
2018,BA,REDE,1817,27.0,27.0,2322.88,2018-09-12,1921.88,27.0,True,False,-401.0,True,401.0,0.0,True
2018,CE,PATRI,5111,6.0,,14100.0,2018-08-22,14100.0,6.0,True,True,0.0,False,0.0,0.0,True
2018,CE,PATRI,5112,12.0,,5820.0,2018-08-28,5820.0,12.0,True,True,0.0,False,0.0,0.0,True
2018,CE,PATRI,5113,7.0,,12036.15,2018-08-23,10300.0,7.0,True,True,-1736.1499999999996,True,1736.15,4.547473508864641e-13,True
2018,CE,PATRI,5115,26.0,,1800.0,2018-09-11,1800.0,26.0,True,True,0.0,False,0.0,0.0,True
2018,CE,PATRI,5121,12.0,,1800.0,2018-08-28,1800.0,12.0,True,True,0.0,False,0.0,0.0,True
2018,CE,PATRI,5122,7.0,,3820.0,2018-08-23,3820.0,7.0,True,True,0.0,False,0.0,0.0,True
2018,CE,PATRI,5124,8.0,,6840.0,2018-08-24,5800.0,8.0,True,True,-1040.0,True,1040.0,0.0,True
2018,CE,PATRI,5130,6.0,,1800.0,2018-08-22,1800.0,6.0,True,True,0.0,False,0.0,0.0,True
2018,CE,PATRI,5133,6.0,,3800.0,2018-08-22,3800.0,6.0,True,True,0.0,False,0.0,0.0,True
2018,CE,PATRI,5144,29.0,,14000.0,2018-09-14,14000.0,29.0,True,True,0.0,False,0.0,0.0,True
2018,CE,PATRI,5152,6.0,,1800.0,2018-08-22,1800.0,6.0,True,True,0.0,False,0.0,0.0,True
2018,CE,PATRI,5155,6.0,,5200.0,2018-08-22,5200.0,6.0,True,True,0.0,False,0.0,0.0,True
2018,CE,PATRI,5161,20.0,,5005.0,2018-09-05,5005.0,20.0,True,True,0.0,False,0.0,0.0,True
2018,CE,PATRI,5166,4.0,,1800.0,2018-08-20,1800.0,4.0,True,True,0.0,False,0.0,0.0,True
2018,CE,PATRI,5177,6.0,,1800.0,2018-08-22,1800.0,6.0,True,True,0.0,False,0.0,0.0,True
2018,CE,PATRI,5190,6.0,,1800.0,2018-08-22,1800.0,6.0,True,True,0.0,False,0.0,0.0,True
2018,CE,PATRI,5192,29.0,,30000.0,2018-09-14,30000.0,29.0,True,True,0.0,False,0.0,0.0,True
2018,CE,PATRI,5199,35.0,,11483.2,2018-09-20,10000.0,35.0,True,True,-1483.2000000000007,True,1483.2,-6.821210263296962e-13,True
2018,CE,PRB,1010,4.0,4.0,1119020.0,2018-08-20,1112000.0,4.0,True,False,-7020.0,True,7020.0,0.0,True
2018,CE,PT,1311,21.0,21.0,21394.4,2018-09-06,16990.0,21.0,True,False,-4404.4000000000015,True,4404.4,-1.8189894035458565e-12,True
2018,CE,PT,1335,39.0,39.0,15003.0,2018-09-24,15000.0,39.0,True,False,-3.0,True,3.0,0.0,True
2018,CE,PT,1344,19.0,19.0,21394.4,2018-09-04,16990.0,19.0,True,False,-4404.4000000000015,True,4404.4,-1.8189894035458565e-12,True
2018,CE,PT,1351,25.0,25.0,90024.4,2018-09-10,85620.0,25.0,True,False,-4404.399999999994,True,4404.4,5.4569682106375694e-12,True
2018,DF,AVANTE,7000,7.0,7.0,14483.09,2018-08-23,10574.0,7.0,True,False,-3909.09,True,3909.09,0.0,True
2018,DF,AVANTE,7007,7.0,7.0,20818.29,2018-08-23,16909.2,7.0,True,False,-3909.09,True,3909.09,0.0,True
2018,DF,AVANTE,7018,12.0,12.0,13316.84,2018-08-28,9407.75,12.0,True,False,-3909.09,True,3909.09,0.0,True
2018,DF,AVANTE,7030,7.0,7.0,8061.04,2018-08-23,4151.95,7.0,True,False,-3909.09,True,3909.09,0.0,True
2018,DF,AVANTE,7044,7.0,7.0,23101.39,2018-08-23,19192.300000000003,7.0,True,False,-3909.0899999999965,True,3909.09,3.637978807091713e-12,True
2018,DF,AVANTE,7070,7.0,7.0,28320.19,2018-08-23,24411.1,7.0,True,False,-3909.09,True,3909.09,0.0,True
2018,DF,AVANTE,7077,7.0,7.0,9312.79,2018-08-23,5403.7,7.0,True,False,-3909.090000000001,True,3909.09,-9.094947017729282e-13,True
2018,DF,AVANTE,7099,7.0,7.0,9575.54,2018-08-23,5666.45,7.0,True,False,-3909.090000000001,True,3909.09,-9.094947017729282e-13,True
2018,DF,PATRI,5151,13.0,,40000.0,2018-08-29,40000.0,13.0,True,True,0.0,False,0.0,0.0,True
2018,DF,PPL,5422,27.0,27.0,5824.7,2018-09-12,5750.0,27.0,True,False,-74.69999999999982,True,74.7,1.8474111129762605e-13,True
2018,DF,PRB,1000,1.0,1.0,61127.7,2018-08-17,52245.24,1.0,True,False,-8882.46,True,8882.46,0.0,True
