ano_eleicao,dm_cat,alvo,n_listas,tamanho_relativo_medio_top_necr,H_observado,E_esperado,lift
2018,Pequeno (8–12),competitivos,465,0.5970096987838922,233.0,166.64597485847486,1.3981735844377683
2018,Médio (16–31),competitivos,260,0.47426248085211425,259.5,132.4835934205912,1.958733102718418
2018,Grande (39–70),competitivos,134,0.288677290205916,294.25,116.93793469188189,2.5162920892635494
2022,Pequeno (8–12),competitivos,357,0.5881878159189083,323.0,236.33490398490397,1.3667045982367116
2022,Médio (16–31),competitivos,231,0.45824440778089587,361.8,180.998533160154,1.9989112269758913
2022,Grande (39–70),competitivos,123,0.3465485870681495,410.4819004524887,173.04602789187055,2.3720966349425954
2018+2022,Pequeno (8–12),competitivos,822,0.5931782971016547,556.0,402.98087884337883,1.3797180689957576
2018+2022,Médio (16–31),competitivos,491,0.4667264831342906,621.3,313.4821265807452,1.981931176672583
2018+2022,Grande (39–70),competitivos,257,0.3163744478481523,704.7319004524887,289.9839625837524,2.43024439756371
2018,Pequeno (8–12),eleitos,465,0.5970096987838922,120.0,80.07499999999999,1.498595067124571
2018,Médio (16–31),eleitos,260,0.47426248085211425,155.5,75.23396486953679,2.0668856183460824
2018,Grande (39–70),eleitos,134,0.288677290205916,169.5,69.2633900737937,2.4471802465835633
2022,Pequeno (8–12),eleitos,357,0.5881878159189083,121.5,84.14935342435342,1.4438613614449596
2022,Médio (16–31),eleitos,231,0.45824440778089587,158.5,66.10475859055285,2.3977093840057004
2022,Grande (39–70),eleitos,123,0.3465485870681495,195.19230769230768,74.16475236185799,2.6318743267683673
2018+2022,Pequeno (8–12),eleitos,822,0.5931782971016547,241.5,164.2243534243534,1.4705492514619156
2018+2022,Médio (16–31),eleitos,491,0.4667264831342906,314.0,141.33872346008962,2.221613386006457
2018+2022,Grande (39–70),eleitos,257,0.3163744478481523,364.6923076923077,143.42814243565167,2.5426830571686803
