ano_eleicao,sg_partido_norm,alvo,n_listas,H_observado,E_esperado,lift,denominador_pequeno
2018,PATRI,competitivos,26,11.0,3.3254622005046457,3.3078108656086145,True
2018,PMN,competitivos,26,7.0,2.1996012759170656,3.182394953413334,True
2018,PSOL,competitivos,27,14.0,4.850396279566224,2.8863621017893477,True
2018,PDT,competitivos,27,34.0,14.30338903677413,2.3770590251433226,False
2018,REDE,competitivos,27,4.0,1.8415750915750915,2.172053704624565,True
2018,MDB,competitivos,27,63.0,29.083152958152958,2.1662025465618933,False
2018,AVANTE,competitivos,25,11.0,5.103084415584416,2.1555590901860984,False
2018,PSB,competitivos,27,47.0,22.28125552608311,2.109396391284162,False
2018,PODE,competitivos,27,20.0,9.508345195619889,2.1034154301858115,False
2018,PT,competitivos,26,85.5,41.63375374625375,2.053622176878379,False
2018,DEM,competitivos,27,44.0,21.78504171267329,2.0197344848049257,False
2018,PV,competitivos,27,18.0,9.032142857142858,1.9928825622775799,False
2018,PHS,competitivos,27,13.0,6.537497307074772,1.9885285437795308,False
2018,PROS,competitivos,27,21.0,10.60399499216645,1.9803856957225507,False
2018,PSDB,competitivos,27,56.0,28.439357211416038,1.9691021700561029,False
2018,PPS,competitivos,26,18.0,9.197402597402597,1.9570742728042927,False
2018,PSC,competitivos,27,20.0,10.308045440398383,1.9402320367756398,False
2018,PRB,competitivos,26,38.0,19.863090737383068,1.9130960283276863,False
2018,PRP,competitivos,25,6.0,3.138567572778099,1.9117001182450593,True
2018,PTC,competitivos,25,5.0,2.8405433646812956,1.7602266038846381,True
2018,PSD,competitivos,27,52.0,30.747033358798063,1.6912200729479658,False
2018,PTB,competitivos,26,22.0,13.249975579975578,1.6603804186060658,False
2018,PRTB,competitivos,24,3.0,1.8876068376068376,1.5893140140366766,True
2018,PP,competitivos,26,58.0,37.04371184371185,1.56571782667739,False
2018,PPL,competitivos,24,4.0,2.5656565656565657,1.5590551181102361,True
2018,PR,competitivos,27,54.0,34.6972027972028,1.5563214220932342,False
2018,SOLIDARIEDADE,competitivos,27,30.0,19.976619644723094,1.501755578948745,False
2018,PC DO B,competitivos,27,17.0,11.431623931623932,1.4871028037383178,False
2018,PSL,competitivos,27,7.0,4.911564811693037,1.425207702305993,True
2018,PMB,competitivos,18,2.0,1.5,1.3333333333333333,True
2018,NOVO,competitivos,19,1.0,0.7777777777777778,1.2857142857142856,True
2018,DC,competitivos,25,1.25,1.4030303030303028,0.8909287257019439,True
2018,PCB,competitivos,13,0.0,0.0,,True
2018,PCO,competitivos,4,0.0,0.0,,True
2018,PSTU,competitivos,16,0.0,0.0,,True
2018,PPL,eleitos,24,1.0,0.1111111111111111,9.0,True
2018,PSOL,eleitos,27,10.0,1.640258115867872,6.0966014453822295,True
2018,PMN,eleitos,26,3.0,0.5833333333333334,5.142857142857142,True
2018,REDE,eleitos,27,1.0,0.25,4.0,True
2018,PATRI,eleitos,26,3.0,0.8187058555479607,3.6643197061197235,True
2018,AVANTE,eleitos,25,6.0,1.7040043290043292,3.5211178151794216,True
2018,PRP,eleitos,25,2.0,0.5982190324295588,3.3432570539880024,True
2018,PHS,eleitos,27,3.0,1.0080840599150458,2.9759423041098563,True
2018,PROS,eleitos,27,7.0,2.524242424242424,2.7731092436974794,True
2018,PDT,eleitos,27,22.0,7.974035048802129,2.758954514917121,False
2018,PODE,eleitos,27,10.0,3.7315478281231704,2.6798530959817892,True
2018,PSC,eleitos,27,6.0,2.2869592281356987,2.6235710397387044,True
2018,PPS,eleitos,26,8.0,3.255844155844156,2.4571200638213004,True
2018,PSB,eleitos,27,29.0,13.081476569407602,2.2168751246185407,False
2018,NOVO,eleitos,19,7.0,3.259502923976608,2.1475667189952907,True
2018,PT,eleitos,26,56.0,26.29757326007326,2.129474056262939,False
2018,PV,eleitos,27,3.5,1.65,2.121212121212121,True
2018,MDB,eleitos,27,30.0,14.911904761904763,2.0118154239182497,False
2018,DEM,eleitos,27,26.0,13.062676358728991,1.9904037492765243,False
2018,PRB,eleitos,26,29.0,14.855416815114527,1.9521498697023552,False
2018,PSDB,eleitos,27,26.0,13.87274833010127,1.8741780201969684,False
2018,PSL,eleitos,27,21.5,11.887059733974434,1.8086894893403116,False
2018,PP,eleitos,26,37.0,21.748717948717946,1.701249705258194,False
2018,PSD,eleitos,27,32.0,19.370734657499366,1.6519765804345072,False
2018,PR,eleitos,27,33.0,20.41140526140526,1.6167431677228898,False
2018,SOLIDARIEDADE,eleitos,27,13.0,8.39396551724138,1.548731642189586,False
2018,PC DO B,eleitos,27,9.0,6.611111111111111,1.361344537815126,False
2018,PTC,eleitos,25,2.0,1.5,1.3333333333333333,True
2018,PTB,eleitos,26,9.0,6.944444444444444,1.296,False
2018,DC,eleitos,25,0.0,0.22727272727272727,0.0,True
2018,PCB,eleitos,13,0.0,0.0,,True
