ano_eleicao,semana,lift_competitivos,lift_ic95_inf,lift_ic95_sup,cobertura_competitivos,cobertura_aleatoria,precisao_competitivos,n_posicoes_top,listas_total,listas_financiadas,prop_recursos_acumulados
2018,1,1.727671280160883,1.5239105247640015,1.9712855128304818,0.18321075977807735,0.10604491831398422,0.267262472659774,667,859,239,0.10326332262161374
2018,2,1.9803997693441666,1.8489929087558739,2.133680826173186,0.6358349095033696,0.3210639181774567,0.43476273151565614,1423,859,543,0.520444145560806
2018,3,1.9270583094251243,1.8084743449297813,2.0496855906477696,0.7398167180541282,0.38390987674619387,0.4115732799695064,1749,859,663,0.6589401925018648
2018,4,1.9334480273896217,1.8167852958462036,2.0754391617100545,0.7607057211373758,0.39344513550975374,0.36461412151067324,2030,859,725,0.7639085516268306
2018,5,1.9325838381708875,1.8245776878446858,2.049511855955238,0.7881057791129734,0.4077990116376445,0.3551768981366017,2159,859,754,0.8620380321263238
2018,6,1.9100594530689035,1.8040838911072468,2.0179275129834187,0.7976533059266873,0.41760653295115663,0.3521400483968542,2204,859,763,0.9288774268841525
2018,7,1.8979029163414423,1.7845986765124775,2.012595410134551,0.8058067831449126,0.424577451357867,0.34846666666666665,2250,859,775,0.9801753721959072
2018,8,1.8979355481574878,1.7928638399680488,2.0143129842349516,0.8075539568345323,0.4254907168046376,0.3408893709327549,2305,859,783,1.0
2022,1,1.9731584946423657,1.8074569093619859,2.1488905462653913,0.2932976366322009,0.14864372904081433,0.4052295918367347,980,711,265,0.17081548965960888
2022,2,1.9363018950017907,1.834066770553962,2.0562873044637286,0.6754893665794917,0.3488553971481121,0.36657819733412095,2495,711,473,0.4856394313565743
2022,3,1.938141082823887,1.835667947258967,2.0397438697281087,0.7581001498010383,0.3911480730270061,0.3228900921140629,3179,711,566,0.679230515157169
2022,4,1.8846579602088056,1.7875990392384535,1.9852992867864638,0.7815743798521089,0.4147035676253512,0.29518876159546875,3585,711,615,0.8080831576351734
2022,5,1.8497511349662776,1.7568222181541067,1.9454502555403546,0.8062088910818934,0.4358472206568432,0.2906301487020457,3756,711,635,0.9288803013968379
2022,6,1.857456225893903,1.7728729169569573,1.9588730462765067,0.814423929098966,0.43846197705521894,0.2904978925184405,3796,711,646,0.9725933116865769
2022,7,1.8546357827305329,1.7710947517716857,1.9569307336963813,0.8110265878877401,0.43729695902539223,0.2885260115606937,3806,711,647,1.0
