Ano,Magnitude,Tipo de partido,Listas,Candidatos,Competitivos,Competitivos / candidatos (%)
2018,Grande (39–70),Competitivo,36,940,214,22.76595744680851
2018,Grande (39–70),Menos competitivo,98,2861,142,4.963299545613422
2018,Médio (16–31),Competitivo,72,616,175,28.40909090909091
2018,Médio (16–31),Menos competitivo,188,1503,131,8.715901530272788
2018,Pequeno (8–12),Competitivo,132,476,153,32.142857142857146
2018,Pequeno (8–12),Menos competitivo,333,1234,123,9.967585089141005
2022,Grande (39–70),Competitivo,36,1605,315,19.626168224299064
2022,Grande (39–70),Menos competitivo,87,2552,160,6.269592476489028
2022,Médio (16–31),Competitivo,72,1310,288,21.984732824427482
2022,Médio (16–31),Menos competitivo,159,1825,138,7.561643835616438
2022,Pequeno (8–12),Competitivo,123,1003,290,28.913260219341975
2022,Pequeno (8–12),Menos competitivo,234,1380,84,6.086956521739131
