Ano,Magnitude,Tipo de partido,Listas,Candidatos,Competitivos,Competitivos / candidatos (%)
2018,Grande (39–70),Competitivo,36,940,197,20.95744680851064
2018,Grande (39–70),Menos competitivo,98,2861,130,4.543865781195386
2018,Médio (16–31),Competitivo,72,616,172,27.92207792207792
2018,Médio (16–31),Menos competitivo,188,1503,120,7.984031936127744
2018,Pequeno (8–12),Competitivo,132,476,146,30.672268907563026
2018,Pequeno (8–12),Menos competitivo,333,1234,114,9.238249594813615
2022,Grande (39–70),Competitivo,36,1605,311,19.376947040498443
2022,Grande (39–70),Menos competitivo,87,2552,158,6.191222570532916
2022,Médio (16–31),Competitivo,72,1310,285,21.755725190839694
2022,Médio (16–31),Menos competitivo,159,1825,137,7.506849315068493
2022,Pequeno (8–12),Competitivo,123,1003,287,28.614157527417746
2022,Pequeno (8–12),Menos competitivo,234,1380,83,6.0144927536231885
