Ano,Magnitude,Tipo de partido,Listas,Candidatos,Competitivos,Competitivos / candidatos (%)
2018,Grande (39–70),Competitivo,36,940,197,20.95744680851064
2018,Grande (39–70),Menos competitivo,98,2861,131,4.578818594896889
2018,Médio (16–31),Competitivo,72,616,173,28.084415584415584
2018,Médio (16–31),Menos competitivo,188,1503,122,8.117099135063206
2018,Pequeno (8–12),Competitivo,132,476,146,30.672268907563026
2018,Pequeno (8–12),Menos competitivo,333,1234,117,9.481361426256077
2022,Grande (39–70),Competitivo,36,1605,312,19.439252336448597
2022,Grande (39–70),Menos competitivo,87,2552,159,6.230407523510972
2022,Médio (16–31),Competitivo,72,1310,288,21.984732824427482
2022,Médio (16–31),Menos competitivo,159,1825,141,7.726027397260274
2022,Pequeno (8–12),Competitivo,123,1003,295,29.41176470588235
2022,Pequeno (8–12),Menos competitivo,234,1380,92,6.666666666666667
