Ano,Magnitude,Indicador,N válido,Indefinidos,Média,Desvio-padrão,Mínimo,P25,Mediana,P75,Máximo
2018,Grande (39–70),NECr / E (E > 0),77,0,2.877035279076662,2.466288306645349,0.6162979338250348,1.4526473729718734,2.0855682982868524,3.1305183360689806,13.50737832964293
2018,Grande (39–70),NECr − E,77,0,3.4774488334493396,3.6835277292765487,-4.6044247940995815,0.9052947459437468,2.638521236342301,5.095256148777982,15.882357372474821
2018,Médio (16–31),NECr / E (E > 0),109,0,2.0554281932242753,1.6389172353985793,0.522981751705677,1.0504674291576086,1.622505709176685,2.2806402248044195,10.499775368265674
2018,Médio (16–31),NECr − E,109,0,1.4220197834034929,1.991593912366436,-2.8621094897659383,0.0504674291576086,0.9559842667166136,1.986003885872765,9.499775368265674
2018,Pequeno (8–12),NECr / E (E > 0),114,0,1.6965403659374259,0.9561568054560385,0.8417972759973468,1.0,1.2890966709591836,1.992865745257011,6.764354286202949
2018,Pequeno (8–12),NECr − E,114,0,0.7307638492296865,0.972258368702453,-0.31640544800530646,0.0,0.2987111066736895,1.1211063712424312,5.764354286202949
2022,Grande (39–70),NECr / E (E > 0),61,0,4.807762136107502,3.956702167799531,1.0375089895338263,2.656920938237826,3.837447815542067,4.838228506211375,24.557810957480005
2022,Grande (39–70),NECr − E,61,0,8.296710913471244,5.972217765264334,0.07501797906765262,4.427784064879944,6.977758056260171,10.405510791484343,31.6766117799526
2022,Médio (16–31),NECr / E (E > 0),81,0,3.9866848115303046,2.7580406397147197,0.5232870456839885,1.9129599009011198,2.8610858950657305,6.014754123180354,11.882207068008283
2022,Médio (16–31),NECr − E,81,0,4.145345474624694,3.4049511954069986,-4.290416588844103,1.85948869585589,3.722171790131461,6.113235787010938,17.681228712693365
2022,Pequeno (8–12),NECr / E (E > 0),65,0,3.197781629426394,1.7966539012294398,0.8988284005732751,2.032768052553368,2.752553771121711,3.734783292941858,10.94166177638165
2022,Pequeno (8–12),NECr − E,65,0,3.5256319377350773,1.9236552390321926,-0.40468639770689974,2.311710092202146,3.7954080516713233,4.525310700212186,9.94166177638165
