Ano,Indicador,Script antigo,Junção consolidada,N antigo,N consolidado
2018,Média NECr/Mp — Grande (39–70),2.479692810330718,2.479692810330718,70,70
2018,Média NECr/Mp — Médio (16–31),1.578462493084407,1.578462493084407,107,107
2018,Média NECr/Mp — Pequeno (8–12),1.5615952462760838,1.5615952462760838,113,113
2018,F ≤ Mp + 1 (%),84.93150684931507,84.93150684931507,292,292
2018,NECr arredondado ≤ Mp + 1 (%),72.41379310344827,72.41379310344827,290,290
2022,Média NECr/Mp — Grande (39–70),4.961943608457822,4.961943608457822,65,65
2022,Média NECr/Mp — Médio (16–31),4.262247799888379,4.262247799888379,90,90
2022,Média NECr/Mp — Pequeno (8–12),4.004519200405298,4.004519200405298,95,95
2022,F ≤ Mp + 1 (%),45.63492063492063,45.63492063492063,252,252
2022,NECr arredondado ≤ Mp + 1 (%),13.600000000000001,13.600000000000001,250,250
