Ano,Partido,Indicador,N válido,Indefinidos,Média,Desvio-padrão,Mínimo,P25,Mediana,P75,Máximo
2018,AVANTE,Candidatos (C),25,0,13.24,24.057708397379276,1.0,2.0,6.0,9.0,96.0
2018,AVANTE,Competitivos (F),25,0,0.76,1.011599393699568,0.0,0.0,0.0,1.0,4.0
2018,AVANTE,Competitivos na lista (%),25,0,13.048160173160172,23.51256284188895,0.0,0.0,0.0,16.666666666666668,100.0
2018,AVANTE,Bancada pré-eleitoral (Mp),25,0,0.2,0.5,0.0,0.0,0.0,0.0,2.0
2018,AVANTE,Eleitos (E),25,0,0.28,0.7371114795831993,0.0,0.0,0.0,0.0,3.0
2018,AVANTE,NECr,22,3,2.698558569202192,2.3952703381192997,1.0,1.057361838859577,1.8050915892662303,2.766176129258343,9.936327314285148
2018,AVANTE,D = C − NECr,22,3,11.983259612615988,23.627853746524682,0.0,0.9570068063894291,3.305681313150537,6.407645765868223,86.06367268571485
2018,AVANTE,Q = C / NECr,22,3,4.462665212882476,4.596308380228294,1.0,1.4573438741233142,2.5605915956171232,5.845240835318647,19.863840330332227
2018,AVANTE,NECr / Mp (Mp > 0),4,21,2.192054622263279,2.684948246828724,0.508271609539987,0.8770679023849968,1.0287372904980119,2.3437240103762944,6.202472298517105
2018,AVANTE,NECr / E (E > 0),4,21,1.9813232807890069,0.4035891303904903,1.4413755595750861,1.8603256182630594,2.0337332019990426,2.15473086452499,2.4164511595828553
2018,AVANTE,NECr − E,22,3,2.380376751020374,2.3243798479143236,0.8827511191501722,1.0041358047699935,1.5071651144186506,2.112552532834945,9.936327314285148
2018,AVANTE,Cobertura Top-NECr por lista (%),4,21,91.66666666666667,16.666666666666664,66.66666666666667,91.66666666666667,100.0,100.0,100.0
2018,AVANTE,Precisão Top-NECr por lista (%),22,3,9.090909090909092,20.397681634573473,0.0,0.0,0.0,0.0,66.66666666666667
2018,DC,Candidatos (C),25,0,7.84,9.711161962745068,1.0,2.0,3.0,11.0,44.0
2018,DC,Competitivos (F),25,0,0.2,0.5,0.0,0.0,0.0,0.0,2.0
2018,DC,Competitivos na lista (%),25,0,1.1454545454545455,2.7718301799855833,0.0,0.0,0.0,0.0,9.090909090909092
2018,DC,Bancada pré-eleitoral (Mp),25,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,DC,Eleitos (E),25,0,0.04,0.2,0.0,0.0,0.0,0.0,1.0
2018,DC,NECr,24,1,4.022380486126823,4.311574980988755,1.0,1.0,1.9021803234135441,4.920631173521783,18.522776061384633
2018,DC,D = C − NECr,24,1,4.06095284720651,7.167366552930228,0.0,0.052969521316161394,1.7354567382927963,6.1333786120083875,33.75607493971434
2018,DC,Q = C / NECr,24,1,2.0354754450484456,1.4504967585566428,1.0,1.0053346284939795,1.3348545997131072,2.498691710208221,6.7938469550151614
2018,DC,NECr / Mp (Mp > 0),0,25,,,,,,,
2018,DC,NECr / E (E > 0),1,24,10.243925060285664,,10.243925060285664,10.243925060285664,10.243925060285664,10.243925060285664,10.243925060285664
2018,DC,NECr − E,24,1,3.980713819460157,4.253274221977821,1.0,1.0,1.9021803234135441,4.920631173521783,18.522776061384633
2018,DC,Cobertura Top-NECr por lista (%),1,24,0.0,,0.0,0.0,0.0,0.0,0.0
2018,DC,Precisão Top-NECr por lista (%),24,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,DEM,Candidatos (C),27,0,6.222222222222222,7.904883268409439,1.0,2.0,4.0,6.0,38.0
2018,DEM,Competitivos (F),27,0,1.6296296296296295,2.186464447601831,0.0,0.5,1.0,2.0,9.0
2018,DEM,Competitivos na lista (%),27,0,33.6976749696048,31.001659570279752,0.0,6.25,28.571428571428573,50.0,100.0
2018,DEM,Bancada pré-eleitoral (Mp),27,0,1.5555555555555556,1.6251232694862385,0.0,1.0,1.0,1.5,7.0
2018,DEM,Eleitos (E),27,0,1.0740740740740742,1.356634011240998,0.0,0.0,1.0,1.0,5.0
2018,DEM,NECr,25,2,2.458766874434509,2.1854688397344946,1.0,1.1512894306190395,1.4013782896949674,2.96465485761948,8.389786520975568
2018,DEM,D = C − NECr,25,2,3.9812331255654914,6.308040334410472,0.0,0.5986217103050326,2.0,4.035345142380519,29.61021347902443
2018,DEM,Q = C / NECr,25,2,2.445918754609122,1.464833465197366,1.0,1.4271663937617673,2.0,3.0,6.677685950413222
2018,DEM,NECr / Mp (Mp > 0),23,4,1.3187143419844052,0.5129846135832012,0.6449664429530202,1.0,1.1699531045814147,1.3824068500597164,2.96465485761948
2018,DEM,NECr / E (E > 0),16,11,1.5689032967286556,0.7785856964002703,0.8417972759973468,1.0,1.3266841481652527,1.974131500736021,3.8383070023142576
2018,DEM,NECr − E,25,2,1.298766874434509,1.3333928471562642,-0.31640544800530646,0.1980198019801982,1.1512894306190395,1.817177052122326,4.3897865209755675
2018,DEM,Cobertura Top-NECr por lista (%),16,11,90.9375,25.44397440128671,0.0,100.0,100.0,100.0,100.0
2018,DEM,Precisão Top-NECr por lista (%),25,2,45.452380952380956,43.58565666730492,0.0,0.0,50.0,100.0,100.0
2018,MDB,Candidatos (C),27,0,11.25925925925926,13.224663999200052,1.0,3.0,7.0,14.5,63.0
