Ano,UF,Indicador,N válido,Indefinidos,Média,Desvio-padrão,Mínimo,P25,Mediana,P75,Máximo
2018,AC,Candidatos (C),30,0,2.7,3.2072117012370303,1.0,1.0,1.5,3.0,16.0
2018,AC,Competitivos (F),30,0,0.8,1.0305673027596216,0.0,0.0,1.0,1.0,4.0
2018,AC,Competitivos na lista (%),30,0,36.02777777777778,41.09823954553306,0.0,0.0,25.0,65.0,100.0
2018,AC,Bancada pré-eleitoral (Mp),30,0,0.26666666666666666,0.6914918072835209,0.0,0.0,0.0,0.0,3.0
2018,AC,Eleitos (E),30,0,0.26666666666666666,0.5208304597621879,0.0,0.0,0.0,0.0,2.0
2018,AC,NECr,29,1,1.859047718480035,1.5399042933248932,1.0,1.0,1.0,2.066556611607563,6.764354286202949
2018,AC,D = C − NECr,29,1,0.8995729711751375,1.8283887636636265,0.0,0.0,0.3548149305981838,0.9915790966586744,9.235645713797052
2018,AC,Q = C / NECr,29,1,1.3247442978009751,0.412154847923813,1.0,1.0,1.140138408304498,1.5552957464708674,2.3653403300644262
2018,AC,NECr / Mp (Mp > 0),5,25,1.01486772177275,0.02454454977032147,1.0,1.0,1.0,1.0177802474231923,1.0565583614405574
2018,AC,NECr / E (E > 0),7,23,2.1359728025639733,2.194787270953446,1.0,1.0,1.0,2.093727665872432,6.764354286202949
2018,AC,NECr − E,29,1,1.5831856495145176,1.5575176304474962,0.0,1.0,1.0,2.066556611607563,5.78668077786618
2018,AC,Cobertura Top-NECr por lista (%),7,23,100.0,0.0,100.0,100.0,100.0,100.0,100.0
2018,AC,Precisão Top-NECr por lista (%),29,1,18.88341543513957,38.25397960967975,0.0,0.0,0.0,0.0,100.0
2018,AL,Candidatos (C),31,0,2.3225806451612905,1.8688159669372397,1.0,1.0,2.0,2.5,10.0
2018,AL,Competitivos (F),31,0,0.5161290322580645,0.508000508000762,0.0,0.0,1.0,1.0,1.0
2018,AL,Competitivos na lista (%),31,0,33.763440860215056,40.7770990147917,0.0,0.0,10.0,50.0,100.0
2018,AL,Bancada pré-eleitoral (Mp),31,0,0.2903225806451613,0.4614143753790638,0.0,0.0,0.0,1.0,1.0
2018,AL,Eleitos (E),31,0,0.2903225806451613,0.4614143753790638,0.0,0.0,0.0,1.0,1.0
2018,AL,NECr,24,7,1.559752666721866,0.715567944387377,1.0,1.0,1.1698213538189206,1.9786520506631695,3.990950190900328
2018,AL,D = C − NECr,24,7,0.6485806666114674,0.7309197712386706,0.0,0.0,0.5830276109214975,0.9942661388319172,2.763412753997318
2018,AL,Q = C / NECr,24,7,1.391711097564895,0.4030904195277555,1.0,1.0,1.2930417225385193,1.708115752726405,2.2355488295554755
2018,AL,NECr / Mp (Mp > 0),9,22,1.7492969653328994,0.957642973413843,1.0,1.0076451482241104,1.64720372963403,1.9715360675508928,3.990950190900328
2018,AL,NECr / E (E > 0),9,22,1.509689472857384,0.5097088343149707,1.0,1.0,1.64720372963403,1.9715360675508928,2.236587246002682
2018,AL,NECr − E,24,7,1.1847526667218657,0.892066472454012,0.0,0.9097103167393545,1.0,1.3994745271747107,3.990950190900328
