Ano,Partido,UF,Candidato,Peso fora,vr_receita_recursos_partidos,proprios,pessoas_fisicas,Eleito federal no pleito anterior,"Vitória federal mais antiga, sem vitória no pleito anterior",Vitória anterior para deputado estadual/distrital,Vitória anterior para prefeito,Vitória anterior para vereador,Votação histórica ≥ 10% do QE,Alguma vitória eleitoral anterior,Sem vitória nem votação relevante registrada,Mulheres,Pessoas pretas ou pardas
2018,AVANTE,MG,ANDRE LUIS GASPAR JANONES,1.0,200342.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2018,DC,RJ,LUIZ ANTONIO DA COSTA CARVALHO CORREA DA SILVA,1.0,0.0,157615.27000000002,18000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2018,DEM,DF,LUIS CLAUDIO FERNANDES MIRANDA,1.0,0.0,435000.0,95718.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2018,DEM,RJ,ROGERIO TEIXEIRA JUNIOR,1.0,0.0,15000.0,219319.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
2018,DEM,SP,KIM PATROCA KATAGUIRI,1.0,0.0,0.0,225538.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2018,MDB,AL,ISNALDO BULHÕES BARROS JUNIOR,1.0,0.0,225653.88,168180.26,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
2018,MDB,MG,HERCÍLIO ARAÚJO DINIZ FILHO,1.0,956.69,1982000.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
2018,MDB,MT,JUAREZ ALVES DA COSTA,1.0,30000.0,0.0,260500.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
2018,MDB,RJ,VINICIUS MEDEIROS FARAH,1.0,200000.0,240049.9,793775.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2018,NOVO,SP,VINICIUS LAZZER POIT,1.0,0.0,0.0,1160079.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2018,PATRI,CE,ANTÔNIO LUIZ RODRIGUES MANO JÚNIOR,1.0,0.0,536464.0,19000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
2018,PATRI,MG,FREDERICO DE CASTRO ESCALEIRA,1.0,4000.0,273700.0,68500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2018,PDT,BA,ALEX MARCO SANTANA SOUSA,1.0,0.0,45000.0,28650.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2018,PDT,CE,ANTONIO IDILVAN DE LIMA ALENCAR,1.0,0.0,27600.0,185500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2018,PDT,CE,EDUARDO HENRIQUE MAIA BISMARCK,1.0,0.0,450000.0,59059.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2018,PDT,CE,CARLOS MAURO BENEVIDES FILHO,1.0,0.0,10000.0,686846.7,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
2018,PDT,CE,MARCOS ROBERIO RIBEIRO MONTEIRO,1.0,0.0,98200.0,83630.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
2018,PDT,PE,TÚLIO GADELHA SALES DE MELO,1.0,109097.96,11510.0,40945.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2018,PHS,BA,ANDERSON MACHADO DE JESUS,1.0,4399.0,0.0,28986.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
2018,PHS,MG,FRANCO CARTAFINA GOMES,1.0,119106.35,31673.13,153900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2018,PHS,RJ,GELSON DE AZEVEDO ALMEIDA,1.0,300.0,376800.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2018,PODE,MG,IGOR TARCIANO TIMO,1.0,956.69,2100000.0,13900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
2018,PROS,PR,EMERSON MIGUEL PETRIV,1.0,0.0,0.0,254200.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
2018,PRP,BA,RAIMUNDO MAGALHÃES COSTA,1.0,0.0,57000.0,22600.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
2018,PRP,RJ,WLADIMIR BARROS ASSED MATHEUS DE OLIVEIRA,1.0,266.0,109307.0,8180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2018,PSB,ES,FELIPE RIGONI LOPES,1.0,150000.0,0.0,727927.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2018,PSB,SP,LUIZ FLAVIO GOMES,1.0,0.0,1590000.0,7950.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
2018,PSB,SP,RODRIGO ANTONIO DE AGOSTINHO MENDONÇA,1.0,100000.0,671.37,143600.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2018,PSC,RJ,OTONI MOURA DE PAULO JUNIOR,1.0,50000.0,5060.0,217816.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
2018,PSD,PA,JOAQUIM PASSARINHO PINTO DE SOUZA PORTO,1.0,5357.6,142355.5,133953.4,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
2018,PSD,PR,NELSI COGUETTO MARIA,1.0,35715.0,1736500.0,1500.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2018,PSD,RR,HAROLDO ALVES CAMPOS,1.0,4290.0,1005942.08,198435.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2018,PSDB,MT,VANDER ALBERTO MASSON,1.0,2173.91,143737.0,68062.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2018,PSDB,PA,CELSO SABINO DE OLIVEIRA,1.0,100000.0,80000.0,85164.39,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
2018,PSDB,RS,DANIEL TRZECIAK DUARTE,1.0,52250.0,66650.0,51865.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2018,PSDB,SP,CARLOS HENRIQUE FOCESI SAMPAIO,1.0,0.0,35000.0,1783186.48,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
2018,PSL,GO,VITOR HUGO DE ARAUJO ALMEIDA,1.0,766.0,36655.63,89228.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
2018,PSL,MG,ALESSANDRA DA SILVA,1.0,0.0,49600.0,34100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2018,PSL,MG,ELIEL MÁRCIO DO CARMO,1.0,1175.0,253500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
