Ano,Perfil,Candidatos com perfil,Perfil no núcleo (ponderado),Núcleo válido (ponderado),Ausência no núcleo (ponderada),Composição do núcleo %,Composição fora %,Entrada no núcleo entre candidatos do perfil %
2018,Eleito federal no pleito anterior,261,259.0,2316.0,2.0,11.18307426597582,0.03766478342749529,99.23371647509579
2018,"Vitória federal mais antiga, sem vitória no pleito anterior",172,161.5,2316.0,2.0,6.973229706390328,0.1977401129943503,93.8953488372093
2018,Vitória anterior para deputado estadual/distrital,316,271.5,2316.0,2.0,11.72279792746114,0.8380414312617702,85.91772151898734
2018,Vitória anterior para prefeito,19,8.0,2316.0,2.0,0.3454231433506045,0.2071563088512241,42.10526315789474
2018,Vitória anterior para vereador,264,104.16666666666666,2316.0,2.0,4.497697179044329,3.010043942247332,39.457070707070706
2018,Votação histórica ≥ 10% do QE,869,703.75,2316.0,2.0,30.38644214162349,3.1120527306967984,80.98388952819333
2018,Alguma vitória eleitoral anterior,890,671.6666666666666,2316.0,2.0,29.00115141047783,4.11173885750157,75.46816479400748
2018,Sem vitória nem votação relevante registrada,6543,1541.5833333333335,2316.0,2.0,66.56232009211284,94.1886377903327,23.560802893677725
2018,Mulheres,2414,761.9545893719807,2316.0,2.0,32.89959366891108,31.11196630184594,31.563984646726624
2018,Pessoas pretas ou pardas,3113,822.1638747725704,2316.0,2.0,35.49930374665676,43.14192326228682,26.410660930696128
2022,Eleito federal no pleito anterior,425,411.46153846153845,3822.0,2.0,10.765608018355271,0.2314266929651545,96.81447963800905
2022,"Vitória federal mais antiga, sem vitória no pleito anterior",142,125.33333333333333,3822.0,2.0,3.2792604221175647,0.28490028490028485,88.26291079812206
2022,Vitória anterior para deputado estadual/distrital,387,351.7307692307692,3822.0,2.0,9.202793543452884,0.6028928336620645,90.88650367720135
2022,Vitória anterior para prefeito,35,16.5,3822.0,2.0,0.4317111459968603,0.3162393162393162,47.142857142857146
2022,Vitória anterior para vereador,423,204.4032967032967,3822.0,2.0,5.348071603958574,3.736695782849629,48.32229236484555
2022,Votação histórica ≥ 10% do QE,1276,1055.115233785822,3822.0,2.0,27.60636404463166,3.775807969473128,82.6892816446569
2022,Alguma vitória eleitoral anterior,1203,907.1981684981685,3822.0,2.0,23.736215816278612,5.0564415641338725,75.41131907715449
2022,Sem vitória nem votação relevante registrada,8072,2634.7122387416507,3822.0,2.0,68.93543272479464,92.94508993604018,32.640141708890624
2022,Mulheres,3404,1383.8890580247107,3822.0,2.0,36.20850491953717,34.53181097393657,40.65479018874003
2022,Pessoas pretas ou pardas,4629,1782.7637225997341,3813.75,10.25,46.745689219265394,49.05400969279617,38.512934167200996
