Ano,Partido,Perfil,Candidatos com perfil,Perfil no núcleo (ponderado),Núcleo válido (ponderado),Ausência no núcleo (ponderada),Composição do núcleo %,Composição fora %,Entrada no núcleo entre candidatos do perfil %
2018,AVANTE,Eleito federal no pleito anterior,4,4.0,60.0,0.0,6.666666666666667,0.0,100.0
2018,AVANTE,"Vitória federal mais antiga, sem vitória no pleito anterior",4,3.0,60.0,0.0,5.0,0.36900369003690037,75.0
2018,AVANTE,Vitória anterior para deputado estadual/distrital,7,3.0,60.0,0.0,5.0,1.4760147601476015,42.857142857142854
2018,AVANTE,Vitória anterior para prefeito,1,0.0,60.0,0.0,0.0,0.36900369003690037,0.0
2018,AVANTE,Vitória anterior para vereador,13,5.166666666666667,60.0,0.0,8.611111111111112,2.890528905289053,39.74358974358975
2018,AVANTE,Votação histórica ≥ 10% do QE,19,10.0,60.0,0.0,16.666666666666668,3.321033210332103,52.63157894736842
2018,AVANTE,Alguma vitória eleitoral anterior,24,12.166666666666666,60.0,0.0,20.277777777777775,4.366543665436655,50.694444444444436
2018,AVANTE,Sem vitória nem votação relevante registrada,302,46.83333333333333,60.0,0.0,78.05555555555556,94.15744157441574,15.507726269315672
2018,AVANTE,Mulheres,102,20.333333333333332,60.0,0.0,33.888888888888886,30.135301353013528,19.934640522875817
2018,AVANTE,Pessoas pretas ou pardas,128,28.5,60.0,0.0,47.5,36.715867158671585,22.265625
2018,DC,Eleito federal no pleito anterior,0,0.0,98.0,0.0,0.0,0.0,
2018,DC,"Vitória federal mais antiga, sem vitória no pleito anterior",0,0.0,98.0,0.0,0.0,0.0,
2018,DC,Vitória anterior para deputado estadual/distrital,2,1.0,98.0,0.0,1.0204081632653061,1.0204081632653061,50.0
2018,DC,Vitória anterior para prefeito,0,0.0,98.0,0.0,0.0,0.0,
2018,DC,Vitória anterior para vereador,2,1.0,98.0,0.0,1.0204081632653061,1.0204081632653061,50.0
2018,DC,Votação histórica ≥ 10% do QE,5,1.25,98.0,0.0,1.2755102040816326,3.826530612244898,25.0
2018,DC,Alguma vitória eleitoral anterior,4,2.0,98.0,0.0,2.0408163265306123,2.0408163265306123,50.0
2018,DC,Sem vitória nem votação relevante registrada,189,95.75,98.0,0.0,97.70408163265306,95.15306122448979,50.66137566137566
2018,DC,Mulheres,64,44.0,98.0,0.0,44.89795918367347,20.408163265306122,68.75
