Ano,Grupo,Fonte,Participação nos recursos do grupo %
2018,Dentro,Partidários,81.1513522697372
2018,Dentro,Próprios,5.827156162838984
2018,Dentro,Pessoas físicas,10.898215447793836
2018,Dentro,Outras origens,2.123276119629983
2018,Fora,Partidários,5.502234074998207
2018,Fora,Próprios,50.93873155252976
2018,Fora,Pessoas físicas,37.04117502746241
2018,Fora,Outras origens,6.517859345009628
2022,Dentro,Partidários,87.11846709545617
2022,Dentro,Próprios,1.845368232815337
2022,Dentro,Pessoas físicas,10.413965424676427
2022,Dentro,Outras origens,0.6221992470520723
2022,Fora,Partidários,24.734160188198484
2022,Fora,Próprios,9.298529795345548
2022,Fora,Pessoas físicas,61.8245332231267
2022,Fora,Outras origens,4.142776793329256
