Ano,Partido,Eleitos,Eleitos dentro,Eleitos fora,Não eleitos dentro,Posições no núcleo,Fora entre eleitos do partido %,Parcela dos eleitos fora do ano %
2018,AVANTE,7,6.0,1.0,54.0,60.0,14.285714285714286,1.4705882352941178
2018,DC,1,0.0,1.0,98.0,98.0,100.0,1.4705882352941178
2018,DEM,29,26.0,3.0,33.0,59.0,10.344827586206897,4.411764705882353
2018,MDB,34,30.0,4.0,56.0,86.0,11.764705882352942,5.882352941176471
2018,NOVO,8,7.0,1.0,120.0,127.0,12.5,1.4705882352941178
2018,PATRI,5,3.0,2.0,46.0,49.0,40.0,2.9411764705882355
2018,PC DO B,9,9.0,0.0,31.0,40.0,0.0,0.0
2018,PCB,0,0.0,0.0,18.0,18.0,,0.0
2018,PCO,0,0.0,0.0,5.0,5.0,,0.0
2018,PDT,28,22.0,6.0,40.0,62.0,21.428571428571427,8.823529411764707
2018,PHS,6,3.0,3.0,76.0,79.0,50.0,4.411764705882353
2018,PMB,0,0.0,0.0,14.0,14.0,,0.0
2018,PMN,3,3.0,0.0,37.0,40.0,0.0,0.0
2018,PODE,11,10.0,1.0,38.0,48.0,9.090909090909092,1.4705882352941178
2018,PP,37,37.0,0.0,37.0,74.0,0.0,0.0
2018,PPL,1,1.0,0.0,99.0,100.0,0.0,0.0
2018,PPS,8,8.0,0.0,44.0,52.0,0.0,0.0
2018,PR,33,33.0,0.0,36.0,69.0,0.0,0.0
2018,PRB,29,29.0,0.0,39.0,68.0,0.0,0.0
2018,PROS,8,7.0,1.0,47.0,54.0,12.5,1.4705882352941178
2018,PRP,4,2.0,2.0,47.0,49.0,50.0,2.9411764705882355
2018,PRTB,0,0.0,0.0,73.0,73.0,,0.0
2018,PSB,32,29.0,3.0,43.0,72.0,9.375,4.411764705882353
2018,PSC,7,6.0,1.0,34.0,40.0,14.285714285714286,1.4705882352941178
2018,PSD,35,32.0,3.0,43.0,75.0,8.571428571428571,4.411764705882353
2018,PSDB,30,26.0,4.0,65.0,91.0,13.333333333333334,5.882352941176471
2018,PSL,52,21.5,30.5,60.5,82.0,58.65384615384615,44.85294117647059
2018,PSOL,10,10.0,0.0,191.0,201.0,0.0,0.0
2018,PSTU,0,0.0,0.0,5.0,5.0,,0.0
2018,PT,56,56.0,0.0,69.0,125.0,0.0,0.0
2018,PTB,10,9.0,1.0,40.0,49.0,10.0,1.4705882352941178
2018,PTC,2,2.0,0.0,43.0,45.0,0.0,0.0
2018,PV,4,3.5,0.5,87.5,91.0,12.5,0.7352941176470589
2018,REDE,1,1.0,0.0,69.0,70.0,0.0,0.0
2018,SOLIDARIEDADE,13,13.0,0.0,35.0,48.0,0.0,0.0
2022,AGIR,0,0.0,0.0,94.0,94.0,,0.0
2022,AVANTE,7,7.0,0.0,127.0,134.0,0.0,0.0
2022,CIDADANIA,5,4.0,1.0,70.0,74.0,20.0,2.644964394710071
2022,DC,0,0.0,0.0,163.0,163.0,,0.0
2022,MDB,42,35.5,6.5,106.5,142.0,15.476190476190476,17.192268565615464
2022,NOVO,3,2.0,1.0,85.0,87.0,33.333333333333336,2.644964394710071
2022,PATRIOTA,4,4.0,0.0,211.0,215.0,0.0,0.0
2022,PC DO B,6,6.0,0.0,37.0,43.0,0.0,0.0
2022,PCB,0,0.0,0.0,0.0,0.0,,0.0
2022,PCO,0,0.0,0.0,29.0,29.0,,0.0
2022,PDT,17,17.0,0.0,147.0,164.0,0.0,0.0
2022,PL,99,79.6923076923077,19.307692307692307,84.3076923076923,164.0,19.5027195027195,51.06815869786368
2022,PMB,0,0.0,0.0,70.0,70.0,,0.0
2022,PMN,0,0.0,0.0,91.0,91.0,,0.0
2022,PODE,12,10.5,1.5,202.5,213.0,12.5,3.967446592065107
2022,PP,47,47.0,0.0,141.0,188.0,0.0,0.0
2022,PROS,3,3.0,0.0,63.0,66.0,0.0,0.0
2022,PRTB,0,0.0,0.0,100.0,100.0,,0.0
2022,PSB,14,13.0,1.0,137.0,150.0,7.142857142857143,2.644964394710071
2022,PSC,6,6.0,0.0,112.0,118.0,0.0,0.0
2022,PSD,42,40.0,2.0,142.0,182.0,4.761904761904762,5.289928789420142
2022,PSDB,13,12.0,1.0,95.0,107.0,7.6923076923076925,2.644964394710071
2022,PSOL,12,12.0,0.0,147.0,159.0,0.0,0.0
2022,PSTU,0,0.0,0.0,21.0,21.0,,0.0
2022,PT,69,68.0,1.0,92.0,160.0,1.4492753623188406,2.644964394710071
2022,PTB,1,0.0,1.0,108.0,108.0,100.0,2.644964394710071
2022,PV,6,4.0,2.0,50.0,54.0,33.333333333333336,5.289928789420142
2022,REDE,2,2.0,0.0,82.0,84.0,0.0,0.0
2022,REPUBLICANOS,40,40.0,0.0,168.0,208.0,0.0,0.0
2022,SOLIDARIEDADE,4,4.0,0.0,134.0,138.0,0.0,0.0
2022,UNIAO,59,58.5,0.5,222.5,281.0,0.847457627118644,1.3224821973550356
2022,UP,0,0.0,0.0,17.0,17.0,,0.0
