Ano,Partido,UF,C,E,K,A,M,magnitude,esperado,amplitude,cobertura,precisao
2018,AVANTE,AC,9,0,6.0,0.0,8,8–12,0.0,66.66666666666667,,0.0
2018,AVANTE,AL,1,0,1.0,0.0,9,8–12,0.0,100.0,,0.0
2018,AVANTE,AM,4,0,2.0,0.0,8,8–12,0.0,50.0,,0.0
2018,AVANTE,AP,2,1,2.0,1.0,8,8–12,1.0,100.0,100.0,50.0
2018,AVANTE,BA,14,2,3.0,2.0,39,39–70,0.42857142857142855,21.428571428571427,100.0,66.66666666666667
2018,AVANTE,CE,6,0,1.0,0.0,22,16–31,0.0,16.666666666666668,,0.0
2018,AVANTE,DF,8,0,7.0,0.0,8,8–12,0.0,87.5,,0.0
2018,AVANTE,ES,2,0,2.0,0.0,10,8–12,0.0,100.0,,0.0
2018,AVANTE,GO,6,0,0.0,0.0,17,16–31,0.0,0.0,,
2018,AVANTE,MA,1,0,0.0,0.0,18,16–31,0.0,0.0,,
2018,AVANTE,MG,77,3,6.0,2.0,53,39–70,0.23376623376623376,7.792207792207792,66.66666666666667,33.333333333333336
2018,AVANTE,MS,1,0,0.0,0.0,8,8–12,0.0,0.0,,
2018,AVANTE,PA,2,0,1.0,0.0,17,16–31,0.0,50.0,,0.0
2018,AVANTE,PB,11,0,2.0,0.0,12,8–12,0.0,18.181818181818183,,0.0
2018,AVANTE,PE,6,0,1.0,0.0,25,16–31,0.0,16.666666666666668,,0.0
2018,AVANTE,PI,2,0,1.0,0.0,10,8–12,0.0,50.0,,0.0
2018,AVANTE,PR,6,0,2.0,0.0,30,16–31,0.0,33.333333333333336,,0.0
2018,AVANTE,RJ,48,1,2.0,1.0,46,39–70,0.041666666666666664,4.166666666666667,100.0,50.0
2018,AVANTE,RN,2,0,1.0,0.0,8,8–12,0.0,50.0,,0.0
2018,AVANTE,RR,6,0,1.0,0.0,8,8–12,0.0,16.666666666666668,,0.0
2018,AVANTE,RS,5,0,2.0,0.0,31,16–31,0.0,40.0,,0.0
2018,AVANTE,SC,9,0,2.0,0.0,16,16–31,0.0,22.22222222222222,,0.0
2018,AVANTE,SE,6,0,4.0,0.0,8,8–12,0.0,66.66666666666667,,0.0
2018,AVANTE,SP,96,0,10.0,0.0,70,39–70,0.0,10.416666666666666,,0.0
2018,AVANTE,TO,1,0,1.0,0.0,8,8–12,0.0,100.0,,0.0
2018,DC,AC,3,0,3.0,0.0,8,8–12,0.0,100.0,,0.0
2018,DC,AL,2,0,2.0,0.0,9,8–12,0.0,100.0,,0.0
2018,DC,AM,6,0,3.0,0.0,8,8–12,0.0,50.0,,0.0
2018,DC,AP,1,0,1.0,0.0,8,8–12,0.0,100.0,,0.0
2018,DC,BA,15,0,4.0,0.0,39,39–70,0.0,26.666666666666668,,0.0
2018,DC,CE,7,0,6.0,0.0,22,16–31,0.0,85.71428571428571,,0.0
2018,DC,DF,10,0,10.0,0.0,8,8–12,0.0,100.0,,0.0
2018,DC,ES,11,0,9.0,0.0,10,8–12,0.0,81.81818181818181,,0.0
2018,DC,GO,12,0,2.0,0.0,17,16–31,0.0,16.666666666666668,,0.0
2018,DC,MA,2,0,0.0,0.0,18,16–31,0.0,0.0,,
2018,DC,MG,11,0,5.0,0.0,53,39–70,0.0,45.45454545454545,,0.0
2018,DC,MS,1,0,1.0,0.0,8,8–12,0.0,100.0,,0.0
2018,DC,PA,1,0,1.0,0.0,17,16–31,0.0,100.0,,0.0
