Ano,Partido,Listas,Listas sem núcleo,Candidatos,Posições no núcleo,Eleitos,Eleitos dentro,Eleitos fora,Não eleitos dentro,Amplitude agregada %,Amplitude mediana das listas %,Cobertura %,Precisão %,Lift
2018,AVANTE,25,3,331,60.0,7,6.0,1.0,54.0,18.12688821752266,33.333333333333336,85.71428571428571,10.0,3.5211178151794216
2018,DC,25,1,196,98.0,1,0.0,1.0,98.0,50.0,73.07692307692308,0.0,0.0,0.0
2018,DEM,27,2,168,59.0,29,26.0,3.0,33.0,35.11904761904762,50.0,89.65517241379311,44.067796610169495,1.9904037492765243
2018,MDB,27,0,304,86.0,34,30.0,4.0,56.0,28.289473684210527,37.5,88.23529411764706,34.883720930232556,2.0118154239182497
2018,NOVO,19,0,224,127.0,8,7.0,1.0,120.0,56.69642857142857,68.75,87.5,5.511811023622047,2.1475667189952907
2018,PATRI,26,8,356,49.0,5,3.0,2.0,46.0,13.764044943820224,8.225806451612904,60.0,6.122448979591836,3.6643197061197235
2018,PC DO B,27,0,119,40.0,9,9.0,0.0,31.0,33.61344537815126,50.0,100.0,22.5,1.361344537815126
2018,PCB,13,1,31,18.0,0,0.0,0.0,18.0,58.064516129032256,100.0,,0.0,
2018,PCO,4,0,5,5.0,0,0.0,0.0,5.0,100.0,100.0,,0.0,
2018,PDT,27,0,269,62.0,28,22.0,6.0,40.0,23.04832713754647,37.5,78.57142857142857,35.483870967741936,2.758954514917121
2018,PHS,27,1,296,79.0,6,3.0,3.0,76.0,26.68918918918919,66.66666666666667,50.0,3.7974683544303796,2.9759423041098563
2018,PMB,18,8,96,14.0,0,0.0,0.0,14.0,14.583333333333334,5.518018018018019,,0.0,
2018,PMN,26,0,164,40.0,3,3.0,0.0,37.0,24.390243902439025,36.66666666666667,100.0,7.5,5.142857142857142
2018,PODE,27,4,213,48.0,11,10.0,1.0,38.0,22.535211267605632,50.0,90.9090909090909,20.833333333333332,2.6798530959817892
2018,PP,26,0,139,74.0,37,37.0,0.0,37.0,53.23741007194245,61.25,100.0,50.0,1.701249705258194
2018,PPL,24,7,246,100.0,1,1.0,0.0,99.0,40.65040650406504,46.606334841628964,100.0,1.0,9.0
2018,PPS,26,1,126,52.0,8,8.0,0.0,44.0,41.26984126984127,50.0,100.0,15.384615384615385,2.4571200638213004
2018,PR,27,0,152,69.0,33,33.0,0.0,36.0,45.39473684210526,66.66666666666667,100.0,47.82608695652174,1.6167431677228898
2018,PRB,26,0,248,68.0,29,29.0,0.0,39.0,27.419354838709676,56.25,100.0,42.64705882352941,1.9521498697023552
2018,PROS,27,1,268,54.0,8,7.0,1.0,47.0,20.149253731343283,50.0,87.5,12.962962962962964,2.7731092436974794
2018,PRP,25,4,254,49.0,4,2.0,2.0,47.0,19.291338582677167,37.5,50.0,4.081632653061225,3.3432570539880024
2018,PRTB,24,4,286,73.0,0,0.0,0.0,73.0,25.524475524475523,38.18181818181819,,0.0,
2018,PSB,27,0,226,72.0,32,29.0,3.0,43.0,31.858407079646017,50.0,90.625,40.27777777777778,2.2168751246185407
2018,PSC,27,1,173,40.0,7,6.0,1.0,34.0,23.121387283236995,50.0,85.71428571428571,15.0,2.6235710397387044
