Ano,Partido,Grupo,Eleitos ponderados,Mediana próprios R$,Mediana pessoas físicas R$,Mediana privados/próprios R$
2018,AVANTE,Dentro,6.0,5000.0,11180.0,16180.0
2018,AVANTE,Fora,1.0,0.0,0.0,0.0
2018,DC,Dentro,0.0,,,
2018,DC,Fora,1.0,157615.27000000002,18000.0,175615.27000000002
2018,DEM,Dentro,26.0,2530.0,160846.4,206000.0
2018,DEM,Fora,3.0,15000.0,219319.4,234319.4
2018,MDB,Dentro,30.0,3000.0,87600.0,110000.0
2018,MDB,Fora,4.0,225653.88,168180.26,393834.14
2018,NOVO,Dentro,7.0,5030.3,245820.0,269776.87
2018,NOVO,Fora,1.0,0.0,1160079.95,1160079.95
2018,PATRI,Dentro,3.0,18000.0,130200.0,130200.0
2018,PATRI,Fora,2.0,273700.0,19000.0,342200.0
2018,PC DO B,Dentro,9.0,0.0,121000.0,141000.0
2018,PC DO B,Fora,0.0,,,
2018,PDT,Dentro,22.0,33750.0,55720.0,88829.08
2018,PDT,Fora,6.0,27600.0,59059.14,181830.0
2018,PHS,Dentro,3.0,0.0,3250.0,3250.0
2018,PHS,Fora,3.0,31673.13,28986.0,185573.13
2018,PMN,Dentro,3.0,10666.66,0.0,45000.0
2018,PMN,Fora,0.0,,,
2018,PODE,Dentro,10.0,6400.0,67000.0,105440.47
2018,PODE,Fora,1.0,2100000.0,13900.0,2113900.0
2018,PP,Dentro,37.0,1669.0,52300.0,117933.19
2018,PP,Fora,0.0,,,
2018,PPL,Dentro,1.0,135725.9,4000.0,139725.9
2018,PPL,Fora,0.0,,,
2018,PPS,Dentro,8.0,5000.0,88500.0,130044.21
2018,PPS,Fora,0.0,,,
2018,PR,Dentro,33.0,1064.0,6000.0,17100.0
2018,PR,Fora,0.0,,,
2018,PRB,Dentro,29.0,0.0,20000.0,36500.0
2018,PRB,Fora,0.0,,,
2018,PROS,Dentro,7.0,0.0,32380.0,62440.49
2018,PROS,Fora,1.0,0.0,254200.0,254200.0
2018,PRP,Dentro,2.0,0.0,223218.0,223218.0
2018,PRP,Fora,2.0,57000.0,8180.0,79600.0
2018,PSB,Dentro,29.0,6500.0,47809.0,80712.0
2018,PSB,Fora,3.0,671.37,143600.0,727927.57
2018,PSC,Dentro,6.0,37099.78,27500.0,215325.34
2018,PSC,Fora,1.0,5060.0,217816.22,222876.22
2018,PSD,Dentro,32.0,5000.0,61430.0,132958.0
2018,PSD,Fora,3.0,1005942.08,133953.4,1204377.56
2018,PSDB,Dentro,26.0,0.0,91510.15,96800.0
2018,PSDB,Fora,4.0,66650.0,68062.0,165164.39
2018,PSL,Dentro,21.5,141.8,23816.0,47328.0
2018,PSL,Fora,30.5,29500.0,29045.0,68935.75
2018,PSOL,Dentro,10.0,5000.0,34165.58,73548.35
2018,PSOL,Fora,0.0,,,
2018,PT,Dentro,56.0,5880.0,70999.13,86633.85
2018,PT,Fora,0.0,,,
2018,PTB,Dentro,9.0,2500.0,81400.0,81400.0
2018,PTB,Fora,1.0,4520.0,11700.0,16220.0
2018,PTC,Dentro,2.0,18096.7,21496.8,39593.5
2018,PTC,Fora,0.0,,,
2018,PV,Dentro,3.5,15000.0,113979.4,113979.4
2018,PV,Fora,0.5,5000.0,266353.02,271353.02
2018,REDE,Dentro,1.0,0.0,87305.13,87305.13
2018,REDE,Fora,0.0,,,
2018,SOLIDARIEDADE,Dentro,13.0,39500.0,98750.59,198750.59
2018,SOLIDARIEDADE,Fora,0.0,,,
2022,AVANTE,Dentro,7.0,0.0,42490.0,50000.0
2022,AVANTE,Fora,0.0,,,
2022,CIDADANIA,Dentro,4.0,0.0,39250.0,39250.0
2022,CIDADANIA,Fora,1.0,10000.0,448232.7,458232.7
2022,MDB,Dentro,35.5,500.0,333000.0,386050.0
2022,MDB,Fora,6.5,160000.0,420028.0,580028.0
2022,NOVO,Dentro,2.0,0.0,954467.7,954467.7
2022,NOVO,Fora,1.0,150.0,974293.92,974443.92
2022,PATRIOTA,Dentro,4.0,0.0,60806.0,79820.0
2022,PATRIOTA,Fora,0.0,,,
2022,PC DO B,Dentro,6.0,0.0,25568.0,28680.16
2022,PC DO B,Fora,0.0,,,
2022,PDT,Dentro,17.0,6628.35,58000.0,91950.4
2022,PDT,Fora,0.0,,,
2022,PL,Dentro,79.69230769230768,800.0,84650.0,118675.09
2022,PL,Fora,19.307692307692307,8793.0,249423.5,249423.5
2022,PODE,Dentro,10.5,0.0,13100.0,17100.0
2022,PODE,Fora,1.5,1.0,46287.22,46288.22
2022,PP,Dentro,47.0,0.0,126350.0,184500.0
2022,PP,Fora,0.0,,,
2022,PROS,Dentro,3.0,0.0,28900.0,101000.0
2022,PROS,Fora,0.0,,,
2022,PSB,Dentro,13.0,4000.0,61800.01,74500.0
2022,PSB,Fora,1.0,0.0,2016944.78,2016944.78
2022,PSC,Dentro,6.0,0.0,20011.0,43585.11
2022,PSC,Fora,0.0,,,
2022,PSD,Dentro,40.0,5000.0,153972.7,171534.84
2022,PSD,Fora,2.0,29000.0,213750.0,510622.12
2022,PSDB,Dentro,12.0,0.0,146866.66999999998,221866.67
2022,PSDB,Fora,1.0,0.0,2439328.85,2439328.85
2022,PSOL,Dentro,12.0,0.0,25438.85,25438.85
2022,PSOL,Fora,0.0,,,
2022,PT,Dentro,68.0,0.0,84793.5,97984.03
2022,PT,Fora,1.0,0.0,801505.75,801505.75
2022,PTB,Dentro,0.0,,,
2022,PTB,Fora,1.0,0.0,73000.0,73000.0
2022,PV,Dentro,4.0,0.0,128800.0,128800.0
2022,PV,Fora,2.0,88535.02,222500.0,311035.02
2022,REDE,Dentro,2.0,0.0,64320.0,74320.0
2022,REDE,Fora,0.0,,,
2022,REPUBLICANOS,Dentro,40.0,0.0,52775.0,95500.0
2022,REPUBLICANOS,Fora,0.0,,,
2022,SOLIDARIEDADE,Dentro,4.0,0.0,372361.0,432730.7
2022,SOLIDARIEDADE,Fora,0.0,,,
2022,UNIAO,Dentro,58.5,3138.89,34106.86,65668.0
2022,UNIAO,Fora,0.5,300000.0,921043.4,1221043.4
