Ano,UF,Listas,Listas sem núcleo,Candidatos,Posições no núcleo,Eleitos,Eleitos dentro,Eleitos fora,Não eleitos dentro,Amplitude agregada %,Amplitude mediana das listas %,Cobertura %,Precisão %,Lift
2018,AC,30,1,81,54.0,8,8.0,0.0,46.0,66.66666666666667,100.0,100.0,14.814814814814815,1.2557226945716156
2018,AL,31,7,72,37.0,9,8.0,1.0,29.0,51.388888888888886,66.66666666666667,88.88888888888889,21.62162162162162,1.1059907834101383
2018,AM,32,3,126,60.0,8,8.0,0.0,52.0,47.61904761904762,50.0,100.0,13.333333333333334,1.2467532467532467
2018,AP,27,1,97,54.0,8,8.0,0.0,46.0,55.670103092783506,66.66666666666667,100.0,14.814814814814815,1.4088050314465408
2018,BA,33,0,447,107.0,39,36.0,3.0,71.0,23.937360178970916,25.0,92.3076923076923,33.64485981308411,1.6984757622984585
2018,CE,31,2,229,89.0,22,17.0,5.0,72.0,38.8646288209607,47.36842105263158,77.27272727272727,19.10112359550562,1.8892996677940173
2018,DF,34,0,162,85.0,8,7.0,1.0,78.0,52.46913580246913,66.66666666666667,87.5,8.235294117647058,1.76039119804401
2018,ES,32,1,157,81.0,10,9.0,1.0,72.0,51.59235668789809,63.333333333333336,90.0,11.11111111111111,2.4076433121019107
2018,GO,32,2,197,83.0,17,16.0,1.0,67.0,42.131979695431475,55.0,94.11764705882354,19.27710843373494,1.8033813400125236
2018,MA,33,6,187,68.0,18,18.0,0.0,50.0,36.36363636363637,33.333333333333336,100.0,26.470588235294116,2.2883559664836755
2018,MG,34,2,825,154.0,53,43.0,10.0,111.0,18.666666666666668,18.333333333333336,81.13207547169812,27.92207792207792,2.5403233466452764
2018,MS,31,7,117,55.0,8,6.0,2.0,49.0,47.00854700854701,62.5,75.0,10.909090909090908,2.142857142857143
2018,MT,29,1,110,69.0,8,6.0,2.0,63.0,62.72727272727273,66.66666666666667,75.0,8.695652173913043,1.274658573596358
2018,PA,32,3,129,45.0,17,14.0,3.0,31.0,34.883720930232556,50.0,82.3529411764706,31.11111111111111,1.456888007928642
2018,PB,31,3,137,57.0,12,12.0,0.0,45.0,41.605839416058394,50.0,100.0,21.05263157894737,1.7439446366782008
2018,PE,33,1,326,96.0,25,24.0,1.0,72.0,29.447852760736197,38.70967741935484,96.0,25.0,2.216816724757252
2018,PI,31,4,123,55.0,10,10.0,0.0,45.0,44.71544715447155,50.0,100.0,18.181818181818183,1.3316423589093216
2018,PR,33,1,415,151.0,30,25.0,5.0,126.0,36.3855421686747,33.333333333333336,83.33333333333333,16.556291390728475,2.1726033175740227
2018,RJ,33,0,1046,153.0,46,32.0,14.0,121.0,14.627151051625239,14.285714285714286,69.56521739130434,20.915032679738562,3.4143035081817317
2018,RN,34,6,113,62.0,8,8.0,0.0,54.0,54.86725663716814,65.15151515151516,100.0,12.903225806451612,1.411764705882353
2018,RO,30,6,92,36.0,8,7.0,1.0,29.0,39.130434782608695,50.0,87.5,19.444444444444443,1.8092307692307694
2018,RR,32,0,133,60.0,8,7.0,1.0,53.0,45.11278195488722,50.0,87.5,11.666666666666666,2.2261484098939928
2018,RS,33,1,404,123.0,31,27.0,4.0,96.0,30.445544554455445,36.666666666666664,87.09677419354838,21.951219512195124,2.648346548692455
2018,SC,33,2,232,91.0,16,14.5,1.5,76.5,39.224137931034484,44.44444444444444,90.625,15.934065934065934,1.9701197292676684
2018,SE,31,5,110,60.0,8,8.0,0.0,52.0,54.54545454545455,66.66666666666667,100.0,13.333333333333334,1.5
2018,SP,34,1,1483,286.0,70,58.5,11.5,227.5,19.285232636547537,20.0,83.57142857142857,20.454545454545453,2.6873569833916067
2018,TO,30,7,80,47.0,8,8.0,0.0,39.0,58.75,66.66666666666667,100.0,17.02127659574468,1.1851851851851851
2022,AC,21,3,128,73.0,8,8.0,0.0,65.0,57.03125,57.142857142857146,100.0,10.95890410958904,1.3658536585365852
2022,AL,24,4,154,81.0,9,7.0,2.0,74.0,52.5974025974026,52.77777777777778,77.77777777777777,8.641975308641975,1.1145510835913313
2022,AM,25,3,149,82.0,8,7.0,1.0,75.0,55.033557046979865,55.55555555555556,87.5,8.536585365853659,1.4858490566037736
2022,AP,21,2,134,76.0,8,7.0,1.0,69.0,56.71641791044776,55.55555555555556,87.5,9.210526315789474,1.105263157894737
2022,BA,29,1,669,242.0,39,39.0,0.0,203.0,36.17339312406577,33.333333333333336,100.0,16.115702479338843,2.0208231890172748
2022,CE,28,2,350,175.0,22,20.0,2.0,155.0,50.0,50.0,90.9090909090909,11.428571428571429,2.082288295741472
2022,DF,30,0,197,120.0,8,8.0,0.0,112.0,60.91370558375635,64.58333333333334,100.0,6.666666666666667,1.6551724137931032
2022,ES,25,3,185,104.0,10,10.0,0.0,94.0,56.21621621621622,60.0,100.0,9.615384615384615,1.498054474708171
2022,GO,30,1,342,154.0,17,14.0,3.0,140.0,45.02923976608187,45.55555555555556,82.3529411764706,9.090909090909092,2.4331300232644137
2022,MA,29,4,324,149.0,18,18.0,0.0,131.0,45.98765432098765,44.44444444444444,100.0,12.080536912751677,2.286150999030322
2022,MG,32,2,1035,244.0,53,52.0,1.0,192.0,23.57487922705314,23.555908850026498,98.11320754716981,21.311475409836067,3.527641437378042
2022,MS,23,2,148,78.0,8,8.0,0.0,70.0,52.7027027027027,60.0,100.0,10.256410256410257,1.5635179153094463
2022,MT,22,1,150,103.0,8,7.5,0.5,95.5,68.66666666666667,66.66666666666667,93.75,7.281553398058253,1.35
2022,PA,26,3,298,117.0,17,10.5,6.5,106.5,39.261744966442954,40.58441558441558,61.76470588235294,8.974358974358974,1.6558052827810743
2022,PB,26,4,211,101.0,12,12.0,0.0,89.0,47.867298578199055,50.0,100.0,11.881188118811881,1.9375235227700414
2022,PE,31,5,417,168.0,25,24.0,1.0,144.0,40.28776978417266,38.095238095238095,96.0,14.285714285714286,2.2865305714116206
2022,PI,23,3,164,84.0,10,8.0,2.0,76.0,51.21951219512195,55.55555555555556,80.0,9.523809523809524,1.3162705667276051
2022,PR,30,2,600,230.0,30,30.0,0.0,200.0,38.333333333333336,37.26851851851852,100.0,13.043478260869565,2.58321155849291
2022,RJ,30,1,1024,291.0,46,41.19230769230769,4.807692307692307,249.80769230769232,28.41796875,28.782505910165483,89.54849498327759,14.155432196669311,2.6163678451220242
2022,RN,26,3,175,96.0,8,7.0,1.0,89.0,54.857142857142854,66.66666666666667,87.5,7.291666666666667,1.3846153846153846
2022,RO,21,2,149,85.0,8,8.0,0.0,77.0,57.04697986577181,66.66666666666667,100.0,9.411764705882353,1.44
2022,RR,24,2,146,106.0,8,8.0,0.0,98.0,72.6027397260274,75.0,100.0,7.547169811320755,1.28
2022,RS,29,3,512,176.0,31,29.0,2.0,147.0,34.375,28.571428571428573,93.54838709677419,16.477272727272727,3.31962173122256
2022,SC,28,1,292,132.0,16,13.0,3.0,119.0,45.205479452054796,50.0,81.25,9.848484848484848,2.2864874006426517
2022,SE,23,3,148,77.0,8,8.0,0.0,69.0,52.027027027027025,55.55555555555556,100.0,10.38961038961039,1.824764663287473
2022,SP,32,2,1429,391.0,70,63.0,7.0,328.0,27.361791462561232,30.609236816246316,90.0,16.11253196930946,2.583992249927634
2022,TO,23,1,145,89.0,8,8.0,0.0,81.0,61.37931034482759,66.66666666666667,100.0,8.98876404494382,1.5180722891566265
