variavel,rotulo,tipo_ame,ame,ep,ic_inf,ic_sup,z,p,modelo,ano_eleicao,n_candidaturas,n_listas
n_eleicoes_governador,Nº Eleições Governador,derivada,0.07949932469250495,0.02540261715300654,0.029710195072612133,0.12928845431239777,3.1295722095743104,0.001750610401633157,R2,2018,7254,649
n_eleicoes_senador,Nº Eleições Senador,derivada,0.08242049076468166,0.01642413845989516,0.05022917938328715,0.11461180214607618,5.018253527631779,5.214333544945049e-07,R2,2018,7254,649
n_eleicoes_deputado_federal,Nº Eleições Deputado Federal,derivada,0.04316087984236381,0.0021563150761350377,0.038934502293139134,0.047387257391588486,20.016035838197187,0.0,R2,2018,7254,649
n_eleicoes_deputado_estadual,Nº Eleições Deputado Estadual,derivada,0.033468031105193356,0.002967859064370015,0.027651027339028127,0.039285034871358586,11.27682628430255,0.0,R2,2018,7254,649
n_eleicoes_prefeito,Nº Eleições Prefeito,derivada,0.02826525464003402,0.004225881412015909,0.01998252707248284,0.0365479822075852,6.688605733152932,2.2530644017138002e-11,R2,2018,7254,649
n_eleicoes_vereador,Nº Eleições Vereador,derivada,0.016264372902547133,0.0025276333449681487,0.011310211546409562,0.021218534258684703,6.434625075240921,1.2377854297085378e-10,R2,2018,7254,649
prop_votos_nominais_lag,Proporção de votos nominais intralista t-1,derivada,0.08806833536894094,0.01568026729300103,0.05733501147465893,0.11880165926322296,5.616507277796897,1.9485604685343105e-08,R2,2018,7254,649
qe_sem_vitoria,"≥10% do QE em eleição anterior, sem vitória acima de vereador",discreto_0_1,0.08745527673809196,0.014628858807706568,0.05878271347498709,0.11612784000119683,5.978270614794642,2.255188702449118e-09,R2,2018,7254,649
mulher,Mulher,discreto_0_1,0.023695511699895686,0.003828347690526607,0.016191950226463536,0.031199073173327836,6.189487898011755,6.035998367792672e-10,R2,2018,7254,649
negra,Negra,discreto_0_1,-0.018822457467625044,0.0037041564605287346,-0.026082604130261363,-0.011562310804988724,-5.081442338679805,3.745797210186197e-07,R2,2018,7254,649
competitivo,Credencial eleitoral prévia (flag do Top-NECr),discreto_0_1,0.20267370402154516,0.009449765028651903,0.18415216456538744,0.2211952434777029,21.4474860916683,0.0,R1,2018,7254,649
mulher,Mulher,discreto_0_1,0.028371069673605833,0.0037790982955638367,0.02096403701430071,0.035778102332910955,7.507364840684279,6.039613253960852e-14,R1,2018,7254,649
negra,Negra,discreto_0_1,-0.01850422827413225,0.00372270190481523,-0.0258007240075701,-0.011207732540694399,-4.970644641247652,6.67306575108384e-07,R1,2018,7254,649
n_eleicoes_governador,Nº Eleições Governador,derivada,0.01570406095570751,0.009547487260530804,-0.0030090140749328663,0.03441713598634788,1.6448370683486435,0.10000341561072723,R2,2022,9263,623
n_eleicoes_senador,Nº Eleições Senador,derivada,0.06754741368339891,0.009907992282939013,0.04812774880883844,0.08696707855795938,6.8174673288463925,9.265921363521556e-12,R2,2022,9263,623
n_eleicoes_deputado_federal,Nº Eleições Deputado Federal,derivada,0.023950056385098988,0.001149960551074774,0.021696133704992432,0.026203979065205545,20.826850419099014,0.0,R2,2022,9263,623
n_eleicoes_deputado_estadual,Nº Eleições Deputado Estadual,derivada,0.021284046261652916,0.0014731241798985714,0.018396722869051717,0.024171369654254114,14.448236307626408,0.0,R2,2022,9263,623
n_eleicoes_prefeito,Nº Eleições Prefeito,derivada,0.019227024241452118,0.002133944311776753,0.015044493390369682,0.023409555092534555,9.010087158949064,0.0,R2,2022,9263,623
n_eleicoes_vereador,Nº Eleições Vereador,derivada,0.009095094047648961,0.0011274875841269236,0.00688521838276019,0.011304969712537732,8.066691088835181,6.661338147750939e-16,R2,2022,9263,623
prop_votos_nominais_lag,Proporção de votos nominais intralista t-1,derivada,0.05589424442525908,0.006410294912199885,0.04333006639734731,0.06845842245317085,8.719449758681586,0.0,R2,2022,9263,623
qe_sem_vitoria,"≥10% do QE em eleição anterior, sem vitória acima de vereador",discreto_0_1,0.034357370750733855,0.005443082920669866,0.02368892822622092,0.045025813275246795,6.3121159922556505,2.7524582613125403e-10,R2,2022,9263,623
mulher,Mulher,discreto_0_1,0.01574154731646152,0.002010659318947442,0.011800655051324532,0.019682439581598505,7.8290475010465945,4.884981308350689e-15,R2,2022,9263,623
negra,Negra,discreto_0_1,-0.004083609418053688,0.001863491655444193,-0.007736053062724306,-0.0004311657733830701,-2.1913752101456527,0.0284246515090385,R2,2022,9263,623
competitivo,Credencial eleitoral prévia (flag do Top-NECr),discreto_0_1,0.12026568417104988,0.005274915893126613,0.10992684902052172,0.13060451932157804,22.799545359151598,0.0,R1,2022,9263,623
mulher,Mulher,discreto_0_1,0.01739794274793863,0.0020573915228365163,0.013365455363179058,0.021430430132698203,8.456311088495283,0.0,R1,2022,9263,623
negra,Negra,discreto_0_1,-0.004438628556186692,0.0019044346438733275,-0.008171320458178415,-0.0007059366541949702,-2.330680430786117,0.019770216825207854,R1,2022,9263,623
