variavel,rotulo,beta,ep,z,p,razao,razao_ic_inf,razao_ic_sup,modelo,ano_eleicao,n_candidaturas,n_listas,incremento,razao_rep,razao_rep_ic_inf,razao_rep_ic_sup
n_eleicoes_governador,Nº Eleições Governador,1.277301917926266,0.4093231839779802,3.120521797746446,0.0018053093628302985,3.5869487757679015,1.6080599900878267,8.001070606377153,R2,2018,7254,649,+1,3.5869487757679015,1.6080599900878267,8.001070606377153
n_eleicoes_senador,Nº Eleições Senador,1.3242357886352862,0.26631441325453137,4.972452570074159,6.611114882204561e-07,3.7593113485095437,2.2305753097994687,6.33577434168908,R2,2018,7254,649,+1,3.7593113485095437,2.2305753097994687,6.33577434168908
n_eleicoes_deputado_federal,Nº Eleições Deputado Federal,0.6934584012539908,0.03813331175837657,18.18510822369531,0.0,2.00062253825646,1.8565447711003238,2.1558815078871243,R2,2018,7254,649,+1,2.00062253825646,1.8565447711003238,2.1558815078871243
n_eleicoes_deputado_estadual,Nº Eleições Deputado Estadual,0.5377250748383989,0.049688179055653744,10.821991971895661,0.0,1.7121075120431568,1.553229394609801,1.8872370964438294,R2,2018,7254,649,+1,1.7121075120431568,1.553229394609801,1.8872370964438294
n_eleicoes_prefeito,Nº Eleições Prefeito,0.45413296404759884,0.06820077801333953,6.658765153071627,2.761368911308182e-11,1.5748073763177248,1.377760616100979,1.8000356836466216,R2,2018,7254,649,+1,1.5748073763177248,1.377760616100979,1.8000356836466216
n_eleicoes_vereador,Nº Eleições Vereador,0.2613168700821684,0.04101739052041909,6.370879930844963,1.8794676925892873e-10,1.2986391001229385,1.198322646832751,1.407353450947084,R2,2018,7254,649,+1,1.2986391001229385,1.198322646832751,1.407353450947084
prop_votos_nominais_lag,Proporção de votos nominais intralista t-1,1.4149787323404421,0.25474321245957693,5.554529671973,2.7836022820082462e-08,4.116398918871491,2.498478723158291,6.782022957500626,R2,2018,7254,649,+10 p.p.,1.1519980542279604,1.0958915178816293,1.2109770860443423
qe_sem_vitoria,"≥10% do QE em eleição anterior, sem vitória acima de vereador",1.059961756208298,0.1419597610977444,7.4666352493963135,8.237854842718662e-14,2.886260605607828,2.18522899105998,3.812186419622241,R2,2018,7254,649,+1,2.886260605607828,2.18522899105998,3.812186419622241
mulher,Mulher,0.3666987046634814,0.057757299744594245,6.348958595450999,2.1677726280699972e-10,1.4429630955618518,1.2885201600980263,1.6159176702326794,R2,2018,7254,649,+1,1.4429630955618518,1.2885201600980263,1.6159176702326794
negra,Negra,-0.3065827377794036,0.06141271592031152,-4.992170321488827,5.970456842252503e-07,0.7359576241607186,0.6524950924368089,0.8300960893629161,R2,2018,7254,649,+1,0.7359576241607186,0.6524950924368089,0.8300960893629161
competitivo,Credencial eleitoral prévia (flag do Top-NECr),2.0988998931360228,0.08291642173863846,25.31344031887896,0.0,8.157191192675652,6.933631531937116,9.596669198150392,R1,2018,7254,649,+1,8.157191192675652,6.933631531937116,9.596669198150392
mulher,Mulher,0.44242906459950215,0.057326123113500646,7.717756592810781,1.176836406102666e-14,1.5564834291222227,1.391065309477967,1.7415721955148395,R1,2018,7254,649,+1,1.5564834291222227,1.391065309477967,1.7415721955148395
negra,Negra,-0.3068566670233999,0.06284201950605388,-4.882985452016527,1.0449158305281259e-06,0.7357560514547089,0.6504915147865313,0.8321968157107663,R1,2018,7254,649,+1,0.7357560514547089,0.6504915147865313,0.8321968157107663
n_eleicoes_governador,Nº Eleições Governador,0.2879529755503643,0.1750650379734669,1.644834279212317,0.10000399094643897,1.3336945863948555,0.9463200017668029,1.8796403399040391,R2,2022,9263,623,+1,1.3336945863948555,0.9463200017668029,1.8796403399040391
n_eleicoes_senador,Nº Eleições Senador,1.238563631134977,0.1828408135686799,6.773999781343893,1.2527090476055491e-11,3.450653492200183,2.411371412634921,4.93785795951792,R2,2022,9263,623,+1,3.450653492200183,2.411371412634921,4.93785795951792
n_eleicoes_deputado_federal,Nº Eleições Deputado Federal,0.43915328781131513,0.02159676940977204,20.334212005458944,0.0,1.5513930788115255,1.4870936130019896,1.6184727470691411,R2,2022,9263,623,+1,1.5513930788115255,1.4870936130019896,1.6184727470691411
n_eleicoes_deputado_estadual,Nº Eleições Deputado Estadual,0.390268763607104,0.027408137279759003,14.239156773901549,0.0,1.4773778059172333,1.4001072131896177,1.558912889566851,R2,2022,9263,623,+1,1.4773778059172333,1.4001072131896177,1.558912889566851
n_eleicoes_prefeito,Nº Eleições Prefeito,0.3525507737724959,0.03913510130798326,9.008556564042372,0.0,1.422691889349149,1.3176448984165465,1.5361135723685608,R2,2022,9263,623,+1,1.422691889349149,1.3176448984165465,1.5361135723685608
n_eleicoes_vereador,Nº Eleições Vereador,0.1667695637018708,0.02077887209143153,8.025919932903415,1.1102230246251565e-15,1.1814819776038556,1.1343309144290712,1.2305929827411066,R2,2022,9263,623,+1,1.1814819776038556,1.1343309144290712,1.2305929827411066
prop_votos_nominais_lag,Proporção de votos nominais intralista t-1,1.0248886605692367,0.11933491493132188,8.588338636341826,0.0,2.786785164218218,2.20558378134853,3.5211410317672893,R2,2022,9263,623,+10 p.p.,1.1079249662676254,1.082311706665393,1.1341443720137194
qe_sem_vitoria,"≥10% do QE em eleição anterior, sem vitória acima de vereador",0.5313869020055844,0.07245527833677376,7.333998491258098,2.233768725545815e-13,1.7012901959461084,1.4760573146167113,1.9608915603483428,R2,2022,9263,623,+1,1.7012901959461084,1.4760573146167113,1.9608915603483428
mulher,Mulher,0.28034022435896555,0.03508069373400943,7.991296480182947,1.3322676295501878e-15,1.3235800499162205,1.235631363111435,1.4177886713112131,R2,2022,9263,623,+1,1.3235800499162205,1.235631363111435,1.4177886713112131
negra,Negra,-0.07487199457232892,0.03417248681618319,-2.1910022227844275,0.02845163159963704,0.9278622501313329,0.8677513497932846,0.9921371547550693,R2,2022,9263,623,+1,0.9278622501313329,0.8677513497932846,0.9921371547550693
competitivo,Credencial eleitoral prévia (flag do Top-NECr),1.522476921897834,0.05422906006484282,28.074927355874813,0.0,4.583564277062751,4.121379610268775,5.097579807892454,R1,2022,9263,623,+1,4.583564277062751,4.121379610268775,5.097579807892454
mulher,Mulher,0.3055702490304816,0.03530870696572897,8.654246368383626,0.0,1.3573988377171924,1.2666367804162482,1.4546645361352,R1,2022,9263,623,+1,1.3573988377171924,1.2666367804162482,1.4546645361352
negra,Negra,-0.08064152602845506,0.034631278093985085,-2.328574931875276,0.01988159536062062,0.922524333139394,0.8619837749213217,0.987316896204878,R1,2022,9263,623,+1,0.922524333139394,0.8619837749213217,0.987316896204878
