figura,desfecho,indicador,serie,ano_eleicao,valor_exibido
03-top-necr,competitividade,cobertura,top_necr,2018,80.89729119638827
03-top-necr,competitividade,cobertura,top_necr,2022,82.68183634699471
03-top-necr,competitividade,cobertura,acaso,2018,43.17622837807574
03-top-necr,competitividade,cobertura,acaso,2022,43.747596634893796
03-top-necr,competitividade,precisao,top_necr,2018,30.94775474956822
03-top-necr,competitividade,precisao,top_necr,2022,27.841842851539038
03-top-necr,competitividade,precisao,acaso,2018,16.51733089074918
03-top-necr,competitividade,precisao,acaso,2022,14.73133356072954
03-top-necr,competitividade,lift,top_necr,2018,1.8736534948816124
03-top-necr,competitividade,lift,top_necr,2022,1.8899743690387405
03-top-necr,competitividade,lift,acaso,2018,1.0
03-top-necr,competitividade,lift,acaso,2022,1.0
03-top-necr,eleicao,cobertura,top_necr,2018,86.74463937621833
03-top-necr,eleicao,cobertura,top_necr,2022,92.63007947218472
03-top-necr,eleicao,cobertura,acaso,2018,43.77628751331978
03-top-necr,eleicao,cobertura,acaso,2022,43.74636732490531
03-top-necr,eleicao,precisao,top_necr,2018,19.19758412424504
03-top-necr,eleicao,precisao,top_necr,2022,12.42657708400386
03-top-necr,eleicao,precisao,acaso,2018,9.68819477753798
03-top-necr,eleicao,precisao,acaso,2022,5.86869415211203
03-top-necr,eleicao,lift,top_necr,2018,1.9815439888506896
03-top-necr,eleicao,lift,top_necr,2022,2.1174347754230407
03-top-necr,eleicao,lift,acaso,2018,1.0
03-top-necr,eleicao,lift,acaso,2022,1.0
