figura,desfecho,indicador,serie,ano_eleicao,valor_exibido
06-divisao-igualitaria,competitividade,cobertura,top_necr,2018,80.89729119638827
06-divisao-igualitaria,competitividade,cobertura,top_necr,2022,82.68183634699471
06-divisao-igualitaria,competitividade,cobertura,acima_divisao_igual,2018,69.52595936794582
06-divisao-igualitaria,competitividade,cobertura,acima_divisao_igual,2022,73.58197358197359
06-divisao-igualitaria,competitividade,precisao,top_necr,2018,30.94775474956822
06-divisao-igualitaria,competitividade,precisao,top_necr,2022,27.841842851539038
06-divisao-igualitaria,competitividade,precisao,acima_divisao_igual,2018,34.80225988700565
06-divisao-igualitaria,competitividade,precisao,acima_divisao_igual,2022,35.25688756515264
06-divisao-igualitaria,competitividade,lift,top_necr,2018,1.8736534948816124
06-divisao-igualitaria,competitividade,lift,top_necr,2022,1.8899743690387405
06-divisao-igualitaria,competitividade,lift,acima_divisao_igual,2018,2.3380698954036903
06-divisao-igualitaria,competitividade,lift,acima_divisao_igual,2022,2.3621124462848417
06-divisao-igualitaria,eleicao,cobertura,top_necr,2018,86.74463937621833
06-divisao-igualitaria,eleicao,cobertura,top_necr,2022,92.63007947218472
06-divisao-igualitaria,eleicao,cobertura,acima_divisao_igual,2018,76.41325536062378
06-divisao-igualitaria,eleicao,cobertura,acima_divisao_igual,2022,89.8635477582846
06-divisao-igualitaria,eleicao,precisao,top_necr,2018,19.19758412424504
06-divisao-igualitaria,eleicao,precisao,top_necr,2022,12.42657708400386
06-divisao-igualitaria,eleicao,precisao,acima_divisao_igual,2018,22.12189616252821
06-divisao-igualitaria,eleicao,precisao,acima_divisao_igual,2022,17.15029761904762
06-divisao-igualitaria,eleicao,lift,top_necr,2018,1.9815439888506896
06-divisao-igualitaria,eleicao,lift,top_necr,2022,2.1174347754230407
06-divisao-igualitaria,eleicao,lift,acima_divisao_igual,2018,2.479880980042476
06-divisao-igualitaria,eleicao,lift,acima_divisao_igual,2022,2.8055648125848287
