universo,ano_eleicao,indicador,rotulo,n_listas,n_valido,indefinidos,media,desvio_padrao,minimo,q1,mediana,q3,maximo
Todas as listas,2018,C,Candidaturas (C),859,859,0,8.882421420256112,13.65164012292934,1.0,2.0,4.0,9.0,97.0
Todas as listas,2018,F,Competitivos prévios (F),859,859,0,1.031431897555297,1.643008546785094,0.0,0.0,1.0,1.0,14.0
Todas as listas,2018,recebedores,Recebedores positivos,859,859,0,6.50058207217695,10.744367511735192,0.0,1.0,3.0,7.0,95.0
Todas as listas,2018,NECr,NECr,859,786,73,2.9621418990773116,3.1695848175911894,1.0,1.0,1.8781287826229383,3.5168189263922534,28.999841183986035
Todas as listas,2018,k_top_necr,Posições Top-NECr (k),859,859,0,2.6984866123399303,3.1532179205969797,0.0,1.0,2.0,3.0,29.0
Todas as listas,2018,C_sobre_NECr,C / NECr,859,786,73,3.2948552800688793,4.329094103802894,1.0,1.1381086657945099,1.9469058205584957,3.424258064231544,50.95263070816963
Todas as listas,2018,NECr_sobre_C_pct,NECr / C (%),859,786,73,56.177908946767424,31.36717053746061,1.962607202221773,29.203511497125966,51.36365228240446,87.86516516479622,100.0
Todas as listas,2018,k_sobre_C_pct,k / C (%),859,859,0,51.175845383428694,34.52715927036961,0.0,22.22222222222222,50.0,85.71428571428571,100.0
Todas as listas,2018,C_menos_NECr,C − NECr,859,786,73,6.446255047487574,12.600461263089056,0.0,0.35829632693194574,1.924042966480206,5.877906556468413,88.20626106157368
Todas as listas,2022,C,Candidaturas (C),711,711,0,13.60759493670886,13.932307119508684,1.0,5.0,9.0,17.0,71.0
Todas as listas,2022,F,Competitivos prévios (F),711,711,0,1.8101265822784811,2.8277715031620225,0.0,0.0,1.0,3.0,25.0
Todas as listas,2022,recebedores,Recebedores positivos,711,711,0,12.080168776371307,13.22334844874121,0.0,3.0,9.0,15.0,70.0
Todas as listas,2022,NECr,NECr,711,648,63,5.9020966888888005,4.8747390912118,1.0,2.4709163160732626,4.8144236052308536,7.575646764260641,37.6766117799526
Todas as listas,2022,k_top_necr,Posições Top-NECr (k),711,711,0,5.378340365682138,4.964837832852474,0.0,2.0,4.0,7.0,38.0
Todas as listas,2022,C_sobre_NECr,C / NECr,711,648,63,2.666839095909836,2.498581866341325,0.9999999999999998,1.280470568553922,1.8640930724388212,3.0025136397871557,33.66860939264637
Todas as listas,2022,NECr_sobre_C_pct,NECr / C (%),711,648,63,55.3955485161147,27.15876746716185,2.9701256393987343,33.305497295394915,53.64539372816394,78.09632795017812,100.00000000000003
Todas as listas,2022,k_sobre_C_pct,k / C (%),711,711,0,50.41673483682413,30.919442379975493,0.0,26.666666666666668,50.0,75.0,100.0
