Ano,Magnitude,Tipo de partido,Listas,Candidatos,Competitivos,Competitivos / candidatos (%)
2018,Grande (39–70),Competitivo,36,940,224,23.829787234042552
2018,Grande (39–70),Menos competitivo,98,2861,151,5.277874868926949
2018,Médio (16–31),Competitivo,72,616,185,30.032467532467532
2018,Médio (16–31),Menos competitivo,188,1503,135,8.982035928143713
2018,Pequeno (8–12),Competitivo,132,476,156,32.773109243697476
2018,Pequeno (8–12),Menos competitivo,333,1234,122,9.886547811993516
2022,Grande (39–70),Competitivo,36,1605,340,21.18380062305296
2022,Grande (39–70),Menos competitivo,87,2552,172,6.739811912225705
2022,Médio (16–31),Competitivo,72,1310,312,23.81679389312977
2022,Médio (16–31),Menos competitivo,159,1825,137,7.506849315068493
2022,Pequeno (8–12),Competitivo,123,1003,307,30.608175473579262
2022,Pequeno (8–12),Menos competitivo,234,1380,86,6.231884057971015
