Ano,Magnitude,Tipo de partido,Indicador,N válido,Indefinidos,Média,Desvio-padrão,Mínimo,P25,Mediana,P75,Máximo
2018,Grande (39–70),Competitivo,Candidatos (C),36,0,26.11111111111111,22.369338425337965,3.0,9.5,20.0,36.5,97.0
2018,Grande (39–70),Competitivo,Competitivos (F),36,0,6.222222222222222,3.7653389990514503,2.0,3.0,5.5,9.0,16.0
2018,Grande (39–70),Competitivo,Competitivos na lista (%),36,0,35.37683537904829,23.929420919446475,6.349206349206349,16.346153846153847,29.066985645933013,45.11363636363636,100.0
2018,Grande (39–70),Competitivo,Bancada pré-eleitoral (Mp),36,0,4.222222222222222,2.799092823562776,0.0,2.0,4.0,5.25,13.0
2018,Grande (39–70),Competitivo,Eleitos (E),36,0,3.2777777777777777,2.1595119966075815,0.0,2.0,3.0,4.25,8.0
2018,Grande (39–70),Competitivo,NECr,36,0,7.761206872376704,4.833296382508136,1.7743102674703857,4.486186557576927,7.509557754931079,8.744955201006881,23.88235737247482
2018,Grande (39–70),Competitivo,D = C − NECr,36,0,18.349904238734403,19.047247200300998,0.09470525405625319,4.021466496586044,11.96610677025587,29.429173932261115,79.63292918109634
2018,Grande (39–70),Competitivo,Q = C / NECr,36,0,3.383327154090873,2.175104932127911,1.0291087973281692,1.819750078136152,2.863458658450968,4.0796545823644355,9.881701213554804
2018,Grande (39–70),Competitivo,NECr / Mp (Mp > 0),35,1,2.3531854839049338,1.982062212657004,0.9595767505785644,1.2050339195862172,1.7311329974332765,2.5413824976205506,9.953424919535832
2018,Grande (39–70),Competitivo,NECr / E (E > 0),34,2,2.6580549693945263,1.4652193781907072,0.8871551337351928,1.740522940947509,2.226797450026587,3.0773661619356503,7.932708694059975
2018,Grande (39–70),Competitivo,NECr − E,36,0,4.483429094598926,3.436538524421964,-0.22568973252961433,2.160982031447524,3.6723734479225385,5.722713580645831,15.882357372474821
2018,Grande (39–70),Competitivo,Cobertura Top-NECr por lista (%),34,2,95.00000000000001,11.920047906260365,50.0,100.0,100.0,100.0,100.0
2018,Grande (39–70),Competitivo,Precisão Top-NECr por lista (%),36,0,42.055301652824866,22.910127777860986,0.0,25.0,38.75,57.142857142857146,100.0
2018,Grande (39–70),Menos competitivo,Candidatos (C),98,0,29.193877551020407,24.360123813976692,1.0,10.25,25.0,44.0,97.0
2018,Grande (39–70),Menos competitivo,Competitivos (F),98,0,1.5408163265306123,1.7886720717753866,0.0,0.0,1.0,2.0,8.0
2018,Grande (39–70),Menos competitivo,Competitivos na lista (%),98,0,10.029871302260242,19.308766039578202,0.0,0.0,3.851851851851852,11.11111111111111,100.0
2018,Grande (39–70),Menos competitivo,Bancada pré-eleitoral (Mp),98,0,0.5408163265306123,0.8515403550187987,0.0,0.0,0.0,1.0,4.0
2018,Grande (39–70),Menos competitivo,Eleitos (E),98,0,0.9183673469387755,1.8087614341091869,0.0,0.0,0.0,1.0,12.0
2018,Grande (39–70),Menos competitivo,NECr,95,3,4.4503708294982705,4.34519559604541,1.0,1.5406919354288755,2.8827511191501722,5.232314308904316,26.91578513746165
2018,Grande (39–70),Menos competitivo,D = C − NECr,95,3,25.454892328396465,22.990166917494566,0.0,7.5795856001393265,20.388577819331154,35.81713299818771,88.20626106157368
2018,Grande (39–70),Menos competitivo,Q = C / NECr,95,3,9.174253176486316,8.652840763933787,1.0,3.4429915842906382,6.070852885818215,12.46852499027868,50.95263070816963
2018,Grande (39–70),Menos competitivo,NECr / Mp (Mp > 0),35,63,2.606200136756503,2.1273232867445797,0.7370360533829097,1.1847873156019042,1.841007628027845,2.9575607052680195,9.326822337349343
2018,Grande (39–70),Menos competitivo,NECr / E (E > 0),43,55,3.0501825006857928,3.041419513226087,0.6162979338250348,1.1753829047321158,1.9362937977453065,3.5038945585708348,13.50737832964293
2018,Grande (39–70),Menos competitivo,NECr − E,95,3,3.503002408445639,4.312974134485306,-4.6044247940995815,1.010277872577661,2.188721392204549,4.507802969153451,26.91578513746165
2018,Grande (39–70),Menos competitivo,Cobertura Top-NECr por lista (%),43,55,73.7984496124031,37.8564637729268,0.0,50.0,100.0,100.0,100.0
2018,Grande (39–70),Menos competitivo,Precisão Top-NECr por lista (%),95,3,20.13495860864282,32.13806824651725,0.0,0.0,0.0,36.66666666666667,100.0
2018,Médio (16–31),Competitivo,Candidatos (C),72,0,8.555555555555555,7.26343124768369,1.0,3.0,6.0,12.25,33.0
2018,Médio (16–31),Competitivo,Competitivos (F),72,0,2.5694444444444446,1.8901254812573367,0.0,1.0,2.0,3.25,9.0
2018,Médio (16–31),Competitivo,Competitivos na lista (%),72,0,42.11341059680309,28.865755668951543,0.0,18.04812834224599,37.5,50.0,100.0
2018,Médio (16–31),Competitivo,Bancada pré-eleitoral (Mp),72,0,1.6527777777777777,1.4453394963747819,0.0,1.0,1.0,2.0,7.0
2018,Médio (16–31),Competitivo,Eleitos (E),72,0,1.5,1.1132998786123665,0.0,1.0,1.0,2.0,5.0
2018,Médio (16–31),Competitivo,NECr,72,0,2.9868546378750693,1.9783731631842445,1.0,1.7251447131005189,2.3728966933576983,3.772246371530464,10.106729122706541
2018,Médio (16–31),Competitivo,D = C − NECr,72,0,5.568700917680486,5.961210641085914,0.0,1.1220322109178529,3.1100029303366092,8.418555407467998,28.34555136550133
2018,Médio (16–31),Competitivo,Q = C / NECr,72,0,2.8019856017101126,1.8991764734171672,1.0,1.6283344112103002,2.1445097463605056,3.194230026805428,9.579720152982828
2018,Médio (16–31),Competitivo,NECr / Mp (Mp > 0),60,12,1.6432799256876467,0.6634038231666097,0.905611720672996,1.0863905226248471,1.4752565181286856,1.9821867697244384,3.6102438123502014
2018,Médio (16–31),Competitivo,NECr / E (E > 0),63,9,1.9350365594042762,0.9409167278371742,0.683895813424381,1.3087914309169513,1.7434676206028925,2.1772261914993494,5.0684326549690715
2018,Médio (16–31),Competitivo,NECr − E,72,0,1.4868546378750693,1.3478442950793459,-0.9483125597268569,0.5698204583531019,1.1677499784674144,2.2773949781374103,6.1067291227065414
2018,Médio (16–31),Competitivo,Cobertura Top-NECr por lista (%),63,9,97.4867724867725,10.110824143618238,50.0,100.0,100.0,100.0,100.0
2018,Médio (16–31),Competitivo,Precisão Top-NECr por lista (%),72,0,53.95778218694885,31.90630233832534,0.0,33.333333333333336,50.0,66.66666666666667,100.0
2018,Médio (16–31),Menos competitivo,Candidatos (C),188,0,7.99468085106383,8.36563977078888,1.0,2.0,5.0,10.25,40.0
2018,Médio (16–31),Menos competitivo,Competitivos (F),188,0,0.7180851063829787,1.174730622525402,0.0,0.0,0.0,1.0,7.0
2018,Médio (16–31),Menos competitivo,Competitivos na lista (%),188,0,17.58726478566159,29.24540366393476,0.0,0.0,0.0,21.25,100.0
2018,Médio (16–31),Menos competitivo,Bancada pré-eleitoral (Mp),188,0,0.30319148936170215,0.5651088821609824,0.0,0.0,0.0,1.0,3.0
2018,Médio (16–31),Menos competitivo,Eleitos (E),188,0,0.3617021276595745,0.7990778619847788,0.0,0.0,0.0,0.0,6.0
2018,Médio (16–31),Menos competitivo,NECr,170,18,3.1349424202758316,3.823987648818256,1.0,1.0,1.6328122237595837,3.130635398893877,28.999841183986035
2018,Médio (16–31),Menos competitivo,D = C − NECr,170,18,5.300351697371228,7.129522083408642,0.0,0.9542301857573403,2.7987794847272305,6.521479728997499,37.04842487547393
2018,Médio (16–31),Menos competitivo,Q = C / NECr,170,18,3.5277641237063135,3.849381423831798,1.0,1.2753035096122942,2.168258303301521,3.9834118076594276,22.272832937587246
2018,Médio (16–31),Menos competitivo,NECr / Mp (Mp > 0),47,141,1.495716834441973,0.6799115836618851,0.508271609539987,1.0,1.1642292302617177,1.971042387019868,3.1088700648733223
2018,Médio (16–31),Menos competitivo,NECr / E (E > 0),46,142,2.2203123873690576,2.275666145859673,0.522981751705677,1.0,1.3955703514295519,2.708349573678515,10.499775368265674
2018,Médio (16–31),Menos competitivo,NECr − E,170,18,2.7349424202758312,3.8888843762295133,-2.8621094897659383,1.0,1.1435965222571816,2.9081631197480595,28.999841183986035
2018,Médio (16–31),Menos competitivo,Cobertura Top-NECr por lista (%),46,142,86.86594202898551,29.027012101868095,0.0,100.0,100.0,100.0,100.0
2018,Médio (16–31),Menos competitivo,Precisão Top-NECr por lista (%),170,18,16.848039215686278,33.279600865085705,0.0,0.0,0.0,7.5,100.0
2018,Pequeno (8–12),Competitivo,Candidatos (C),132,0,3.606060606060606,2.923340073809163,1.0,2.0,3.0,5.0,16.0
2018,Pequeno (8–12),Competitivo,Competitivos (F),132,0,1.1818181818181819,0.8633167164774124,0.0,1.0,1.0,1.25,4.0
2018,Pequeno (8–12),Competitivo,Competitivos na lista (%),132,0,45.61979371638462,33.32762739180664,0.0,20.0,50.0,66.66666666666667,100.0
2018,Pequeno (8–12),Competitivo,Bancada pré-eleitoral (Mp),132,0,0.7878787878787878,0.6304040026598118,0.0,0.0,1.0,1.0,3.0
2018,Pequeno (8–12),Competitivo,Eleitos (E),132,0,0.6742424242424242,0.6360206934221981,0.0,0.0,1.0,1.0,3.0
2018,Pequeno (8–12),Competitivo,NECr,128,4,1.7764044024630377,0.8719405919957338,1.0,1.0,1.4776731363000848,2.1249110253669343,4.654616118909267
2018,Pequeno (8–12),Competitivo,D = C − NECr,128,4,1.8564080975369623,2.3948915023748087,0.0,0.10232771527887918,1.0,2.699701579527426,12.680502831713303
2018,Pequeno (8–12),Competitivo,Q = C / NECr,128,4,1.9404596514304115,1.0392164141221685,1.0,1.0543960846647005,1.6436220474882723,2.2220872510523986,6.142431225013221
2018,Pequeno (8–12),Competitivo,NECr / Mp (Mp > 0),89,43,1.57570740132832,0.8201727746484924,0.5,1.0,1.2106458639757218,1.923076923076923,4.654616118909267
2018,Pequeno (8–12),Competitivo,NECr / E (E > 0),78,54,1.6923723742294674,0.8106173974565103,0.8417972759973468,1.0,1.3775001923014432,2.0169547068899245,4.3680716742733035
2018,Pequeno (8–12),Competitivo,NECr − E,128,4,1.0810919024630374,0.9116849087842827,-0.31640544800530646,0.26170574066864055,1.0,1.63890430646309,4.654616118909267
2018,Pequeno (8–12),Competitivo,Cobertura Top-NECr por lista (%),78,54,93.58974358974359,23.297865627360437,0.0,100.0,100.0,100.0,100.0
2018,Pequeno (8–12),Competitivo,Precisão Top-NECr por lista (%),128,4,41.796875,42.038815425817475,0.0,0.0,33.333333333333336,100.0,100.0
2018,Pequeno (8–12),Menos competitivo,Candidatos (C),333,0,3.705705705705706,3.0086017041700317,1.0,1.0,3.0,5.0,16.0
2018,Pequeno (8–12),Menos competitivo,Competitivos (F),333,0,0.3663663663663664,0.633652881162179,0.0,0.0,0.0,1.0,4.0
2018,Pequeno (8–12),Menos competitivo,Competitivos na lista (%),333,0,16.54682071348738,30.9401547182323,0.0,0.0,0.0,20.0,100.0
2018,Pequeno (8–12),Menos competitivo,Bancada pré-eleitoral (Mp),333,0,0.07207207207207207,0.25899638476258924,0.0,0.0,0.0,0.0,1.0
2018,Pequeno (8–12),Menos competitivo,Eleitos (E),333,0,0.12012012012012012,0.34359542612351174,0.0,0.0,0.0,0.0,2.0
2018,Pequeno (8–12),Menos competitivo,NECr,285,48,2.2830924476410686,1.9610342653229897,1.0,1.0,1.4454798491114031,2.8421052631578947,12.767832554958797
2018,Pequeno (8–12),Menos competitivo,D = C − NECr,285,48,1.5730479032361244,2.0911096465435097,0.0,0.0,0.9139648011506818,2.009049809099672,11.822506182633441
2018,Pequeno (8–12),Menos competitivo,Q = C / NECr,285,48,1.9177569160855223,1.3591096458118745,1.0,1.0,1.3666956391457832,2.0,10.0
2018,Pequeno (8–12),Menos competitivo,NECr / Mp (Mp > 0),24,309,1.509262671290707,0.8708649148533946,1.0,1.0,1.1686196689488582,1.5371005297528477,3.994075662376826
2018,Pequeno (8–12),Menos competitivo,NECr / E (E > 0),36,297,1.7055710146380028,1.2271641537211813,0.9888410538658595,1.0,1.1633421015671683,1.7224947681138518,6.764354286202949
2018,Pequeno (8–12),Menos competitivo,NECr − E,285,48,2.15326788623756,2.0267379115768556,-0.02231789226828096,1.0,1.1655172413793102,2.6312594840667685,12.767832554958797
2018,Pequeno (8–12),Menos competitivo,Cobertura Top-NECr por lista (%),38,295,94.73684210526316,22.629428592141423,0.0,100.0,100.0,100.0,100.0
2018,Pequeno (8–12),Menos competitivo,Precisão Top-NECr por lista (%),285,48,9.757727652464496,27.77173859270448,0.0,0.0,0.0,0.0,100.0
2022,Grande (39–70),Competitivo,Candidatos (C),36,0,44.583333333333336,13.784826026157479,13.0,37.0,44.5,53.0,70.0
2022,Grande (39–70),Competitivo,Competitivos (F),36,0,9.444444444444445,6.389475473416955,0.0,5.0,8.0,12.5,27.0
2022,Grande (39–70),Competitivo,Competitivos na lista (%),36,0,21.440191557991298,13.299533305594935,0.0,11.733001658374793,18.301435406698566,25.874125874125873,55.319148936170215
2022,Grande (39–70),Competitivo,Bancada pré-eleitoral (Mp),36,0,4.5,3.2906794782493525,0.0,2.0,4.0,7.0,15.0
2022,Grande (39–70),Competitivo,Eleitos (E),36,0,4.444444444444445,3.660167400109645,0.0,2.0,3.0,6.0,17.0
2022,Grande (39–70),Competitivo,NECr,36,0,13.637840708866248,7.490321375592969,3.1512483176388195,8.826604518082963,12.264304724022253,18.344999539589868,37.6766117799526
2022,Grande (39–70),Competitivo,D = C − NECr,36,0,30.945492624467093,11.742366638693108,2.1238235426617926,25.81693144906403,28.87022406353173,36.68161862366938,56.572215935120056
2022,Grande (39–70),Competitivo,Q = C / NECr,36,0,4.147978659562239,2.289517303366135,1.1952729942358409,2.5542815722845895,3.459445195514771,5.579841877664647,9.520036815911265
2022,Grande (39–70),Competitivo,NECr / Mp (Mp > 0),35,1,3.8318117335658526,2.1694736941918493,1.2799349527358053,2.31398566199923,3.2313762486273676,4.658055550437048,10.531275226782265
2022,Grande (39–70),Competitivo,NECr / E (E > 0),34,2,3.840844882115973,2.255410700628638,1.1268663209695466,2.6026128697412987,3.5316626001739033,4.429902794615896,13.797605225292312
2022,Grande (39–70),Competitivo,NECr − E,36,0,9.193396264421803,6.030297708475602,1.395529530665014,4.83464340746143,7.616231829712222,13.042188377130238,31.6766117799526
2022,Grande (39–70),Competitivo,Cobertura Top-NECr por lista (%),34,2,95.11695340415065,11.985962438022721,50.0,100.0,100.0,100.0,100.0
2022,Grande (39–70),Competitivo,Precisão Top-NECr por lista (%),36,0,29.926647311992472,17.13719614655516,0.0,19.761904761904763,27.44360902255639,39.464285714285715,83.33333333333333
2022,Grande (39–70),Menos competitivo,Candidatos (C),87,0,29.333333333333332,20.8246648632497,1.0,9.0,27.0,46.0,71.0
2022,Grande (39–70),Menos competitivo,Competitivos (F),87,0,1.9770114942528736,2.799406130934355,0.0,0.0,1.0,3.0,18.0
2022,Grande (39–70),Menos competitivo,Competitivos na lista (%),87,0,9.257927318575103,16.406257338677516,0.0,0.0,4.444444444444445,10.39136302294197,100.0
2022,Grande (39–70),Menos competitivo,Bancada pré-eleitoral (Mp),87,0,0.5287356321839081,0.8738990477029077,0.0,0.0,0.0,1.0,4.0
2022,Grande (39–70),Menos competitivo,Eleitos (E),87,0,0.5517241379310345,1.0971275464811712,0.0,0.0,0.0,1.0,5.0
2022,Grande (39–70),Menos competitivo,NECr,81,6,8.39215741129248,7.43367765839616,1.0,2.875239532554859,6.476260108899745,11.334186369991153,31.80544177706546
2022,Grande (39–70),Menos competitivo,D = C − NECr,81,6,22.447348761547026,18.05163903481186,0.0,5.31413960567422,21.2222749513165,37.594489208515654,65.98031456520886
2022,Grande (39–70),Menos competitivo,Q = C / NECr,81,6,4.866158390098561,4.851588571529112,1.0,1.9601639500965136,3.257022700927021,6.616300897758147,33.66860939264637
2022,Grande (39–70),Menos competitivo,NECr / Mp (Mp > 0),30,57,6.280430795831789,5.164755082267612,1.0375089895338263,2.54688451661506,4.167702622508309,8.008003827986654,21.799049782426085
2022,Grande (39–70),Menos competitivo,NECr / E (E > 0),27,60,6.0253616411338715,5.187433674748493,1.0375089895338263,2.7476468861965317,4.233950790455463,7.767547710941658,24.557810957480005
2022,Grande (39–70),Menos competitivo,NECr − E,81,6,7.799564818699888,7.383973201696956,0.07501797906765262,2.7777250486834997,5.5941677831304695,10.383650600649196,31.80544177706546
2022,Grande (39–70),Menos competitivo,Cobertura Top-NECr por lista (%),27,60,94.44444444444444,21.182963643408087,0.0,100.0,100.0,100.0,100.0
2022,Grande (39–70),Menos competitivo,Precisão Top-NECr por lista (%),81,6,9.509393898282786,19.6350541095041,0.0,0.0,0.0,12.5,100.0
2022,Médio (16–31),Competitivo,Candidatos (C),72,0,18.194444444444443,6.628234291865069,1.0,14.0,17.0,23.0,32.0
2022,Médio (16–31),Competitivo,Competitivos (F),72,0,4.333333333333333,2.6109196480264774,0.0,3.0,4.0,5.25,13.0
2022,Médio (16–31),Competitivo,Competitivos na lista (%),72,0,23.67109077564929,13.254213589773292,0.0,15.10989010989011,22.401433691756274,28.781512605042018,64.28571428571429
2022,Médio (16–31),Competitivo,Bancada pré-eleitoral (Mp),72,0,1.9305555555555556,1.427362276120763,0.0,1.0,2.0,3.0,6.0
2022,Médio (16–31),Competitivo,Eleitos (E),72,0,2.0416666666666665,1.8946737799405908,0.0,1.0,1.5,3.0,9.0
2022,Médio (16–31),Competitivo,NECr,71,1,7.028043362554195,3.447792736429747,1.0,4.730257101285997,6.835913459988796,8.274843316304912,20.681228712693365
2022,Médio (16–31),Competitivo,D = C − NECr,71,1,11.394491848713411,5.670518512267094,0.0,7.032344596114864,10.249069208583903,15.391207548948344,26.32055029793496
2022,Médio (16–31),Competitivo,Q = C / NECr,71,1,3.0733765063452503,1.7295936852728446,1.0,1.9655345665506683,2.6241022907253377,3.5638219366515016,11.152439362577136
2022,Médio (16–31),Competitivo,NECr / Mp (Mp > 0),61,11,4.200481210518364,2.8943684940509122,0.7799082836775066,2.1199358542133644,3.3353326455240127,5.722171790131461,13.629380883446684
2022,Médio (16–31),Competitivo,NECr / E (E > 0),57,15,3.888413867431651,2.653593752283456,0.5232870456839885,1.8796116504854368,3.137203178374571,5.583216625511733,11.882207068008283
2022,Médio (16–31),Competitivo,NECr − E,71,1,4.957620827342928,3.7032957303329592,-4.290416588844103,2.60653976289926,4.583216625511733,6.937507445806601,17.681228712693365
2022,Médio (16–31),Competitivo,Cobertura Top-NECr por lista (%),57,15,92.86549707602339,18.742073419660578,0.0,100.0,100.0,100.0,100.0
2022,Médio (16–31),Competitivo,Precisão Top-NECr por lista (%),71,1,29.262981104323277,25.85423609061034,0.0,10.555555555555555,22.22222222222222,46.42857142857143,100.0
2022,Médio (16–31),Menos competitivo,Candidatos (C),159,0,11.477987421383649,8.714774649393647,1.0,3.0,10.0,18.0,31.0
2022,Médio (16–31),Menos competitivo,Competitivos (F),159,0,0.8616352201257862,1.4861299133178165,0.0,0.0,0.0,1.0,10.0
2022,Médio (16–31),Menos competitivo,Competitivos na lista (%),159,0,7.357668339083727,12.53273490246115,0.0,0.0,0.0,10.912698412698411,52.63157894736842
2022,Médio (16–31),Menos competitivo,Bancada pré-eleitoral (Mp),159,0,0.23270440251572327,0.6861649850820479,0.0,0.0,0.0,0.0,7.0
2022,Médio (16–31),Menos competitivo,Eleitos (E),159,0,0.18238993710691823,0.5378737547981208,0.0,0.0,0.0,0.0,5.0
2022,Médio (16–31),Menos competitivo,NECr,139,20,5.748614215656937,4.5446195005648375,1.0,1.9419377056160543,4.5894024534177635,8.377863849460299,20.547842401500933
2022,Médio (16–31),Menos competitivo,D = C − NECr,139,20,6.711817439019322,6.570834099757248,0.0,0.9887147745364461,5.768992536535539,9.856480595704234,28.25374460825273
2022,Médio (16–31),Menos competitivo,Q = C / NECr,139,20,2.5712009883461757,2.122091457924101,1.0,1.3128634595934714,1.8754700964541509,3.238708772511357,17.17961767893676
