Magnitude,Ano,Indicador,Variavel,N,Media,Mediana
Pequeno (8–12),2018,Candidaturas totais,C,413,3.7869249394673123,3.0
Pequeno (8–12),2018,Candidaturas competitivas,F,413,0.6174334140435835,0.0
Pequeno (8–12),2018,NECr,NECr,413,2.12605595906289,1.4454798491114031
Pequeno (8–12),2022,Candidaturas totais,C,321,6.859813084112149,8.0
Pequeno (8–12),2022,Candidaturas competitivas,F,321,1.1993769470404985,1.0
Pequeno (8–12),2022,NECr,NECr,321,4.223623625695964,3.8360142918711633
Médio (16–31),2018,Candidaturas totais,C,242,8.47107438016529,6.0
Médio (16–31),2018,Candidaturas competitivas,F,242,1.2107438016528926,1.0
Médio (16–31),2018,NECr,NECr,242,3.0908832453466792,1.9164206149840572
Médio (16–31),2022,Candidaturas totais,C,210,14.476190476190476,15.0
Médio (16–31),2022,Candidaturas competitivas,F,210,2.038095238095238,1.0
Médio (16–31),2022,NECr,NECr,210,6.181183117703153,5.676947336410945
Grande (39–70),2018,Candidaturas totais,C,131,28.862595419847327,22.0
Grande (39–70),2018,Candidaturas competitivas,F,131,2.49618320610687,2.0
Grande (39–70),2018,NECr,NECr,131,5.3602189023503595,4.084009562440277
Grande (39–70),2022,Candidaturas totais,C,117,35.06837606837607,39.0
Grande (39–70),2022,Candidaturas competitivas,F,117,4.017094017094017,3.0
Grande (39–70),2022,NECr,NECr,117,10.006213810545947,8.265713177762846
