Ano,UF,Partido,Dentro: eleitos,Dentro: não eleitos,Fora: eleitos,Fora: não eleitos
2018,AC,AVANTE,0.0,6.0,0.0,3.0
2018,AC,DC,0.0,3.0,0.0,0.0
2018,AC,DEM,1.0,0.0,0.0,0.0
2018,AC,MDB,2.0,0.0,0.0,1.0
2018,AC,PATRI,0.0,0.0,0.0,1.0
2018,AC,PC DO B,1.0,0.0,0.0,0.0
2018,AC,PDT,1.0,6.0,0.0,9.0
2018,AC,PHS,0.0,2.0,0.0,0.0
2018,AC,PMB,0.0,1.0,0.0,0.0
2018,AC,PMN,0.0,1.0,0.0,0.0
2018,AC,PODE,0.0,1.0,0.0,1.0
2018,AC,PP,0.0,2.0,0.0,1.0
2018,AC,PPL,0.0,1.0,0.0,0.0
2018,AC,PPS,0.0,1.0,0.0,0.0
2018,AC,PR,0.0,1.0,0.0,0.0
2018,AC,PROS,0.0,1.0,0.0,1.0
2018,AC,PRP,0.0,2.0,0.0,1.0
2018,AC,PRTB,0.0,1.0,0.0,1.0
2018,AC,PSB,0.0,1.0,0.0,0.0
2018,AC,PSC,0.0,1.0,0.0,0.0
2018,AC,PSD,0.0,1.0,0.0,0.0
2018,AC,PSDB,1.0,0.0,0.0,0.0
2018,AC,PSL,0.0,5.0,0.0,3.0
2018,AC,PSOL,0.0,3.0,0.0,1.0
2018,AC,PT,1.0,2.0,0.0,2.0
2018,AC,PTB,0.0,1.0,0.0,0.0
2018,AC,PTC,0.0,1.0,0.0,0.0
2018,AC,PV,0.0,1.0,0.0,1.0
2018,AC,REDE,0.0,1.0,0.0,1.0
2018,AC,SOLIDARIEDADE,1.0,0.0,0.0,0.0
2018,AL,AVANTE,0.0,1.0,0.0,0.0
2018,AL,DC,0.0,2.0,0.0,0.0
2018,AL,DEM,0.0,0.0,0.0,2.0
2018,AL,MDB,0.0,2.0,1.0,0.0
2018,AL,NOVO,0.0,2.0,0.0,1.0
2018,AL,PATRI,0.0,0.0,0.0,3.0
2018,AL,PC DO B,0.0,2.0,0.0,2.0
2018,AL,PDT,0.0,1.0,0.0,1.0
2018,AL,PHS,0.0,4.0,0.0,2.0
2018,AL,PMN,0.0,1.0,0.0,0.0
2018,AL,PODE,0.0,0.0,0.0,1.0
2018,AL,PP,1.0,1.0,0.0,3.0
2018,AL,PPL,0.0,2.0,0.0,0.0
2018,AL,PPS,0.0,1.0,0.0,0.0
2018,AL,PR,1.0,0.0,0.0,0.0
2018,AL,PRB,1.0,0.0,0.0,0.0
2018,AL,PROS,0.0,0.0,0.0,1.0
2018,AL,PRTB,0.0,1.0,0.0,1.0
2018,AL,PSB,1.0,0.0,0.0,1.0
2018,AL,PSC,0.0,2.0,0.0,0.0
2018,AL,PSD,1.0,1.0,0.0,0.0
2018,AL,PSDB,1.0,1.0,0.0,1.0
2018,AL,PSL,0.0,0.0,0.0,10.0
2018,AL,PSOL,0.0,1.0,0.0,1.0
2018,AL,PSTU,0.0,0.0,0.0,1.0
2018,AL,PT,1.0,0.0,0.0,0.0
2018,AL,PTB,1.0,1.0,0.0,0.0
2018,AL,PTC,0.0,1.0,0.0,1.0
2018,AL,PV,0.0,1.0,0.0,1.0
2018,AL,REDE,0.0,1.0,0.0,0.0
2018,AL,SOLIDARIEDADE,0.0,0.0,0.0,1.0
2018,AM,AVANTE,0.0,2.0,0.0,2.0
2018,AM,DC,0.0,3.0,0.0,3.0
2018,AM,DEM,0.0,1.0,0.0,1.0
2018,AM,MDB,0.0,1.0,0.0,6.0
2018,AM,PATRI,0.0,4.0,0.0,1.0
2018,AM,PC DO B,0.0,4.0,0.0,4.0
2018,AM,PDT,0.0,2.0,0.0,1.0
2018,AM,PHS,0.0,2.0,0.0,0.0
2018,AM,PMB,0.0,2.0,0.0,7.0
2018,AM,PMN,0.0,3.0,0.0,4.0
2018,AM,PODE,0.0,3.0,0.0,2.0
2018,AM,PP,1.0,0.0,0.0,1.0
2018,AM,PPL,0.0,0.0,0.0,5.0
2018,AM,PPS,0.0,1.0,0.0,1.0
2018,AM,PR,1.0,1.0,0.0,1.0
2018,AM,PRB,2.0,0.0,0.0,0.0
2018,AM,PROS,0.0,2.0,0.0,0.0
2018,AM,PRP,0.0,1.0,0.0,3.0
2018,AM,PRTB,0.0,0.0,0.0,3.0
