Ano,Magnitude,Alvo,Total alvo,No núcleo,Esperados ao acaso,Posições,Cobertura (%),Aleatória (%),Excedente (p.p.),Lift,Precisão (%),Precisão aleatória (%)
2018,Total,Eleitos,513,445.0,224.57235494333048,2318,86.74463937621833,43.77628751331978,42.968351862898544,1.9815439888506898,19.19758412424504,9.688194777537984
2018,Total,Competitivos prévios,886,716.75,382.6446852856105,2318,80.89729119638827,43.18788772975287,37.709403466635386,1.8731476682212622,30.92105263157895,16.50753603475455
2018,Pequeno (8–12),Eleitos,129,120.0,80.07499999999999,872,93.02325581395348,62.0736434108527,30.949612403100783,1.498595067124571,13.761467889908257,9.182912844036696
2018,Pequeno (8–12),Competitivos prévios,263,215.0,157.16242507492507,872,81.74904942965779,59.757576074115995,21.9914733555418,1.3680114690104943,24.655963302752294,18.023213884739114
2018,Grande (39–70),Eleitos,208,169.5,69.2633900737937,700,81.49038461538461,33.29970676624697,48.19067784913764,2.4471802465835633,24.214285714285715,9.894770010541956
2018,Grande (39–70),Competitivos prévios,328,261.25,104.44890695056083,700,79.64939024390245,31.844178948341717,47.805211295560724,2.5012229196774496,37.32142857142857,14.92127242150869
2018,Médio (16–31),Eleitos,176,155.5,75.23396486953679,746,88.35227272727273,42.74657094860045,45.60570177867228,2.0668856183460824,20.844504021447722,10.08498188599689
2018,Médio (16–31),Competitivos prévios,295,240.5,121.03335326012458,746,81.52542372881356,41.028255342415115,40.49716838639844,1.987055580316923,32.238605898123325,16.22431008848855
2022,Total,Eleitos,513,475.1923076923077,224.41886437676425,3824,92.63007947218473,43.746367324905314,48.883712147279425,2.1174347754230407,12.426577084003862,5.8686941521120355
2022,Total,Competitivos prévios,1287,1064.115233785822,563.0783219378363,3824,82.68183634699471,43.75122936579925,38.930606981195474,1.8898174416014901,27.827281218248483,14.724851515110782
2022,Pequeno (8–12),Eleitos,129,121.5,84.14935342435342,1355,94.18604651162791,65.23205691810344,28.95398959352448,1.4438613614449596,8.966789667896679,6.210284385561139
2022,Pequeno (8–12),Competitivos prévios,387,317.0,229.9268786768787,1355,81.91214470284238,59.41263014906426,22.499514553778116,1.3786991839500726,23.394833948339482,16.96877333408699
2022,Grande (39–70),Eleitos,208,195.19230769230768,74.16475236185799,1168,93.84245562130178,35.65613094320096,58.18632467810081,2.6318743267683673,16.711670179135933,6.349721948789211
2022,Grande (39–70),Competitivos prévios,471,391.315233785822,160.7730761487231,1168,83.08179061270106,34.134411071915736,48.94737954078533,2.433959983597228,33.503016591251885,13.764818163418074
2022,Médio (16–31),Eleitos,176,158.5,66.10475859055285,1301,90.05681818181819,37.55952192645048,52.4972962553677,2.3977093840057004,12.18293620292083,5.08107291241759
2022,Médio (16–31),Competitivos prévios,429,355.8,172.37836711223468,1301,82.93706293706293,40.18143755529946,42.75562538176348,2.064064104797677,27.348193697156034,13.249682329918118
