Ano,Grupo,Perfil,N válido ponderado,Ausente ponderado,Percentual
2018,Núcleo,Eleito federal no pleito anterior (proxy),2316.0,2.0,11.18307426597582
2018,Núcleo,"Vitória federal antiga, sem vitória no pleito anterior",2316.0,2.0,6.973229706390328
2018,Núcleo,Vitória anterior estadual/distrital,2316.0,2.0,11.72279792746114
2018,Núcleo,Vitória anterior para prefeito,2316.0,2.0,0.3454231433506045
2018,Núcleo,Vitória anterior para vereador,2316.0,2.0,4.49769717904433
2018,Núcleo,Votação histórica ≥ 10% do QE,2316.0,2.0,30.38644214162349
2018,Núcleo,Alguma vitória anterior,2316.0,2.0,29.00115141047783
2018,Núcleo,Sem vitória nem votação histórica relevante,2316.0,2.0,66.56232009211284
2018,Núcleo,Mulheres,2316.0,2.0,32.89959366891108
2018,Núcleo,Pessoas pretas ou pardas,2316.0,2.0,35.49930374665676
2018,Fora,Eleito federal no pleito anterior (proxy),5310.0,2.0,0.03766478342749529
2018,Fora,"Vitória federal antiga, sem vitória no pleito anterior",5310.0,2.0,0.1977401129943503
2018,Fora,Vitória anterior estadual/distrital,5310.0,2.0,0.8380414312617702
2018,Fora,Vitória anterior para prefeito,5310.0,2.0,0.2071563088512241
2018,Fora,Vitória anterior para vereador,5310.0,2.0,3.010043942247332
2018,Fora,Votação histórica ≥ 10% do QE,5310.0,2.0,3.1120527306967984
2018,Fora,Alguma vitória anterior,5310.0,2.0,4.111738857501569
2018,Fora,Sem vitória nem votação histórica relevante,5310.0,2.0,94.1886377903327
2018,Fora,Mulheres,5310.0,2.0,31.111966301845943
2018,Fora,Pessoas pretas ou pardas,5310.0,2.0,43.14192326228682
2022,Núcleo,Eleito federal no pleito anterior (proxy),3822.0,2.0,10.765608018355271
2022,Núcleo,"Vitória federal antiga, sem vitória no pleito anterior",3822.0,2.0,3.2792604221175647
2022,Núcleo,Vitória anterior estadual/distrital,3822.0,2.0,9.202793543452884
2022,Núcleo,Vitória anterior para prefeito,3822.0,2.0,0.4317111459968603
2022,Núcleo,Vitória anterior para vereador,3822.0,2.0,5.348071603958575
2022,Núcleo,Votação histórica ≥ 10% do QE,3822.0,2.0,27.60636404463166
2022,Núcleo,Alguma vitória anterior,3822.0,2.0,23.736215816278612
2022,Núcleo,Sem vitória nem votação histórica relevante,3822.0,2.0,68.93543272479464
2022,Núcleo,Mulheres,3822.0,2.0,36.20850491953717
2022,Núcleo,Pessoas pretas ou pardas,3813.75,10.25,46.745689219265394
2022,Fora,Eleito federal no pleito anterior (proxy),5850.0,1.0,0.23142669296515453
2022,Fora,"Vitória federal antiga, sem vitória no pleito anterior",5850.0,1.0,0.2849002849002849
2022,Fora,Vitória anterior estadual/distrital,5850.0,1.0,0.6028928336620645
2022,Fora,Vitória anterior para prefeito,5850.0,1.0,0.3162393162393162
2022,Fora,Vitória anterior para vereador,5850.0,1.0,3.736695782849629
2022,Fora,Votação histórica ≥ 10% do QE,5850.0,1.0,3.7758079694731284
2022,Fora,Alguma vitória anterior,5850.0,1.0,5.056441564133872
2022,Fora,Sem vitória nem votação histórica relevante,5850.0,1.0,92.94508993604015
2022,Fora,Mulheres,5850.0,1.0,34.53181097393657
2022,Fora,Pessoas pretas ou pardas,5802.25,48.75,49.05400969279617
