Modelo,Variável,Coeficiente pp,IC95 inferior,IC95 superior,p,p BH (família de todos os coeficientes)
Não eleição dentro do núcleo 2018,Eleito federal no pleito anterior (proxy),-32.58160165074321,-44.34070524253681,-20.822498058949613,8.473308975572736e-08,4.80154175282455e-07
Não eleição dentro do núcleo 2018,"Vitória federal antiga, sem vitória no pleito anterior",1.4388350759203097,-12.373144646175344,15.250814798015966,0.8378840245091463,0.8765555948711069
Não eleição dentro do núcleo 2018,Vitória anterior estadual/distrital,-23.425346867766727,-34.038194748780285,-12.812498986753173,1.7736957936447143e-05,8.040754264522706e-05
Não eleição dentro do núcleo 2018,Vitória anterior para prefeito,-22.338756566783278,-77.79357066150406,33.11605752793751,0.4289900114161106,0.5303876504781003
Não eleição dentro do núcleo 2018,Vitória anterior para vereador,7.379479130736841,-1.279362087010595,16.038320348484277,0.09465548831042406,0.20763139371318826
Não eleição dentro do núcleo 2018,Votação histórica ≥ 10% do QE,-2.1433582056476648,-12.71471482028559,8.42799840899026,0.6904913570903289,0.7452922584467042
Não eleição dentro do núcleo 2018,Mulheres,6.139182201387223,2.6360597616756043,9.642304641098843,0.0006261392970285901,0.002661092012371508
Não eleição dentro do núcleo 2018,Pessoas pretas ou pardas,3.2959701359358204,-0.48574466063472516,7.077684932506366,0.08743659949320995,0.20763139371318826
Não eleição dentro do núcleo 2022,Eleito federal no pleito anterior (proxy),-47.017994823004415,-53.14170317400715,-40.89428647200168,1.6414114483070552e-43,5.5807989242439876e-42
Não eleição dentro do núcleo 2022,"Vitória federal antiga, sem vitória no pleito anterior",-4.435763391521233,-12.902168755840002,4.030641972797536,0.30389017606527,0.45605801659667505
Não eleição dentro do núcleo 2022,Vitória anterior estadual/distrital,-17.734822626961474,-23.835516130550698,-11.63412912337225,1.8194701187827057e-08,1.1247633461565817e-07
Não eleição dentro do núcleo 2022,Vitória anterior para prefeito,-20.821188953838814,-45.67867193369275,4.036294026015119,0.10047975873700558,0.21351948731613687
Não eleição dentro do núcleo 2022,Vitória anterior para vereador,1.7136758076477248,-2.712121364028167,6.1394729793236165,0.4472629130160989,0.5431049658052629
Não eleição dentro do núcleo 2022,Votação histórica ≥ 10% do QE,2.24644369880225,-1.5467640251731363,6.039651422777636,0.24523063932120676,0.4067239871668795
Não eleição dentro do núcleo 2022,Mulheres,1.9638211813755462,0.14872570991548706,3.7789166528356053,0.03400993337490039,0.10055110736927071
Não eleição dentro do núcleo 2022,Pessoas pretas ou pardas,2.6352040489917723,0.48626203684801644,4.7841460611355275,0.0163307737125005,0.061694034025001884
