Ano,Fonte,Regra,Eleitos fora,Diferença pp
2018,proprios,piso,89.5,26.069664210852633
2018,proprios,arredondado,68.0,31.27643754130866
2018,proprios,teto,63.25,33.695926810459035
2018,pessoas_fisicas,piso,89.5,-1.2353821901815776
2018,pessoas_fisicas,arredondado,68.0,-3.702081956378056
2018,pessoas_fisicas,teto,63.25,-2.5938872496138576
2018,privado_proprio,piso,89.5,16.021053603582804
2018,privado_proprio,arredondado,68.0,17.913086582947784
2018,privado_proprio,teto,63.25,20.624545476516374
2022,proprios,piso,42.86923076923077,8.05577771821645
2022,proprios,arredondado,37.80769230769231,10.154051493767174
2022,proprios,teto,33.47435897435898,10.818731291899446
2022,pessoas_fisicas,piso,42.86923076923077,19.80369544794847
2022,pessoas_fisicas,arredondado,37.80769230769231,21.136380384793203
2022,pessoas_fisicas,teto,33.47435897435898,19.914756037455266
2022,privado_proprio,piso,42.86923076923077,20.978487220921675
2022,privado_proprio,arredondado,37.80769230769231,22.234613273895814
2022,privado_proprio,teto,33.47435897435898,21.14394857063847
