Ano,Desfecho,Dimensão,N listas,Categorias,R2,p,Estado,p BH
2018,amplitude,magnitude,859,3,0.10181033771702264,4.4201950864339255e-27,OK,1.5912702311162132e-26
2018,amplitude,sg_partido_norm,859,35,0.1379632601558759,0.0,OK,0.0
2018,amplitude,sg_uf,859,27,0.14423883882925848,1.2649824881814735e-31,OK,5.692421196816631e-31
2018,ganho_cobertura,magnitude,302,3,0.0762812007514122,6.165364779576057e-06,OK,1.1097656603236902e-05
2018,ganho_cobertura,sg_partido_norm,295,25,0.10392951768600578,0.00015028901710016567,OK,0.000208092485215614
2018,ganho_cobertura,sg_uf,302,27,0.18136391942803143,5.149687257562483e-05,OK,7.724530886343725e-05
2018,precisao,magnitude,786,3,0.0115239070959815,0.011446962475652038,OK,0.014717523182981192
2018,precisao,sg_partido_norm,786,35,0.26348318542298166,,Covariância singular: teste global indisponível,
2018,precisao,sg_uf,786,27,0.04066983468887442,0.13847689059886445,OK,0.16617226871863733
2022,amplitude,magnitude,711,3,0.08932576651725288,1.4343212404006185e-16,OK,3.6882546181730187e-16
2022,amplitude,sg_partido_norm,711,32,0.3039009071983946,0.0,OK,0.0
2022,amplitude,sg_uf,711,27,0.11992597091328339,3.614770245822414e-12,OK,7.229540491644828e-12
2022,ganho_cobertura,magnitude,207,3,0.2608587156015031,1.0968159415336623e-14,OK,2.4678358684507404e-14
2022,ganho_cobertura,sg_partido_norm,202,20,0.196621329340815,3.8571652148005305e-17,OK,1.1571495644401593e-16
2022,ganho_cobertura,sg_uf,207,27,0.3926239204178684,1.806565057964942e-43,OK,1.0839390347789653e-42
2022,precisao,magnitude,648,3,0.0299826613034887,3.2015520962084416e-05,OK,5.2389034301592677e-05
2022,precisao,sg_partido_norm,648,31,0.34701540085030813,,Covariância singular: teste global indisponível,
2022,precisao,sg_uf,648,27,0.04603787079594712,0.34303608054685486,OK,0.38591559061521175
