Ano,Fonte,Corte_pct,N_fora_alto,Parcela_fora_pct,N_fora_alto_total80
2018,Não partidários (amplo),10,27.5,40.44117647058823,2.0
2018,Não partidários (amplo),25,11.0,16.176470588235293,2.0
2018,Não partidários (amplo),50,6.0,8.823529411764707,2.0
2018,Próprios + pessoas físicas,10,25.5,37.5,2.0
2018,Próprios + pessoas físicas,25,10.0,14.705882352941176,2.0
2018,Próprios + pessoas físicas,50,5.0,7.352941176470588,2.0
2022,Não partidários (amplo),10,22.884615384615387,60.52899287894202,0.0
2022,Não partidários (amplo),25,9.884615384615385,26.14445574771109,0.0
2022,Não partidários (amplo),50,3.0,7.934893184130214,0.0
2022,Próprios + pessoas físicas,10,21.884615384615387,57.88402848423195,0.0
2022,Próprios + pessoas físicas,25,9.5,25.127161749745678,0.0
2022,Próprios + pessoas físicas,50,3.0,7.934893184130214,0.0
