Teste,Ano,Fonte,Variante,N,N_ponderado,Listas,Listas_variacao_X,Beta,EP,IC_inf,IC_sup,p_bilateral,Controles_retidos
T1,2018,Não partidários (amplo),Top piso,5722,5568.0,712,56,12.812195783751863,2.59856117348491,7.710424773471423,17.9139667940323,1.0217609568229348e-06,vitoria_previa; qe_previo; lag; lag2; hist_ausente; mulher; negra
T1,2018,Não partidários (amplo),Top arredondado,5414,5312.0,652,40,13.521543000974631,3.1721686979550308,7.292625928737254,19.750460073212007,2.320011114775607e-05,vitoria_previa; qe_previo; lag; lag2; hist_ausente; mulher; negra
T1,2018,Não partidários (amplo),Top teto,5119,5011.0,574,35,14.124558363089548,3.460846506940294,7.327065841073647,20.92205088510545,5.115657505570465e-05,vitoria_previa; qe_previo; lag; lag2; hist_ausente; mulher; negra
T1,2018,Não partidários (amplo),Sem empates no corte,5188,5188.0,639,39,13.628769058633289,3.2430086846564574,7.260507857746192,19.997030259520386,3.016448525973873e-05,vitoria_previa; qe_previo; lag; lag2; hist_ausente; mulher; negra
T2,2018,Não partidários (amplo),Sem empates no corte,7404,7404.0,859,679,0.11058105173702343,0.03574460420963987,0.04042394793685228,0.18073815553719458,0.0020412097922740003,vitoria_previa; qe_previo; lag; lag2; hist_ausente; mulher; negra
T1,2018,Não partidários (amplo),Sem listas zeradas,5179,5077.0,579,38,14.006168831508802,3.300190901716005,7.524340704133812,20.48799695888379,2.556937293661424e-05,vitoria_previa; qe_previo; lag; lag2; hist_ausente; mulher; negra
T2,2018,Não partidários (amplo),Sem listas zeradas,7395,7395.0,786,642,0.11100107224914404,0.03560558793136661,0.041107638840024455,0.18089450565826365,0.0018903186168167522,vitoria_previa; qe_previo; lag; lag2; hist_ausente; mulher; negra
T1,2018,Não partidários (amplo),Receita total ≤ 100% teto,5414,5312.0,652,40,13.521543000974631,3.1721686979550308,7.292625928737254,19.750460073212007,2.320011114775607e-05,vitoria_previa; qe_previo; lag; lag2; hist_ausente; mulher; negra
T2,2018,Não partidários (amplo),Receita total ≤ 100% teto,7626,7626.0,859,682,0.10916326834754043,0.03587239690195518,0.038755341650378,0.17957119504470287,0.0024129239929693565,vitoria_previa; qe_previo; lag; lag2; hist_ausente; mulher; negra
T1,2018,Não partidários (amplo),Histórico observado,5412,5310.0,652,40,13.521524298141975,3.171914889838765,7.293105607251561,19.749942989032387,2.3166273555297248e-05,vitoria_previa; qe_previo; lag; lag2; mulher; negra
T2,2018,Não partidários (amplo),Histórico observado,7626,7626.0,859,682,0.11244658513239791,0.035782266737114876,0.04221555985770312,0.1826776104070927,0.0017325116142058105,vitoria_previa; qe_previo; lag; lag2; mulher; negra
T1,2018,Próprios + pessoas físicas,Top piso,5722,5568.0,712,56,11.915790066705169,2.5426295111766035,6.923830030371759,16.90775010303858,3.3326272699262193e-06,vitoria_previa; qe_previo; lag; lag2; hist_ausente; mulher; negra
T1,2018,Próprios + pessoas físicas,Top arredondado,5414,5312.0,652,40,12.980526014861749,3.138609232376164,6.817506802411629,19.14354522731187,4.0014299792684824e-05,vitoria_previa; qe_previo; lag; lag2; hist_ausente; mulher; negra
T1,2018,Próprios + pessoas físicas,Top teto,5119,5011.0,574,35,13.550707390474875,3.420308779771802,6.832835532575325,20.268579248374422,8.375669823275597e-05,vitoria_previa; qe_previo; lag; lag2; hist_ausente; mulher; negra
T1,2018,Próprios + pessoas físicas,Sem empates no corte,5188,5188.0,639,39,13.085166279087755,3.2084336729750467,6.7847996559896995,19.38553290218581,5.1093190281581785e-05,vitoria_previa; qe_previo; lag; lag2; hist_ausente; mulher; negra
T2,2018,Próprios + pessoas físicas,Sem empates no corte,7404,7404.0,859,665,0.1191621077488628,0.03793047432631135,0.04471472517627609,0.1936094903214495,0.001737958843238569,vitoria_previa; qe_previo; lag; lag2; hist_ausente; mulher; negra
T1,2018,Próprios + pessoas físicas,Sem listas zeradas,5179,5077.0,579,38,13.46711322096714,3.264773902060684,7.0548467981692164,19.879379643765063,4.2522980039474105e-05,vitoria_previa; qe_previo; lag; lag2; hist_ausente; mulher; negra
T2,2018,Próprios + pessoas físicas,Sem listas zeradas,7395,7395.0,786,632,0.11965698516285217,0.03777299518517148,0.04550895174947872,0.19380501857622562,0.001595472674855388,vitoria_previa; qe_previo; lag; lag2; hist_ausente; mulher; negra
T1,2018,Próprios + pessoas físicas,Receita total ≤ 100% teto,5414,5312.0,652,40,12.980526014861749,3.138609232376164,6.817506802411629,19.14354522731187,4.0014299792684824e-05,vitoria_previa; qe_previo; lag; lag2; hist_ausente; mulher; negra
T2,2018,Próprios + pessoas físicas,Receita total ≤ 100% teto,7626,7626.0,859,668,0.11796876162013704,0.03827628635109813,0.042842642475842255,0.19309488076443182,0.0021216116451877208,vitoria_previa; qe_previo; lag; lag2; hist_ausente; mulher; negra
T1,2018,Próprios + pessoas físicas,Histórico observado,5412,5310.0,652,40,12.980513842423045,3.1383583503050745,6.817987265694581,19.14304041915151,3.995886079341865e-05,vitoria_previa; qe_previo; lag; lag2; mulher; negra
T2,2018,Próprios + pessoas físicas,Histórico observado,7626,7626.0,859,668,0.12091289421660441,0.037952427597478126,0.04642242324066129,0.19540336519254753,0.0014951671541187724,vitoria_previa; qe_previo; lag; lag2; mulher; negra
T1,2022,Não partidários (amplo),Top piso,6386,6154.0,675,27,12.14196380277781,2.813600743700855,6.61748717022013,17.66644043533549,1.8315387839954922e-05,vitoria_previa; qe_previo; lag; lag2; hist_ausente; mulher; negra; demografia_ausente
T1,2022,Não partidários (amplo),Top arredondado,6086,5851.0,611,26,12.795531511848232,2.970686818614822,6.961516861282677,18.62954616241379,1.926054810500048e-05,vitoria_previa; qe_previo; lag; lag2; hist_ausente; mulher; negra; demografia_ausente
T1,2022,Não partidários (amplo),Top teto,5798,5557.0,571,21,12.393871267197724,3.0417771565846192,6.419411614947841,18.368330919447608,5.2643476876211924e-05,vitoria_previa; qe_previo; lag; lag2; hist_ausente; mulher; negra; demografia_ausente
T1,2022,Não partidários (amplo),Sem empates no corte,5609,5609.0,596,24,13.760827283736626,3.222304972903335,7.43235249669659,20.08930207077666,2.2700564538491542e-05,vitoria_previa; qe_previo; lag; lag2; hist_ausente; mulher; negra; demografia_ausente
T2,2022,Não partidários (amplo),Sem empates no corte,9198,9198.0,711,626,0.2174109630996426,0.08572539846704344,0.0491053609241949,0.38571656527509035,0.011421654734081854,vitoria_previa; qe_previo; lag; lag2; hist_ausente; mulher; negra; demografia_ausente
T1,2022,Não partidários (amplo),Sem listas zeradas,5756,5521.0,548,26,12.749933050168568,2.9568053475013247,6.941849822941865,18.55801627739527,1.9188463713102642e-05,vitoria_previa; qe_previo; lag; lag2; mulher; negra; demografia_ausente
T2,2022,Não partidários (amplo),Sem listas zeradas,9345,9345.0,648,588,0.19195194072164384,0.08345113347374716,0.02808418170180238,0.3558196997414853,0.021755834046836526,vitoria_previa; qe_previo; lag; lag2; hist_ausente; mulher; negra; demografia_ausente
T1,2022,Não partidários (amplo),Receita total ≤ 100% teto,6086,5851.0,611,26,12.795531511848232,2.970686818614822,6.961516861282677,18.62954616241379,1.926054810500048e-05,vitoria_previa; qe_previo; lag; lag2; hist_ausente; mulher; negra; demografia_ausente
T2,2022,Não partidários (amplo),Receita total ≤ 100% teto,9650,9650.0,711,632,0.2075846889517256,0.0852878479665544,0.040138134407246756,0.3750312434962044,0.015181431970462853,vitoria_previa; qe_previo; lag; lag2; hist_ausente; mulher; negra; demografia_ausente
T1,2022,Não partidários (amplo),Histórico observado,6085,5850.0,611,26,12.795531511848237,2.97044270942187,6.961996257696701,18.629066765999774,1.9230672346447896e-05,vitoria_previa; qe_previo; lag; lag2; mulher; negra; demografia_ausente
T2,2022,Não partidários (amplo),Histórico observado,9672,9672.0,711,632,0.19374540696394624,0.08365062507016166,0.02951322984319843,0.35797758408469404,0.020835296743326334,vitoria_previa; qe_previo; lag; lag2; mulher; negra; demografia_ausente
T1,2022,Próprios + pessoas físicas,Top piso,6386,6154.0,675,27,11.607789882618032,2.793788239834689,6.12221490122253,17.093364864013534,3.67386428867485e-05,vitoria_previa; qe_previo; lag; lag2; hist_ausente; mulher; negra; demografia_ausente
T1,2022,Próprios + pessoas físicas,Top arredondado,6086,5851.0,611,26,12.257772691656196,2.9542728542021504,6.455992778275774,18.059552605036618,3.8110261802844865e-05,vitoria_previa; qe_previo; lag; lag2; hist_ausente; mulher; negra; demografia_ausente
T1,2022,Próprios + pessoas físicas,Top teto,5798,5557.0,571,21,11.718088957549863,3.044131775394033,5.739004517109031,17.697173397990696,0.00013180688456669828,vitoria_previa; qe_previo; lag; lag2; hist_ausente; mulher; negra; demografia_ausente
T1,2022,Próprios + pessoas físicas,Sem empates no corte,5609,5609.0,596,24,13.158606077289555,3.1942280959808387,6.885273124804909,19.4319390297742,4.335127710235561e-05,vitoria_previa; qe_previo; lag; lag2; hist_ausente; mulher; negra; demografia_ausente
T2,2022,Próprios + pessoas físicas,Sem empates no corte,9198,9198.0,711,608,0.20336288817525824,0.08670490909452237,0.033134202188675244,0.37359157416184124,0.019277955677823165,vitoria_previa; qe_previo; lag; lag2; hist_ausente; mulher; negra; demografia_ausente
T1,2022,Próprios + pessoas físicas,Sem listas zeradas,5756,5521.0,548,26,12.21399464882661,2.940556700450231,6.437828806517495,17.990160491135725,3.796112497760179e-05,vitoria_previa; qe_previo; lag; lag2; mulher; negra; demografia_ausente
T2,2022,Próprios + pessoas físicas,Sem listas zeradas,9345,9345.0,648,575,0.1833523478053983,0.08492025635329008,0.01659976429037835,0.35010493132041826,0.03120836105844261,vitoria_previa; qe_previo; lag; lag2; hist_ausente; mulher; negra; demografia_ausente
