Ano,UF,Partido,Magnitude,Regra,C,Financiados,E,Recursos R$,NECr,K,Recursos no núcleo R$,Massa de recursos %,Amplitude %,Excesso de massa pp,Fronteira válida,Distância relativa no corte %,Empate na fronteira,Candidatos com peso fracionário,Posições fracionárias,Acertos,Acertos mínimos por desempate,Acertos máximos por desempate,Esperado aleatório,Esperado entre financiados,K sorteio financiados,Eleitos financiados,Jaccard com principal,Composição idêntica à principal,Reescala x7 preserva implementação
2018,AC,AVANTE,8–12,Arredondado,9,6,0,25700.050000000003,5.786680777866181,6,25700.050000000003,100.0,66.66666666666666,33.333333333333336,True,100.0,False,0,0.0,0.0,0.0,0.0,0.0,0.0,6,0,1.0,True,True
2018,AC,AVANTE,8–12,Piso,9,6,0,25700.050000000003,5.786680777866181,5,23255.65,90.48873445771505,55.55555555555556,34.9331789021595,True,47.44502948745789,False,0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0.8333333333333334,False,True
2018,AC,AVANTE,8–12,Teto,9,6,0,25700.050000000003,5.786680777866181,6,25700.050000000003,100.0,66.66666666666666,33.333333333333336,True,100.0,False,0,0.0,0.0,0.0,0.0,0.0,0.0,6,0,1.0,True,True
2018,AC,AVANTE,8–12,Uma posição a menos,9,6,0,25700.050000000003,5.786680777866181,5,23255.65,90.48873445771505,55.55555555555556,34.9331789021595,True,47.44502948745789,False,0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0.8333333333333334,False,True
2018,AC,AVANTE,8–12,Uma posição a mais,9,6,0,25700.050000000003,5.786680777866181,7,25700.050000000003,100.0,77.77777777777779,22.22222222222222,True,,True,3,1.0,0.0,0.0,0.0,0.0,0.0,6,0,0.8571428571428572,False,True
2018,AC,AVANTE,8–12,Acumulado ≥ 80%,9,6,0,25700.050000000003,5.786680777866181,5,23255.65,90.48873445771505,55.55555555555556,34.9331789021595,True,47.44502948745789,False,0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0.8333333333333334,False,True
2018,AC,AVANTE,8–12,Receitas arredondadas a centavos,9,6,0,25700.050000000003,5.786680777866181,6,25700.050000000003,100.0,66.66666666666666,33.333333333333336,True,100.0,False,0,0.0,0.0,0.0,0.0,0.0,0.0,6,0,1.0,True,True
2018,AC,DC,8–12,Arredondado,3,3,0,40800.0,2.631259484066768,3,40800.0,100.0,100.0,0.0,False,,False,0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,1.0,True,True
2018,AC,DC,8–12,Piso,3,3,0,40800.0,2.631259484066768,2,30800.0,75.49019607843137,66.66666666666666,8.823529411764708,True,0.0,True,2,1.0,0.0,0.0,0.0,0.0,0.0,2,0,0.6666666666666666,False,True
2018,AC,DC,8–12,Teto,3,3,0,40800.0,2.631259484066768,3,40800.0,100.0,100.0,0.0,False,,False,0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,1.0,True,True
