Ano,UF,Partido,C,NECr,K,Massa de recursos %,Amplitude %,Distância relativa no corte %,Fronteira válida,Empate na fronteira,Candidatos com peso fracionário
2018,AC,AVANTE,9,5.786680777866181,6,100.0,66.66666666666666,100.0,True,False,0
2018,AC,DC,3,2.631259484066768,3,100.0,100.0,,False,False,0
2018,AC,DEM,1,1.0,1,100.0,100.0,,False,False,0
2018,AC,MDB,3,2.035560494846384,2,98.50460646819214,66.66666666666666,96.58807385229541,True,False,0
2018,AC,PATRI,1,,0,,0.0,,False,False,0
2018,AC,PC DO B,1,1.0,1,100.0,100.0,,False,False,0
2018,AC,PDT,16,6.764354286202948,7,87.15647675584358,43.75,23.137619994726585,True,False,0
2018,AC,PHS,2,1.6451850694018157,2,100.0,100.0,,False,False,0
2018,AC,PMB,1,1.0,1,100.0,100.0,,False,False,0
2018,AC,PMN,1,1.0,1,100.0,100.0,,False,False,0
2018,AC,PODE,2,1.0,1,100.0,50.0,100.0,True,False,0
2018,AC,PP,3,2.0665566116075627,2,92.43593234697892,66.66666666666666,75.0,True,False,0
2018,AC,PPL,1,1.0,1,100.0,100.0,,False,False,0
2018,AC,PPS,1,1.0,1,100.0,100.0,,False,False,0
2018,AC,PR,1,1.0,1,100.0,100.0,,False,False,0
2018,AC,PROS,2,1.0,1,100.0,50.0,100.0,True,False,0
2018,AC,PRP,3,2.2484531859599635,2,90.47958859163998,66.66666666666666,71.79946696075729,True,False,0
2018,AC,PRTB,2,1.0,1,100.0,50.0,100.0,True,False,0
2018,AC,PSB,1,1.0,1,100.0,100.0,,False,False,0
2018,AC,PSC,1,1.0,1,100.0,100.0,,False,False,0
2018,AC,PSD,1,1.0,1,100.0,100.0,,False,False,0
2018,AC,PSDB,1,1.0,1,100.0,100.0,,False,False,0
2018,AC,PSL,8,4.71203274162421,5,100.0,62.5,100.0,True,False,0
2018,AC,PSOL,4,3.48982097519243,3,84.24794572299007,75.0,18.8787206955058,True,False,0
2018,AC,PT,5,3.1696750843216726,3,97.19222462203024,60.0,92.44444444444444,True,False,0
2018,AC,PTB,1,1.0,1,100.0,100.0,,False,False,0
2018,AC,PTC,1,1.0,1,100.0,100.0,,False,False,0
2018,AC,PV,2,1.3543842214897526,1,84.52121951336233,50.0,81.68651543865789,True,False,0
2018,AC,REDE,2,1.0084209033413258,1,99.58071278825996,50.0,99.57894736842105,True,False,0
2018,AC,SOLIDARIEDADE,1,1.0,1,100.0,100.0,,False,False,0
2018,AL,AVANTE,1,1.0,1,100.0,100.0,,False,False,0
2018,AL,DC,2,1.888136370690797,2,100.0,100.0,,False,False,0
2018,AL,DEM,2,,0,,0.0,,False,False,0
2018,AL,MDB,3,2.0,2,100.0,66.66666666666666,100.0,True,False,0
2018,AL,NOVO,3,2.1867410485229746,2,81.04072804045896,66.66666666666666,0.0,True,True,2
2018,AL,PATRI,3,,0,,0.0,,False,False,0
2018,AL,PC DO B,4,2.345359374817703,2,86.49266546409775,50.0,60.75840978593272,True,False,0
2018,AL,PDT,2,1.1655172413793105,1,92.3076923076923,50.0,91.66666666666666,True,False,0
2018,AL,PHS,6,3.9909501909003287,4,91.10331933796438,66.66666666666666,28.270900520962538,True,False,0
2018,AL,PMN,1,1.0,1,100.0,100.0,,False,False,0
2018,AL,PODE,1,,0,,0.0,,False,False,0
2018,AL,PP,5,2.2365872460026823,2,87.39991028736125,40.0,66.66666666666666,True,False,0
2018,AL,PPL,2,2.0,2,100.0,100.0,,False,False,0
