Ano,UF,Partido,Magnitude,Perturbação máxima %,N cenários,K original,C,Fronteira original válida,Jaccard médio,Jaccard P10,Cenários com K alterado %,Cenários com composição alterada %
2018,AC,AVANTE,8–12,5,200,6,9,True,1.0,1.0,0.0,0.0
2018,AC,AVANTE,8–12,10,200,6,9,True,1.0,1.0,0.0,0.0
2018,AC,DC,8–12,5,200,3,3,False,1.0,1.0,0.0,0.0
2018,AC,DC,8–12,10,200,3,3,False,0.9933333333333334,1.0,2.0,2.0
2018,AC,DEM,8–12,5,200,1,1,False,1.0,1.0,0.0,0.0
2018,AC,DEM,8–12,10,200,1,1,False,1.0,1.0,0.0,0.0
2018,AC,MDB,8–12,5,200,2,3,True,1.0,1.0,0.0,0.0
2018,AC,MDB,8–12,10,200,2,3,True,1.0,1.0,0.0,0.0
2018,AC,PC DO B,8–12,5,200,1,1,False,1.0,1.0,0.0,0.0
2018,AC,PC DO B,8–12,10,200,1,1,False,1.0,1.0,0.0,0.0
2018,AC,PDT,8–12,5,200,7,16,True,1.0,1.0,0.0,0.0
2018,AC,PDT,8–12,10,200,7,16,True,0.9978571428571429,1.0,1.5,1.5
2018,AC,PHS,8–12,5,200,2,2,False,1.0,1.0,0.0,0.0
2018,AC,PHS,8–12,10,200,2,2,False,1.0,1.0,0.0,0.0
2018,AC,PMB,8–12,5,200,1,1,False,1.0,1.0,0.0,0.0
2018,AC,PMB,8–12,10,200,1,1,False,1.0,1.0,0.0,0.0
2018,AC,PMN,8–12,5,200,1,1,False,1.0,1.0,0.0,0.0
2018,AC,PMN,8–12,10,200,1,1,False,1.0,1.0,0.0,0.0
2018,AC,PODE,8–12,5,200,1,2,True,1.0,1.0,0.0,0.0
2018,AC,PODE,8–12,10,200,1,2,True,1.0,1.0,0.0,0.0
2018,AC,PP,8–12,5,200,2,3,True,1.0,1.0,0.0,0.0
2018,AC,PP,8–12,10,200,2,3,True,1.0,1.0,0.0,0.0
2018,AC,PPL,8–12,5,200,1,1,False,1.0,1.0,0.0,0.0
2018,AC,PPL,8–12,10,200,1,1,False,1.0,1.0,0.0,0.0
2018,AC,PPS,8–12,5,200,1,1,False,1.0,1.0,0.0,0.0
2018,AC,PPS,8–12,10,200,1,1,False,1.0,1.0,0.0,0.0
2018,AC,PR,8–12,5,200,1,1,False,1.0,1.0,0.0,0.0
2018,AC,PR,8–12,10,200,1,1,False,1.0,1.0,0.0,0.0
2018,AC,PROS,8–12,5,200,1,2,True,1.0,1.0,0.0,0.0
2018,AC,PROS,8–12,10,200,1,2,True,1.0,1.0,0.0,0.0
2018,AC,PRP,8–12,5,200,2,3,True,1.0,1.0,0.0,0.0
2018,AC,PRP,8–12,10,200,2,3,True,1.0,1.0,0.0,0.0
2018,AC,PRTB,8–12,5,200,1,2,True,1.0,1.0,0.0,0.0
2018,AC,PRTB,8–12,10,200,1,2,True,1.0,1.0,0.0,0.0
2018,AC,PSB,8–12,5,200,1,1,False,1.0,1.0,0.0,0.0
2018,AC,PSB,8–12,10,200,1,1,False,1.0,1.0,0.0,0.0
2018,AC,PSC,8–12,5,200,1,1,False,1.0,1.0,0.0,0.0
