ano_eleicao,sg_uf,sg_partido_norm,limiar,C,k,proporcao,lista_sem_recursos,massa_financeira,empate_corte
2018,AC,AVANTE,50,9,3,0.3333333333333333,False,0.5429324067462903,True
2018,AC,AVANTE,60,9,4,0.4444444444444444,False,0.7239098756617206,True
2018,AC,AVANTE,70,9,4,0.4444444444444444,False,0.7239098756617206,True
2018,AC,AVANTE,80,9,5,0.5555555555555556,False,0.9048873445771506,False
2018,AC,AVANTE,90,9,5,0.5555555555555556,False,0.9048873445771506,False
2018,AC,AVANTE,95,9,6,0.6666666666666666,False,1.0,False
2018,AC,DC,50,3,1,0.3333333333333333,False,0.5098039215686274,False
2018,AC,DC,60,3,2,0.6666666666666666,False,0.7549019607843137,True
2018,AC,DC,70,3,2,0.6666666666666666,False,0.7549019607843137,True
2018,AC,DC,80,3,3,1.0,False,1.0,False
2018,AC,DC,90,3,3,1.0,False,1.0,False
2018,AC,DC,95,3,3,1.0,False,1.0,False
2018,AC,DEM,50,1,1,1.0,False,1.0,False
2018,AC,DEM,60,1,1,1.0,False,1.0,False
2018,AC,DEM,70,1,1,1.0,False,1.0,False
2018,AC,DEM,80,1,1,1.0,False,1.0,False
2018,AC,DEM,90,1,1,1.0,False,1.0,False
2018,AC,DEM,95,1,1,1.0,False,1.0,False
2018,AC,MDB,50,3,1,0.3333333333333333,False,0.546761803220427,False
2018,AC,MDB,60,3,2,0.6666666666666666,False,0.9850460646819214,False
2018,AC,MDB,70,3,2,0.6666666666666666,False,0.9850460646819214,False
2018,AC,MDB,80,3,2,0.6666666666666666,False,0.9850460646819214,False
2018,AC,MDB,90,3,2,0.6666666666666666,False,0.9850460646819214,False
2018,AC,MDB,95,3,2,0.6666666666666666,False,0.9850460646819214,False
2018,AC,PATRI,50,1,0,0.0,True,,False
2018,AC,PATRI,60,1,0,0.0,True,,False
2018,AC,PATRI,70,1,0,0.0,True,,False
2018,AC,PATRI,80,1,0,0.0,True,,False
2018,AC,PATRI,90,1,0,0.0,True,,False
2018,AC,PATRI,95,1,0,0.0,True,,False
2018,AC,PC DO B,50,1,1,1.0,False,1.0,False
2018,AC,PC DO B,60,1,1,1.0,False,1.0,False
2018,AC,PC DO B,70,1,1,1.0,False,1.0,False
2018,AC,PC DO B,80,1,1,1.0,False,1.0,False
2018,AC,PC DO B,90,1,1,1.0,False,1.0,False
2018,AC,PC DO B,95,1,1,1.0,False,1.0,False
2018,AC,PDT,50,16,3,0.1875,False,0.6203759409693157,False
2018,AC,PDT,60,16,3,0.1875,False,0.6203759409693157,False
2018,AC,PDT,70,16,5,0.3125,False,0.7703141555633196,False
2018,AC,PDT,80,16,6,0.375,False,0.8347700820735208,False
2018,AC,PDT,90,16,9,0.5625,False,0.9271011659317934,False
2018,AC,PDT,95,16,11,0.6875,False,0.963544075246484,False
2018,AC,PHS,50,2,1,0.5,False,0.7322007231335639,False
2018,AC,PHS,60,2,1,0.5,False,0.7322007231335639,False
2018,AC,PHS,70,2,1,0.5,False,0.7322007231335639,False
2018,AC,PHS,80,2,2,1.0,False,1.0,False
2018,AC,PHS,90,2,2,1.0,False,1.0,False
2018,AC,PHS,95,2,2,1.0,False,1.0,False
2018,AC,PMB,50,1,1,1.0,False,1.0,False
