ano_eleicao,limiar,listas,candidatos,posicoes,k_medio,k_mediano,k_q1,k_q3,sem_recursos,empates,proporcao_nacional
2018,50,859,7630,1305,1.519208381839348,1.0,1.0,2.0,73,73,0.1710353866317169
2018,60,859,7630,1546,1.79976717112922,1.0,1.0,2.0,73,73,0.20262123197903015
2018,70,859,7630,1892,2.2025611175785795,1.0,1.0,3.0,73,78,0.24796854521625164
2018,80,859,7630,2305,2.6833527357392315,2.0,1.0,3.0,73,67,0.3020969855832241
2018,90,859,7630,3011,3.5052386495925494,2.0,1.0,4.0,73,58,0.3946264744429882
2018,95,859,7630,3672,4.2747380675203726,2.0,1.0,5.0,73,72,0.48125819134993447
2022,50,711,9675,1778,2.50070323488045,2.0,1.0,3.0,63,97,0.18377260981912144
2022,60,711,9675,2276,3.2011251758087202,3.0,1.0,4.0,63,93,0.2352454780361757
2022,70,711,9675,2897,4.074542897327707,3.0,2.0,5.0,63,106,0.29943152454780364
2022,80,711,9675,3759,5.286919831223629,4.0,2.0,7.0,63,108,0.38852713178294573
2022,90,711,9675,5131,7.2165963431786215,6.0,2.0,9.0,63,108,0.5303359173126615
2022,95,711,9675,6242,8.779184247538678,7.0,3.0,11.0,63,105,0.6451679586563307
