ano,uf,partido,nr,nome,n_pref_rrd,n_pref_reproduzido,municipios_distintos,anos,numeros,vitorias_com_mesmo_nome,candidaturas_reais_prefeito,vitorias_reais_prefeito
2018,BA,PATRI,5121,JOSE CARLOS GUILHERME SANTOS,9.0,9,9,2004,31,0,2,0
2018,ES,PDT,1200,LEONARDO DEPTULSKI,6.0,6,6,2012,13,1,2,2
2018,MA,SOLIDARIEDADE,7777,JOSE SIMPLICIO ALVES DE ARAUJO,6.0,6,6,2012,23,0,1,0
2018,PA,PTC,3621,ELIEL NINA DE AZEVEDO,5.0,5,5,2000,22,0,3,0
2018,PB,PMN,3333,LIDIA DE MOURA SILVA CRONEMBERGER,6.0,6,6,2004,40,0,1,0
2018,PR,PV,4311,BELARMINO ANTONIO BACCIN,10.0,10,10,2000,13,0,2,0
2018,PR,PV,4399,ADALBERTO CARLOS RIGOBELLO,7.0,7,7,2016,43,0,1,0
2018,SP,PSB,4050,RICARDO AUGUSTO MACHADO DA SILVA,13.0,13,13,2016,12,0,1,0
2022,AC,PP,1111,GEHLEN DINIZ ANDRADE,5.0,5,5,2020,11,0,1,0
2022,MA,PODE,1910,EDIMAR DE AGUIAR FRANCO,25.0,25,25,2020,10,0,1,0
2022,MG,AVANTE,7022,ROBERTO WAGNER DE OLIVEIRA JUNIOR,28.0,28,28,2012,23,0,3,0
2022,MG,AVANTE,7025,RUY ADRIANO BORGES MUNIZ,46.0,46,46,2016,40,0,4,1
2022,MG,REPUBLICANOS,1028,LUIZ CARLOS PEREIRA,41.0,41,41,2020,10,0,5,0
2022,PA,PATRIOTA,5120,ELANILDO RAIMUNDO REGO DOS SANTOS,5.0,5,5,2004,12,0,5,0
2022,PE,PL,2255,ANTÔNIO DE LEMOS VASCONCELOS NETO,9.0,9,9,2020,25,0,3,0
2022,PR,PROS,9051,SIGLEI CRISTIANE NARCIZO,7.0,7,7,2020,90,0,1,0
2022,RJ,PSD,5512,FELIPE DOS SANTOS PEIXOTO,6.0,6,6,2016,40,0,2,0
2022,RJ,REPUBLICANOS,1055,JULIO DA SILVA GONÇALVES OLIVEIRA,5.0,5,5,2020,10,0,1,0
2022,SP,PSD,5512,RICARDO AUGUSTO MACHADO DA SILVA,13.0,13,13,2016,12,0,1,0
