ano,variante,G,cobertura,precisao,lift,lift_rec,iguais_base
2018,base (rrd_df_novo),886,0.809,0.3092,1.873,1.686,7630
2018,cod | keepfirst_raw,886,0.809,0.3092,1.873,1.686,7630
2018,cod_semQEpref | keepfirst_raw,882,0.8115,0.3088,1.876,1.688,7626
2018,txt | keepfirst_raw,872,0.8128,0.3058,1.891,1.696,7616
2018,cod | keepfirst_zfill,945,0.8114,0.3308,1.894,1.703,7571
2018,cod_semQEpref | keepfirst_zfill,941,0.8138,0.3303,1.897,1.705,7567
2018,txt | keepfirst_zfill,931,0.815,0.3273,1.911,1.713,7557
2018,cod | chave_raw,1018,0.754,0.3311,1.817,1.637,7456
2018,cod_semQEpref | chave_raw,916,0.8065,0.3187,1.867,1.678,7558
2018,txt | chave_raw,908,0.807,0.3161,1.877,1.684,7552
2018,cod | chave_zfill,1075,0.7559,0.3505,1.83,1.648,7401
2018,cod_semQEpref | chave_zfill,975,0.8069,0.3394,1.886,1.694,7501
2018,txt | chave_zfill,967,0.8074,0.3368,1.896,1.7,7495
2022,base (rrd_df_novo),1287,0.8268,0.2783,1.89,1.851,9675
2022,cod | keepfirst_raw,1287,0.8268,0.2783,1.89,1.851,9675
2022,cod_semQEpref | keepfirst_raw,1276,0.8285,0.2764,1.9,1.86,9664
2022,txt | keepfirst_raw,1247,0.8329,0.2716,1.908,1.867,9635
2022,cod | keepfirst_zfill,1302,0.8204,0.2793,1.879,1.844,9660
2022,cod_semQEpref | keepfirst_zfill,1291,0.8219,0.2775,1.89,1.853,9649
2022,txt | keepfirst_zfill,1261,0.8268,0.2727,1.898,1.861,9621
2022,cod | chave_raw,1555,0.7648,0.311,1.769,1.737,9347
2022,cod_semQEpref | chave_raw,1364,0.81,0.2889,1.849,1.815,9522
2022,txt | chave_raw,1339,0.8113,0.2841,1.861,1.827,9519
2022,cod | chave_zfill,1568,0.7617,0.3123,1.762,1.732,9334
2022,cod_semQEpref | chave_zfill,1376,0.8058,0.29,1.841,1.81,9510
2022,txt | chave_zfill,1351,0.807,0.2851,1.852,1.821,9507
