ano,uf,partido,C,recebedores,R_l,NECr,k,soma_w,E,H_eleitos,esperado_eleitos,G_comp,H_comp,empate_fronteira,q,n_no_bloco,E_maior_k,k_igual_C,k_maior_recebedores
2018,AC,AVANTE,9,6,25700.050000000003,5.78668077786618,6,6.0,0,0.0,0.0,0,0.0,False,2444.4,1,False,False,False
2018,AC,DC,3,3,40800.0,2.6312594840667685,3,3.0,0,0.0,0.0,0,0.0,True,10000.0,2,False,True,False
2018,AC,DEM,1,1,825300.0,1.0,1,1.0,1,1.0,1.0,1,1.0,False,825300.0,1,False,True,False
2018,AC,MDB,3,3,3657900.0,2.0355604948463846,2,2.0,2,2.0,1.3333333333333333,2,2.0,False,1603200.0,1,False,False,False
2018,AC,PATRI,1,0,0.0,,0,0.0,0,0.0,0.0,0,0.0,False,,0,False,False,False
2018,AC,PC DO B,1,1,899232.95,1.0,1,1.0,1,1.0,1.0,1,1.0,False,899232.95,1,False,True,False
2018,AC,PDT,16,14,250471.77,6.764354286202949,7,7.0,1,1.0,0.4375,4,2.0,False,9216.03,1,False,False,False
2018,AC,PHS,2,2,26974.270000000004,1.6451850694018162,2,2.0,0,0.0,0.0,0,0.0,False,7223.6900000000005,1,False,True,False
2018,AC,PMB,1,1,30000.0,1.0,1,1.0,0,0.0,0.0,0,0.0,False,30000.0,1,False,True,False
2018,AC,PMN,1,1,150000.0,1.0,1,1.0,0,0.0,0.0,0,0.0,False,150000.0,1,False,True,False
2018,AC,PODE,2,1,100000.0,1.0,1,1.0,0,0.0,0.0,0,0.0,False,100000.0,1,False,False,False
2018,AC,PP,3,3,1322040.0,2.066556611607563,2,2.0,0,0.0,0.0,1,1.0,False,400000.0,1,False,False,False
2018,AC,PPL,1,1,4637.5,1.0,1,1.0,0,0.0,0.0,1,1.0,False,4637.5,1,False,True,False
2018,AC,PPS,1,1,498048.04,1.0,1,1.0,0,0.0,0.0,0,0.0,False,498048.04,1,False,True,False
2018,AC,PR,1,1,1500000.0,1.0,1,1.0,0,0.0,0.0,1,1.0,False,1500000.0,1,False,True,False
2018,AC,PROS,2,1,316985.0,1.0,1,1.0,0,0.0,0.0,1,1.0,False,316985.0,1,False,False,False
2018,AC,PRP,3,3,61883.04,2.248453185959963,2,2.0,0,0.0,0.0,1,1.0,False,20891.52,1,False,False,False
2018,AC,PRTB,2,1,13715.0,1.0,1,1.0,0,0.0,0.0,0,0.0,False,13715.0,1,False,False,False
2018,AC,PSB,1,1,1300000.0,1.0,1,1.0,0,0.0,0.0,1,1.0,False,1300000.0,1,False,True,False
2018,AC,PSC,1,1,70000.0,1.0,1,1.0,0,0.0,0.0,1,1.0,False,70000.0,1,False,True,False
2018,AC,PSD,1,1,824450.0,1.0,1,1.0,0,0.0,0.0,0,0.0,False,824450.0,1,False,True,False
2018,AC,PSDB,1,1,1629365.55,1.0,1,1.0,1,1.0,1.0,0,0.0,False,1629365.55,1,False,True,False
2018,AC,PSL,8,5,261.04,4.71203274162421,5,5.0,0,0.0,0.0,3,1.0,False,26.4,1,False,False,False
2018,AC,PSOL,4,4,300066.64,3.4898209751924303,3,3.0,0,0.0,0.0,1,1.0,False,58266.66,1,False,False,False
2018,AC,PT,5,5,2778000.0,3.169675084321672,3,3.0,1,1.0,0.6,3,3.0,True,900000.0,3,False,False,False
2018,AC,PTB,1,1,449599.75,1.0,1,1.0,0,0.0,0.0,0,0.0,False,449599.75,1,False,True,False
2018,AC,PTC,1,1,570000.0,1.0,1,1.0,0,0.0,0.0,0,0.0,False,570000.0,1,False,True,False
2018,AC,PV,2,2,334343.2,1.3543842214897526,1,1.0,0,0.0,0.0,1,1.0,False,282590.95,1,False,False,False
2018,AC,REDE,2,2,190800.0,1.0084209033413256,1,1.0,0,0.0,0.0,0,0.0,False,190000.0,1,False,False,False
2018,AC,SOLIDARIEDADE,1,1,1450000.0,1.0,1,1.0,1,1.0,1.0,1,1.0,False,1450000.0,1,False,True,False
2018,AL,AVANTE,1,1,319000.0,1.0,1,1.0,0,0.0,0.0,1,1.0,False,319000.0,1,False,True,False
2018,AL,DC,2,2,77320.0,1.888136370690797,2,2.0,0,0.0,0.0,0,0.0,False,29250.0,1,False,True,False
2018,AL,DEM,2,0,0.0,,0,0.0,0,0.0,0.0,0,0.0,False,,0,False,False,False
2018,AL,MDB,3,2,100000.0,2.0,2,2.0,1,0.0,0.6666666666666666,1,0.0,True,50000.0,2,False,False,False
2018,AL,NOVO,3,3,5797.48,2.186741048522975,2,2.0,0,0.0,0.0,0,0.0,True,1099.1599999999999,2,False,False,False
2018,AL,PATRI,3,0,0.0,,0,0.0,0,0.0,0.0,0,0.0,False,,0,False,False,False
2018,AL,PC DO B,4,4,64639.399999999994,2.345359374817703,2,2.0,0,0.0,0.0,0,0.0,False,18966.0,1,False,False,False
2018,AL,PDT,2,2,650000.0,1.1655172413793102,1,1.0,0,0.0,0.0,1,1.0,False,600000.0,1,False,False,False
2018,AL,PHS,6,5,42249.69,3.990950190900328,4,4.0,0,0.0,0.0,0,0.0,False,5240.3,1,False,False,False
2018,AL,PMN,1,1,900000.0,1.0,1,1.0,0,0.0,0.0,0,0.0,False,900000.0,1,False,True,False
2018,AL,PODE,1,0,0.0,,0,0.0,0,0.0,0.0,0,0.0,False,,0,False,False,False
2018,AL,PP,5,4,2777758.0,2.236587246002682,2,2.0,1,1.0,0.4,1,1.0,False,750000.0,1,False,False,False
2018,AL,PPL,2,2,1340.0,2.0,2,2.0,0,0.0,0.0,0,0.0,True,670.0,2,False,True,False
2018,AL,PPS,1,1,654173.8500000001,1.0,1,1.0,0,0.0,0.0,1,1.0,False,654173.8500000001,1,False,True,False
2018,AL,PR,1,1,1255557.26,1.0,1,1.0,1,1.0,1.0,1,1.0,False,1255557.26,1,False,True,False
2018,AL,PRB,1,1,842225.39,1.0,1,1.0,1,1.0,1.0,1,1.0,False,842225.39,1,False,True,False
