ano_eleicao,sg_uf,sg_partido,nr_candidato,nm_candidato,comp_rrd,comp_texto,comp_cod_ok,comp_cod_kf,vit_texto,qe_texto,vit_prefeito_rrd,vit_prefeito_ok,vit_distrital,qe_majoritario,qe_rrd,qe_prop_ok,eleito,vr_receita_recursos_partidos
2018,AC,AVANTE,7000,TATIANI DE SOUZA STARKE,False,False,False,False,False,False,False,False,False,False,False,False,0,
2018,AC,AVANTE,7001,ELDO PONTES HALL,False,False,False,False,False,False,False,False,False,False,False,False,0,4651.13
2018,AC,AVANTE,7007,LENO BERNARDINO DE SOUSA,False,False,False,False,False,False,False,False,False,False,False,False,0,4651.13
2018,AC,AVANTE,7010,JOÃO DOS SANTOS MATIAS MORAIS,False,False,False,False,False,False,False,False,False,False,False,False,0,
2018,AC,AVANTE,7012,JAIRO DE OLIVEIRA PEREIRA,False,False,False,False,False,False,False,False,False,False,False,False,0,4651.13
2018,AC,AVANTE,7018,DANILO DE MELO MEDEIROS,False,False,False,False,False,False,False,False,False,False,False,False,0,4651.13
2018,AC,AVANTE,7070,CEZAR HILDO PEREIRA,False,False,False,False,False,False,False,False,False,False,False,False,0,4651.13
2018,AC,AVANTE,7071,MARIA PEREGRINA SOUZA E SILVA,False,False,False,False,False,False,False,False,False,False,False,False,0,2444.4
2018,AC,AVANTE,7077,ANA PAULA BATISTA POZENATTO,False,False,False,False,False,False,False,False,False,False,False,False,0,
2018,AC,DC,2713,FELIPE RIBEIRO DA SILVA LIMA,False,False,False,False,False,False,False,False,False,False,False,False,0,10000.0
2018,AC,DC,2722,ANDRESA DA SILVA CASTRO BARROS,False,False,False,False,False,False,False,False,False,False,False,False,0,20800.0
2018,AC,DC,2727,FRANCISCO OLIVEIRA DA SILVA RIBEIRO ,False,False,False,False,False,False,False,False,False,False,False,False,0,10000.0
2018,AC,DEM,2525,ALAN RICK MIRANDA,True,True,True,True,True,True,False,False,False,False,True,True,1,825300.0
2018,AC,MDB,1515,JESSICA ROJAS SALES,True,True,True,True,True,True,False,False,False,False,True,True,1,2000000.0
2018,AC,MDB,1551,ROBERTO FERES,False,False,False,False,False,False,False,False,False,False,False,False,0,54700.0
2018,AC,MDB,1555,FLAVIANO FLAVIO BAPTISTA DE MELO,True,True,True,True,True,True,False,True,False,True,True,True,1,1603200.0
2018,AC,PATRI,5127,JOSE BIBIANO DE QUEIROZ,False,False,False,False,False,False,False,False,False,False,False,False,0,
2018,AC,PC do B,6513,MARIA PERPETUA DE ALMEIDA ,True,True,True,True,True,True,False,False,False,True,True,True,1,899232.95
2018,AC,PDT,1200,EURICO CARVALHO CORDEIRO ,False,False,False,False,False,False,False,False,False,False,False,False,0,3581.66
2018,AC,PDT,1207,MARIA DE JESUS GOMES DA SILVA CAVALCANTE,False,False,False,False,False,False,False,False,False,False,False,False,0,19513.239999999998
2018,AC,PDT,1211,PAULO SORIANO DA SILVA,False,False,False,False,False,False,False,False,False,False,False,False,0,1666.66
2018,AC,PDT,1212,JESUS SERGIO DE MENEZES,True,True,True,True,True,True,False,False,False,False,True,True,1,53061.66
2018,AC,PDT,1213,FRANCISCO DE ASSIS DANTAS CASTRO,False,False,False,False,False,False,False,False,False,False,False,False,0,3882.86
