cluster,n_clusters,ano,regra,desfecho,metrica,ponto,ic95_inf,ic95_sup,sd_boot
lista,859,2018,top_necr,competitividade,cobertura,0.8089729119638827,0.7791128201354136,0.8385523103330632,0.01498252653451142
lista,859,2018,top_necr,competitividade,precisao,0.30947754749568224,0.27976296828753394,0.3429081032264422,0.01648824898479239
lista,859,2018,top_necr,competitividade,lift,1.8736534948816124,1.764107380284876,1.9926767320215975,0.05788990065685376
lista,859,2018,top_necr,eleicao,cobertura,0.8674463937621832,0.818024643819792,0.9112622538204709,0.023555346146779246
lista,859,2018,top_necr,eleicao,precisao,0.1919758412424504,0.17128110619726367,0.21478387267862512,0.011417924616677719
lista,859,2018,top_necr,eleicao,lift,1.9815439888506898,1.8431366736695485,2.1343032200260423,0.07483456365282379
lista,859,2018,top_50,competitividade,cobertura,0.573159195958293,0.5442733234806562,0.6049065473440718,0.015160783459456342
lista,859,2018,top_50,competitividade,precisao,0.3892825202139115,0.35406469315728867,0.4272977421085774,0.0185938052659268
lista,859,2018,top_50,competitividade,lift,2.0770719118385146,1.937454236394835,2.2275954620395444,0.07311211910499732
lista,859,2018,top_50,eleicao,cobertura,0.6639840341594728,0.6152672269658331,0.7127510772197304,0.024858516718097207
lista,859,2018,top_50,eleicao,precisao,0.2610144134282065,0.23146422301571914,0.29218528616559225,0.015766161081199433
lista,859,2018,top_50,eleicao,lift,2.3801180126903154,2.1788434967722643,2.6213453157251747,0.11475901976177878
lista,859,2018,top_80,competitividade,cobertura,0.78395410082769,0.7544618488771054,0.8115506763079267,0.014756148443322742
lista,859,2018,top_80,competitividade,precisao,0.30159936314951513,0.26973744130975036,0.3361078865076743,0.016999665785033417
lista,859,2018,top_80,competitividade,lift,1.9262353962549337,1.8082022071592248,2.048358635285708,0.0618885593710295
lista,859,2018,top_80,eleicao,cobertura,0.8421052631578947,0.7967002442002441,0.8849942099473105,0.022407337220556635
lista,859,2018,top_80,eleicao,precisao,0.18741865509761388,0.16521134999328743,0.21201795560160794,0.011971877745514194
lista,859,2018,top_80,eleicao,lift,2.030905871213386,1.8762294642454562,2.2035032165767974,0.08311300298264584
