desfecho,ano,faixa,lift_acumulado,lift_marginal_faixa,densidade_marginal,precisao_acumulada
competitividade,2018,0->top_50,2.0770719118385146,2.0770719118385146,0.3892825202139115,0.3892825202139115
competitividade,2018,top_50->top_60,2.053615012427808,1.8616727249809972,0.23128403128403113,0.3646879334257975
competitividade,2018,top_60->top_70,2.018538710179985,1.7914865037749357,0.2197780993728897,0.33820480850367124
competitividade,2018,top_70->top_80,1.9262353962549337,1.2593132169162848,0.13383549783549797,0.30159936314951513
competitividade,2018,top_80->top_90,1.7301069077406095,0.7141810639047226,0.0704202077431538,0.24735792622133598
competitividade,2018,top_90->top_95,1.5337889398216822,0.3635632259899707,0.03969574718440081,0.2099561005146836
competitividade,2022,0->top_50,2.6542606989488493,2.6542606989488493,0.38236986986986987,0.38236986986986987
competitividade,2022,top_50->top_60,2.4385068826375984,1.6684133254806257,0.24014433803590435,0.3512228536634869
competitividade,2022,top_60->top_70,2.204933967398938,1.3127123892877266,0.18124956989691285,0.31476226325967255
competitividade,2022,top_70->top_80,1.9796729570575986,1.1751409054717405,0.15774695862044028,0.2787369258630747
competitividade,2022,top_80->top_90,1.6066691345421031,0.5648065267692008,0.07796338315545988,0.22503029677458813
competitividade,2022,top_90->top_95,1.3753664916688668,0.2931193372464541,0.04050715995969352,0.19217689853719264
eleicao,2018,0->top_50,2.3801180126903154,2.3801180126903154,0.2610144134282065,0.2610144134282065
eleicao,2018,top_50->top_60,2.3515630730126937,2.0987267208762233,0.140752815649081,0.24226729501632474
eleicao,2018,top_60->top_70,2.222698139399537,1.4196323667945645,0.10486512524084786,0.21713983690727875
eleicao,2018,top_70->top_80,2.030905871213386,0.7593854311703485,0.05126253891387065,0.18741865509761388
eleicao,2018,top_80->top_90,1.7856325556127601,0.5124619664768328,0.029745042492917848,0.15044835602789772
eleicao,2018,top_90->top_95,1.566020574715835,0.20067365059440176,0.012388194389149855,0.1255960230095937
eleicao,2022,0->top_50,3.598668802097984,3.598668802097984,0.20315898012748407,0.20315898012748407
eleicao,2022,top_50->top_60,3.1657153792223465,1.6955975651952004,0.10064874884151986,0.1807292370780947
eleicao,2022,top_60->top_70,2.771593418428784,1.134954728031462,0.05718650646186876,0.15424665657665312
eleicao,2022,top_70->top_80,2.3379120125612616,0.6123515070839546,0.02878517460884056,0.12547629279472855
eleicao,2022,top_80->top_90,1.7766188191037438,0.20455635828643276,0.010739515586454317,0.0947963359968817
eleicao,2022,top_90->top_95,1.4645443412876071,0.08756607329128503,0.004890489048904894,0.07879418989640072
