regra,desfecho,ano,sumH,sumG,sumk,A0,A0rec,cobertura,precisao,lift,lift_rec,cob_acaso,prec_acaso
top_necr,competitividade,2018,716.75,886.0,2316.0,382.5413834297511,425.04982796215967,0.8089729119638827,0.30947754749568224,1.8736534948816124,1.686272885784603,0.4317622837807574,0.16517330890749182
top_necr,competitividade,2022,1064.115233785822,1287.0,3822.0,563.0315686910831,574.8163182505616,0.8268183634699472,0.2784184285153904,1.8899743690387405,1.8512265570755349,0.4374759663489379,0.14731333560729543
top_necr,eleicao,2018,445.0,513.0,2318.0,224.57235494333048,249.6946466584356,0.8674463937621832,0.1919758412424504,1.9815439888506898,1.782176774533449,0.43776287513319784,0.09688194777537984
top_necr,eleicao,2022,475.1923076923077,513.0,3824.0,224.41886437676425,231.98667713942743,0.9263007947218473,0.12426577084003862,2.1174347754230407,2.0483603349631587,0.4374636732490531,0.058686941521120355
top_50,competitividade,2018,507.8190476190476,886.0,1304.5,244.48794705887332,273.52917612758256,0.573159195958293,0.3892825202139115,2.0770719118385146,1.8565443540918096,0.2759457641748006,0.18741889387418423
top_50,competitividade,2022,679.0888888888888,1287.0,1776.0,255.84860189423904,261.49308832179236,0.5276525943192609,0.38236986986986987,2.6542606989488493,2.59696687681934,0.1987945624663862,0.14405889746297243
top_50,eleicao,2018,340.62380952380954,513.0,1305.0,143.1121514595794,160.2396033172839,0.6639840341594728,0.2610144134282065,2.3801180126903154,2.125715506480344,0.27897105547676293,0.10966448387707234
top_50,eleicao,2022,361.2166666666667,513.0,1778.0,100.37507937826382,103.88210922652138,0.7041260558804419,0.20315898012748407,3.598668802097984,3.4771787881107743,0.19566292276464683,0.0564539254095972
top_60,competitividade,2018,563.4428571428571,886.0,1545.0,274.3663509144045,306.4251651631267,0.6359400193485971,0.3646879334257975,2.053615012427808,1.8387616984489703,0.3096685676234814,0.1775833986501
top_60,competitividade,2022,798.6807692307692,1287.0,2274.0,327.528609788823,334.39817534806866,0.6205755782678859,0.3512228536634869,2.4385068826375984,2.3884124618785307,0.2544899842958998,0.14403193042604354
top_60,eleicao,2018,374.54523809523806,513.0,1546.0,159.27501260486764,177.9694124521151,0.7301076765989046,0.24226729501632474,2.3515630730126937,2.104548376794884,0.310477607416896,0.10302394088283806
top_60,eleicao,2022,411.3397435897436,513.0,2276.0,129.93579469888687,134.2029739759268,0.8018318588494027,0.1807292370780947,3.1657153792223465,3.0650568419111885,0.2532861495105007,0.05708954072886066
top_70,competitividade,2018,639.3761904761905,886.0,1890.5,316.75200839679707,352.7173066702926,0.7216435558422014,0.33820480850367124,2.018538710179985,1.812715674521342,0.3575079101543985,0.1675493300168194
top_70,competitividade,2022,911.2367521367521,1287.0,2895.0,413.2716741679559,421.25647524157245,0.7080316644419208,0.31476226325967255,2.204933967398938,2.1631400481480956,0.32111241194091367,0.14275360074886215
top_70,eleicao,2018,410.8285714285714,513.0,1892.0,184.83327274460981,206.02314647935344,0.8008354218880535,0.21713983690727875,2.222698139399537,1.9940893945610256,0.36029877727994114,0.09769200462188679
top_70,eleicao,2022,446.8525641025641,513.0,2897.0,161.22587141799636,166.5124458305702,0.8710576298295596,0.15424665657665312,2.771593418428784,2.6835985855210227,0.31428045110720537,0.05565269983361973
top_80,competitividade,2018,694.5833333333334,886.0,2303.0,360.5910963342128,401.5417897035874,0.78395410082769,0.30159936314951513,1.9262353962549337,1.7297908988403552,0.4069876933794727,0.15657450991498603
top_80,competitividade,2022,1047.2146304675716,1287.0,3757.0,528.9836519381736,539.5898165205846,0.8136865815598847,0.2787369258630747,1.9796729570575986,1.9407605525624703,0.41102070857666945,0.14079948148474145
top_80,eleicao,2018,432.0,513.0,2305.0,212.71296032144366,237.1063765426625,0.8421052631578947,0.18741865509761388,2.030905871213386,1.8219670272016928,0.41464514682542625,0.09228327996591916
top_80,eleicao,2022,471.66538461538465,513.0,3759.0,201.74642248347888,208.77770869053438,0.9194257010046485,0.12547629279472855,2.3379120125612616,2.2591750219585065,0.39326788008475416,0.05367023742577252
top_90,competitividade,2018,744.3,886.0,3009.0,430.2046287833162,477.5332549143498,0.8400677200902934,0.24735792622133598,1.7301069077406095,1.5586349062401892,0.48555827176446525,0.1429726250526142
top_90,competitividade,2022,1154.1803921568626,1287.0,5129.0,718.3684352570831,732.3072586171884,0.8967990615049437,0.22503029677458813,1.6066691345421031,1.5760876033596811,0.558172832367586,0.1400601355541203
top_90,eleicao,2018,453.0,513.0,3011.0,253.69161117503702,283.28937473011075,0.8830409356725146,0.15044835602789772,1.7856325556127601,1.5990716221939925,0.49452555784607605,0.08425493562771073
top_90,eleicao,2022,486.4,513.0,5131.0,273.77848009365096,283.05855754321067,0.9481481481481481,0.0947963359968817,1.7766188191037438,1.718372354546278,0.5336812477459083,0.05335772365886785
top_95,competitividade,2018,770.5388888888889,886.0,3670.0,502.3760889672809,556.2118986396845,0.8696827188362177,0.2099561005146836,1.5337889398216822,1.3853333428741443,0.5670159017689401,0.13688721770225637
top_95,competitividade,2022,1199.183846872082,1287.0,6240.0,871.9013107677175,889.8873965721208,0.9317667807863885,0.19217689853719264,1.3753664916688668,1.3475680760188116,0.6774679959345125,0.13972777416149318
top_95,eleicao,2018,461.18859649122805,513.0,3672.0,294.49715025290385,329.072357371311,0.8990031120686707,0.1255960230095937,1.566020574715835,1.4014808177000502,0.5740685190115085,0.08020074897954897
top_95,eleicao,2022,491.8333333333333,513.0,6242.0,335.82686400667137,347.3639324877777,0.9587394411955815,0.07879418989640072,1.4645443412876071,1.4159021341418023,0.6546332631708993,0.05380116373064264
