       desfecho  ano    grupo  candidaturas   sumG      sumk      sumH       A0  cobertura  precisao   lift
competitividade 2018    todos          7626  886.0 2316.0000  716.7500 382.5414     0.8090    0.3095 1.8737
competitividade 2018   homens          5212  778.0 1554.0454  616.7500 377.7311     0.7927    0.3969 1.6328
competitividade 2018 mulheres          2414  108.0  761.9546  100.0000  61.4312     0.9259    0.1312 1.6278
competitividade 2022    todos          9672 1287.0 3822.0000 1064.1152 563.0316     0.8268    0.2784 1.8900
competitividade 2022   homens          6268 1084.0 2438.1109  884.8256 504.2182     0.8163    0.3629 1.7548
competitividade 2022 mulheres          3404  203.0 1383.8891  179.2896  99.2605     0.8832    0.1296 1.8063
        eleicao 2018    todos          7630  513.0 2318.0000  445.0000 224.5724     0.8674    0.1920 1.9815
        eleicao 2018   homens          5212  435.0 1554.0454  369.2500 218.6015     0.8489    0.2376 1.6891
        eleicao 2018 mulheres          2414   77.0  761.9546   74.7500  44.4962     0.9708    0.0981 1.6799
        eleicao 2022    todos          9675  513.0 3824.0000  475.1923 224.4189     0.9263    0.1243 2.1174
        eleicao 2022   homens          6268  422.0 2438.1109  389.0769 203.6122     0.9220    0.1596 1.9109
        eleicao 2022 mulheres          3404   91.0 1383.8891   86.1154  39.2929     0.9463    0.0622 2.1916
