ano_eleicao,sg_uf,sg_partido,nr_candidato,vr_receita_recursos_partidos,eleito,candidato_competitivo
2018,BA,DC,2700,8000.0,0,False
2018,BA,DC,2701,0.0,0,False
2018,BA,DC,2706,100000.0,0,False
2018,BA,DC,2707,8000.0,0,False
2018,BA,DC,2711,7000.0,0,False
2018,BA,DC,2712,90000.0,0,False
2018,BA,DC,2717,3500.0,0,False
2018,BA,DC,2722,8000.0,0,False
2018,BA,DC,2727,8000.0,0,True
2018,BA,DC,2728,3500.0,0,False
2018,BA,DC,2729,7000.0,0,False
2018,BA,DC,2733,3500.0,0,False
2018,BA,DC,2744,100000.0,0,False
2018,BA,DC,2777,0.0,0,False
2018,BA,DC,2789,3500.0,0,False
