ano_eleicao,sg_uf,sg_partido,nr_candidato,nm_candidato,literal,candidato_competitivo
2018,DF,MDB,1577,EDIMAR PIRENEUS CARDOSO,False,True
2018,DF,PHS,3100,CHARLES ROBERTO DE LIMA,False,True
2018,DF,PP,1111,OLAIR FRANCISCO,False,True
2018,DF,PP,1122,CELINA LEAO HIZIM,False,True
2018,DF,PRB,1010,JULIO CESAR RIBEIRO,False,True
2018,DF,PSDB,4515,PAULO ROBERTO RORIZ,False,True
2018,DF,PV,4343,ISRAEL MATOS BATISTA,False,True
2022,DF,MDB,1515,RAFAEL CAVALCANTI PRUDENTE,False,True
2022,DF,PV,4343,REGINALDO VERAS COELHO,False,True
2022,DF,UNIÃO,4455,JÚLIA LUCY MARQUES ARAÚJO,False,True
