ano,uf,partido,C,total,NECr,k,E,F,hE,hF,esperado_E,esperado_F,empate,recebedores
2018,AC,AVANTE,9,25700.050000000003,5.78668077786618,6,0,0,0.0,0.0,0.0,0.0,False,6
2018,AC,DC,3,40800.0,2.6312594840667685,3,0,0,0.0,0.0,0.0,0.0,False,3
2018,AC,DEM,1,825300.0,1.0,1,1,1,1.0,1.0,1.0,1.0,False,1
2018,AC,MDB,3,3657900.0,2.0355604948463846,2,2,2,2.0,2.0,1.3333333333333333,1.3333333333333333,False,3
2018,AC,PATRI,1,0.0,,0,0,0,0.0,0.0,0.0,0.0,False,0
2018,AC,PC DO B,1,899232.95,1.0,1,1,1,1.0,1.0,1.0,1.0,False,1
2018,AC,PDT,16,250471.77,6.764354286202949,7,1,4,1.0,2.0,0.4375,1.75,False,14
2018,AC,PHS,2,26974.270000000004,1.6451850694018162,2,0,0,0.0,0.0,0.0,0.0,False,2
2018,AC,PMB,1,30000.0,1.0,1,0,0,0.0,0.0,0.0,0.0,False,1
2018,AC,PMN,1,150000.0,1.0,1,0,0,0.0,0.0,0.0,0.0,False,1
2018,AC,PODE,2,100000.0,1.0,1,0,0,0.0,0.0,0.0,0.0,False,1
2018,AC,PP,3,1322040.0,2.066556611607563,2,0,1,0.0,1.0,0.0,0.6666666666666666,False,3
2018,AC,PPL,1,4637.5,1.0,1,0,1,0.0,1.0,0.0,1.0,False,1
2018,AC,PPS,1,498048.04,1.0,1,0,0,0.0,0.0,0.0,0.0,False,1
2018,AC,PR,1,1500000.0,1.0,1,0,1,0.0,1.0,0.0,1.0,False,1
2018,AC,PROS,2,316985.0,1.0,1,0,1,0.0,1.0,0.0,0.5,False,1
2018,AC,PRP,3,61883.04,2.248453185959963,2,0,1,0.0,1.0,0.0,0.6666666666666666,False,3
2018,AC,PRTB,2,13715.0,1.0,1,0,0,0.0,0.0,0.0,0.0,False,1
2018,AC,PSB,1,1300000.0,1.0,1,0,1,0.0,1.0,0.0,1.0,False,1
2018,AC,PSC,1,70000.0,1.0,1,0,1,0.0,1.0,0.0,1.0,False,1
2018,AC,PSD,1,824450.0,1.0,1,0,0,0.0,0.0,0.0,0.0,False,1
2018,AC,PSDB,1,1629365.55,1.0,1,1,0,1.0,0.0,1.0,0.0,False,1
2018,AC,PSL,8,261.04,4.71203274162421,5,0,3,0.0,1.0,0.0,1.875,False,5
2018,AC,PSOL,4,300066.64,3.4898209751924303,3,0,1,0.0,1.0,0.0,0.75,False,4
2018,AC,PT,5,2778000.0,3.169675084321672,3,1,3,1.0,3.0,0.6,1.8,False,5
2018,AC,PTB,1,449599.75,1.0,1,0,0,0.0,0.0,0.0,0.0,False,1
2018,AC,PTC,1,570000.0,1.0,1,0,0,0.0,0.0,0.0,0.0,False,1
2018,AC,PV,2,334343.2,1.3543842214897526,1,0,1,0.0,1.0,0.0,0.5,False,2
2018,AC,REDE,2,190800.0,1.0084209033413256,1,0,0,0.0,0.0,0.0,0.0,False,2
