ano_eleicao,sg_uf,ds_cargo,qt_vaga
1998,AC,DEPUTADO ESTADUAL,24
1998,AC,DEPUTADO FEDERAL,8
1998,AL,DEPUTADO ESTADUAL,27
1998,AL,DEPUTADO FEDERAL,9
1998,AM,DEPUTADO ESTADUAL,24
1998,AM,DEPUTADO FEDERAL,8
1998,AP,DEPUTADO ESTADUAL,24
1998,AP,DEPUTADO FEDERAL,8
1998,BA,DEPUTADO ESTADUAL,63
1998,BA,DEPUTADO FEDERAL,39
1998,CE,DEPUTADO ESTADUAL,46
1998,CE,DEPUTADO FEDERAL,22
1998,DF,DEPUTADO FEDERAL,8
1998,ES,DEPUTADO ESTADUAL,30
1998,ES,DEPUTADO FEDERAL,10
1998,GO,DEPUTADO ESTADUAL,41
1998,GO,DEPUTADO FEDERAL,17
1998,MA,DEPUTADO ESTADUAL,42
1998,MA,DEPUTADO FEDERAL,18
1998,MG,DEPUTADO ESTADUAL,77
1998,MG,DEPUTADO FEDERAL,53
1998,MS,DEPUTADO ESTADUAL,24
1998,MS,DEPUTADO FEDERAL,8
1998,MT,DEPUTADO ESTADUAL,24
1998,MT,DEPUTADO FEDERAL,8
1998,PA,DEPUTADO ESTADUAL,41
1998,PA,DEPUTADO FEDERAL,17
1998,PB,DEPUTADO ESTADUAL,36
1998,PB,DEPUTADO FEDERAL,12
1998,PE,DEPUTADO ESTADUAL,49
1998,PE,DEPUTADO FEDERAL,25
1998,PI,DEPUTADO ESTADUAL,30
1998,PI,DEPUTADO FEDERAL,10
1998,PR,DEPUTADO ESTADUAL,54
1998,PR,DEPUTADO FEDERAL,30
1998,RJ,DEPUTADO ESTADUAL,70
1998,RJ,DEPUTADO FEDERAL,46
1998,RN,DEPUTADO ESTADUAL,24
1998,RN,DEPUTADO FEDERAL,8
1998,RO,DEPUTADO ESTADUAL,24
1998,RO,DEPUTADO FEDERAL,8
1998,RR,DEPUTADO ESTADUAL,24
1998,RR,DEPUTADO FEDERAL,8
1998,RS,DEPUTADO ESTADUAL,55
